Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Tympanomma binoctonum	Stichocorys sp.	Liriospyris parkerae	Eucyrtidium teuscheri group	Eucyrtidium cienkowskii	Didymocyrtis mammifera	Didymocyrtis laticonus	Cyrtocapsella tetrapera	Cyrtocapsella cornuta	Calocycletta virginis	Calocycletta robusta	Acrosphaera trepanata	Stichocorys wolffii	Dictyophimus splendens	Botryostrobus miralestensis	Anthocyrtidium ehrenbergi	Stylosphaera angelina	Phormostichoartus fistula	Didymocyrtis bassanii	Dendrospyris stabilis	Stichocorys delmontensis	Calocycletta costata	Stichocorys radicula	Siphostichartus corona	Circodiscus ellipticus	Botryostrobus auritus/australis	Lamprocyrtis daniellae	Collosphaera polygona	Calocycletta caepa	Stylatractus universus	Spongodiscus osculosus	Prunopyle hayesi	Eucyrtidium punctatum	Didymocyrtis antepenultima	Diartus petterssoni	Siphocampe modeloensis	Acrosphaera murrayana	Larcospira moschkovskii	Lamprocyclas hannai	Cyrtocapsella elongata	Botryostrobus bramlettei tumidulus	Botryostrobus bramlettei bramlettei	Acrosphaera cyrtodon	Tholospyris capoi	Stichocorys peregrina	Siphocampe crustula	Pseudocubus warreni	Phorticium clevei	Phormostichoartus pitomorphus	Lamprocyrtis neoheteroporos	Lamprocyrtis heteroporos	Eucyrtidium teuscheri orthoporus	Eucyrtidium infundibulum	Eucyrtidium calvertense	Didymocyrtis penultima	Anthocyrtidium ophirense	Anthocyrtidium nosicaae	Anthocyrtidium jenghisi	Amphirhopalum ypsilon	Theocorythium trachelium	Lamprocyclas maritalis	Eucyrtidium teuscheri teuscheri	Diartus hughesi	Anthocyrtidium zanguebaricum	Theocorythium vetulum	Pterocanium korotnevi	Eucyrtidium indiensis	Stichopilium bicorne	Prunopyle antarctica	Cycladophora davisiana	Acrosphaera pseudarktios	Siphocampe caryoforma	Didymocyrtis tetrathalamus	Lamprocyrtis nigriniae	Acrosphaera sp.	Eucyrtidium dufresni	Pterocorys minythorax	Anthocyrtidium angulare	Octopyle stenozona	Pterocorys hertwigii	Eucyrtidium anomalum	Dictyophimus infabricatus	Collosphaera orthoconus	Rhizosphaera antarctica	Plectacantha cremastoplegma	Pterocanium grandiporus	Collosphaera tuberosa	Spongaster tetras	Amphirhopalum virchowi	Comment



  SR	Pleistocene      	                 	                  	NR1           	112	 683	A	  1	H	CC	   0.00	      2.0800	De Wever 	Radiolarians                                 	A              	G                 	                     	               	                    	                           	                       	                      	                      	                       	                     	                     	                    	                     	                   	                      	                           	                         	                     	                         	                     	                     	                        	                    	                    	                      	                      	P                              	                      	                     	                  	                      	                      	                	                     	                          	                   	                      	                     	                       	                   	                      	P                                 	                                   	                    	P                	                     	P                  	                   	P                	                             	                           	                        	                                	                        	P                      	                      	P                       	                       	                       	                     	                        	P                     	P                              	               	P                           	                     	P                    	                     	P                   	P                   	P                     	                        	                     	P                         	P                     	               	P                   	P                    	                       	                  	                    	                    	P                        	                       	                       	P                          	P                      	                     	                 	                      	from ODP Leg 112 SR Chapter 12 Table AppxB p.198-201

  SR	Pleistocene      	                 	                  	NR1           	112	 683	A	  2	H	CC	  10.00	      9.1500	De Wever 	Radiolarians                                 	A              	G                 	                     	               	                    	                           	                       	                      	                      	                       	                     	                     	                    	P                    	                   	                      	                           	                         	                     	                         	                     	                     	                        	                    	                    	                      	                      	P                              	                      	                     	                  	                      	                      	                	                     	                          	                   	                      	                     	                       	                   	                      	P                                 	                                   	                    	P                	P                    	                   	P                  	P                	                             	                           	                        	                                	P                       	                       	                      	P                       	                       	                       	P                    	                        	                      	P                              	P              	                            	                     	P                    	                     	P                   	                    	P                     	                        	                     	P                         	P                     	P              	P                   	P                    	                       	P                 	                    	                    	P                        	                       	                       	P                          	P                      	                     	                 	P                     	from ODP Leg 112 SR Chapter 12 Table AppxB p.198-201

  SR	Pleistocene      	                 	                  	NR2           	112	 683	A	  3	H	CC	  15.00	     19.3400	De Wever 	Radiolarians                                 	C              	G                 	                     	               	                    	                           	                       	                      	                      	                       	                     	                     	                    	P                    	                   	                      	                           	                         	                     	                         	                     	                     	                        	                    	                    	                      	                      	P                              	                      	                     	                  	                      	                      	                	                     	                          	                   	                      	                     	                       	                   	                      	P                                 	                                   	                    	P                	                     	P                  	P                  	P                	                             	                           	                        	?                               	P                       	P                      	                      	                        	                       	                       	P                    	                        	P                     	P                              	               	                            	                     	P                    	                     	P                   	P                   	P                     	                        	                     	                          	P                     	               	P                   	P                    	                       	P                 	P                   	                    	P                        	                       	                       	P                          	P                      	                     	P                	                      	from ODP Leg 112 SR Chapter 12 Table AppxB p.198-201

  SR	Pleistocene      	                 	                  	NR2           	112	 683	A	  4	H	CC	  24.00	     31.0800	De Wever 	Radiolarians                                 	A              	G                 	                     	               	                    	                           	                       	                      	                      	                       	                     	                     	                    	P                    	                   	                      	                           	                         	                     	                         	                     	                     	                        	                    	                    	                      	                      	P                              	                      	                     	                  	                      	                      	                	                     	                          	                   	                      	                     	                       	                   	                      	P                                 	                                   	                    	P                	                     	P                  	                   	P                	                             	                           	                        	P                               	P                       	P                      	                      	P                       	                       	                       	P                    	                        	P                     	P                              	               	P                           	                     	P                    	                     	P                   	P                   	P                     	                        	                     	                          	P                     	P              	P                   	P                    	                       	                  	                    	                    	P                        	                       	P                      	P                          	P                      	P                    	                 	                      	from ODP Leg 112 SR Chapter 12 Table AppxB p.198-201
