Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sphenolithus abies/neoabies	Reticulofenestra spp. small	Reticulofenestra pseudoumbilica	Helicosphaera kamptneri	Discoaster variabilis	Discoaster surculus	Discoaster brouweri	Calcidiscus macintyrei	Calcidiscus leptoporus	Discoaster tamalis	Discoaster pentaradiatus	Discoaster asymmetricus	Coccolithus pelagicus	Pontosphaera japonica	Ceratolithus rugosus	Cyclolithella rotula	Crenalithus doronicoides	Rhabdosphaera clavigera	Helicosphaera sellii	Pseudoemiliania lacunosa	Syracosphaera histrica	Discoaster triradiatus	Oolithotus antillarum	Gephyrocapsa spp.	Syracosphaera pulchra	Gephyrocapsa caribbeanica	Ceratolithus telesmus	Pontosphaera syracusana	Gephyrocapsa oceanica	Scyphosphaera pulcherrima	Rhabdosphaera stylifera	Umbilicosphaera mirabilis	Umbilicosphaera sibogae	Emiliania huxleyi	Thoracosphaera sp.	Comment



  SR	Pleistocene      	                 	                  	              	108	 658	A	  1	H	CC	  25.00	      5.6400	Manivit  	Nannofossils                                 	A              	G                 	                           	                           	                               	R                      	                     	                   	                   	                      	R                     	                  	                        	                       	F                    	R                    	                    	                    	                        	                       	                    	                        	                      	                      	                     	                 	                     	                         	                     	                       	F                    	                         	R                      	                         	                       	A                	R                 	from ODP Leg 108 SR Chapter 4 Table 4 p 43

  SR	Pleistocene      	                 	CN15              	              	108	 658	A	  3	H	CC	  16.00	     23.9300	Manivit  	Nannofossils                                 	A              	M                 	                           	                           	                               	R                      	                     	                   	                   	                      	F                     	                  	                        	                       	F                    	R                    	                    	                    	F                       	R                      	                    	                        	                      	                      	                     	F                	                     	A                        	                     	                       	C                    	R                        	R                      	R                        	R                      	F                	R                 	from ODP Leg 108 SR Chapter 4 Table 4 p 43

  SR	Pleistocene      	                 	CN14b             	CN15          	108	 658	A	  4	H	CC	   1.00	     33.7100	Manivit  	Nannofossils                                 	A              	M                 	                           	                           	                               	F                      	                     	                   	                   	                      	F                     	                  	                        	                       	F                    	                     	                    	                    	F                       	                       	                    	                        	R                     	                      	                     	C                	                     	A                        	                     	R                      	A                    	                         	R                      	                         	                       	F                	                  	from ODP Leg 108 SR Chapter 4 Table 4 p 43

  SR	Pleistocene      	                 	CN14b             	CN15          	108	 658	A	  5	H	CC	  14.00	     43.9200	Manivit  	Nannofossils                                 	A              	M                 	                           	                           	                               	C                      	                     	                   	                   	                      	F                     	                  	                        	                       	F                    	R                    	                    	                    	F                       	R                      	                    	                        	F                     	                      	                     	A                	                     	A                        	R                    	                       	A                    	                         	F                      	                         	R                      	R                	                  	from ODP Leg 108 SR Chapter 4 Table 4 p 43

