Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Valvulineria laevigata,Uvigerina senticosa,Uvigerina peregrina,Uvigerina auberiana,Stilostomella spp.,Pyrgo spp.,Pullenia bulloides,Oridorsalis umbonatus,Nuttallides umbonifera,Nonionella atlantica,Nodosaria spp.,Melonis pompilioides,Melonis barleeanus,Lagena spp.,Hoeglundina elegans,Gyroidinoides spp.,Globocassidulina subglobosa,Globobulimina affinis,Gavelinopsis translucens,Fontbotia wuellerstorfi,Epistominella exigua,Elphidium spp.,Eggerella bradyi,Cibicidoides kullenbergi,Chilostomella oolina,Cassidulina crassa,Cassidulina carinata,Bulimina marginata,Bulimina gr. costata,Brizalina subaenariensis,Bolivina pseudopunctata,Bolivina paula,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1054,B,  1,H,CC,  16.00,      2.6600,Poli     ,Benthic Foraminifers                         ,A              ,VG                ,R                     ,-                  ,-                  ,-                  ,                  ,          ,                  ,-                    ,R                     ,R                   ,-             ,-                   ,T                 ,R          ,-                  ,T                 ,T                          ,R                    ,T                       ,-                      ,T                   ,              ,T               ,-                       ,T                   ,-                 ,-                   ,T                 ,T                   ,                        ,                       ,A22           ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1054,B,  2,H,CC,  12.00,     12.4200,Poli     ,Benthic Foraminifers                         ,A              ,VG                ,T                     ,-                  ,-                  ,-                  ,T                 ,-         ,                  ,-                    ,T                     ,R                   ,-             ,-                   ,T                 ,-          ,T                  ,R                 ,R                          ,-                    ,-                       ,T                      ,T                   ,              ,T               ,-                       ,-                   ,T                 ,F                   ,C                 ,R                   ,                        ,                       ,A             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1054,B,  3,H,CC,  22.00,     21.9400,Poli     ,Benthic Foraminifers                         ,A              ,G                 ,+                     ,-                  ,-                  ,-                  ,-                 ,-         ,                  ,-                    ,+                     ,-                   ,-             ,-                   ,-                 ,-          ,-                  ,-                 ,+                          ,-                    ,-                       ,+                      ,+                   ,              ,-               ,+                       ,-                   ,+                 ,+                   ,+                 ,-                   ,                        ,                       ,+             ,Presence of displaced shallow water taxa. Abundant Qz.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1054,B,  4,H,CC,  20.00,     31.2800,Poli     ,Benthic Foraminifers                         ,A              ,VG                ,-                     ,T                  ,-                  ,-                  ,R                 ,-         ,                  ,-                    ,C                     ,R                   ,T             ,-                   ,R                 ,-          ,-                  ,-                 ,R                          ,T                    ,-                       ,-                      ,-                   ,              ,-               ,-                       ,-                   ,-                 ,R                   ,-                 ,-                   ,                        ,C                      ,R             ,       
