Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Distephanus pseudofibula,Comment
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
  SR,                 ,Late Miocene     ,                  ,              ,146, 892,E,  3,H, 4,  47.00,     37.1100,Fourtanier,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,R                       ,from Leg 146 SR; Ch 4; Table 4; p. 72
,,,,,,,,,,,,,,,,,,
