Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Valvulineria peruensis,Pseudoparrella sandiegoensis,Nonionoides basispinatus,Nonionella auris,Fursenkoina glabra,Buliminella subfusiformis,Buliminella elegantissima,Bolivinellina pacifica,Bolivinellina humilis,Bolivina vaughani,Bolivina costata,Pseudoparrella subperuviana,Cassidulina pulchella,Cancris inflatus,Cancris carmenensis,Virgulinella spp.,Valvulineria inflata,Uvigerina peregrina,Trifarina carinata,Trifarina angulosa,Suggrunda eckisi,Stainforthia sp.,Nonionella stella,Nonionella sp.,Gyroidina sp.,Globobulimina sp.,Epistominella pacifica,Epistominella obesa,Epistominella bradyana,Cassidulina tumida,Cassidulina subglobosa,Cassidulina sp. cf. C. auka,Cassidulina sp.,Cassidulina cushmani,Cancris auricula,Buliminella curta,Bulimina marginata,Bulimina denudata,Brizalina spissa,Brizalina interjuncta,Brizalina alata,Bolivinellina seminuda,Bolivina sp.,Bolivina seminuda humilis,Bolivina salvadorensis,Bolivina plicata,Uvigerina striata,Uvigerina semitrigona,Textularia sp.,Takayanagia delicata,Gyroidina rothwelli,Epistominella afueraensis,Cassidulina detierraensis,Angulogerina carinata bradyana,Bulimina montereyana,Bolivinita minuta,Valvulineria inaequalis,Pullenia subcarinata,Bulimina patagonica,Buliminella curta var. basispinata,Bulimina exilis tenuata,Brizalina interjuncta bicostata,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112,680,B,1,H,1,3.00,0.0300,Diester-Haass,Benthic Foraminifers                         ,                  ,                      ,                            ,                        ,0,                  ,                         ,                         ,                      ,                     ,                 ,1,                           ,                     ,                ,                   ,0,2,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,0,1,1,0,0,0,0,0,0,0,35,0,17,                 ,                     ,              ,                    ,                   ,                         ,                         ,                              ,                    ,                 ,                       ,                    ,                   ,                                  ,                       ,                               ,PlForams count=0; Pteropods=0;Total BenForams=69; from ODP Leg 112 Ch22 Appx D p.388-389,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112,680,B,1,H,1,35.00,0.3500,Diester-Haass,Benthic Foraminifers                         ,                  ,                      ,                            ,                        ,1,                  ,                         ,                         ,                      ,                     ,                 ,12,                           ,                     ,                ,                   ,0,1,0,0,0,0,0,0,0,0,0,1,8,10,0,0,0,0,0,8,2,0,0,0,0,4,0,0,84,0,10,                 ,                     ,              ,                    ,                   ,                         ,                         ,                              ,                    ,                 ,                       ,                    ,                   ,                                  ,                       ,                               ,PlForams count=0; Pteropods=0;Total BenForams=141; from ODP Leg 112 Ch22 Appx D p.388-389,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112,680,B,1,H,1,52.00,0.5200,Diester-Haass,Benthic Foraminifers                         ,                  ,                      ,                            ,                        ,1,                  ,                         ,                         ,                      ,                     ,                 ,11,                           ,                     ,                ,                   ,0,2,0,0,0,4,3,0,0,0,2,0,50,0,0,0,0,0,0,6,10,0,0,0,0,4,0,0,186,0,17,                 ,                     ,              ,                    ,                   ,                         ,                         ,                              ,                    ,                 ,                       ,                    ,                   ,                                  ,                       ,                               ,PlForams count=3; Pteropods=0;Total BenForams=296; from ODP Leg 112 Ch22 Appx D p.388-389,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112,680,B,1,H,1,73.00,0.7300,Diester-Haass,Benthic Foraminifers                         ,                  ,                      ,                            ,                        ,3,                  ,                         ,                         ,                      ,                     ,                 ,26,                           ,                     ,                ,                   ,0,1,0,0,0,21,4,7,1,1,0,1,23,21,5,1,0,0,0,21,4,0,0,0,0,0,0,0,254,0,40,                 ,                     ,              ,                    ,                   ,                         ,                         ,                              ,                    ,                 ,                       ,                    ,                   ,                                  ,                       ,                               ,PlForams count=1; Pteropods=0;Total BenForams=434; from ODP Leg 112 Ch22 Appx D p.388-389,
