Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Paragloborotalia nana,Paragloborotalia mayeri,Globorotaloides suteri,Globoquadrina tapuriensis,Globoquadrina rohri,Globoquadrina praedehiscens,Globigerina prasaepis,Globigerina praebulloides,Dentoglobigerina baroemoenensis,Catapsydrax dissimilis ciperoensis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,199,1219,B,  5,H, 3,  51.00,     53.0100,planks   ,Planktonic Foraminifers                      ,C              ,M                 ,R                    ,F                      ,R                     ,R                        ,F                  ,F                          ,R                    ,R                        ,R                              ,R                                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,
