Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Reticulofenestra pseudoumbilicus	Cyclicargolithus floridanus	Coccolithus miopelagicus	Calcidiscus premacintyrei	Triquetrorhabdulus rugosus	Discoaster triradiatus	Discoaster kugleri	Catinaster calyculus	Minylitha convallis	Discoaster quinqueramus/berggrenii	Amaurolithus spp.	Comment



  IR	                 	                 	                  	              	167	1010	E	  6	H	CC	  19.00	     56.9000	Fornaciari	Nannofossils                                 	C              	P                 	R                               	                           	                        	                         	                          	                      	                  	                    	                   	                                  	                 	from IR. Ch.4 Table 3.

  IR	                 	                 	CN9b              	              	167	1010	E	  8	H	CC	   8.00	     75.8900	Fornaciari	Nannofossils                                 	A              	M                 	                                	                           	                        	                         	R                         	                      	                  	                    	                   	R/F                               	RR               	from IR. Ch.4 Table 3.

  IR	                 	                 	CN8               	CN9a          	167	1010	E	  9	H	CC	   0.00	     85.1200	Fornaciari	Nannofossils                                 	F              	P                 	+                               	                           	                        	                         	                          	                      	                  	                    	RR                 	                                  	                 	questionable zonal assignment. from IR. Ch.4 Table 3.

  IR	                 	                 	CN8               	CN9a          	167	1010	E	 10	H	CC	   0.00	     94.5900	Fornaciari	Nannofossils                                 	C              	M                 	C                               	                           	                        	                         	                          	                      	                  	                    	R/F                	                                  	                 	questionable zonal assignment. from IR. Ch.4 Table 3.

  IR	                 	                 	                  	              	167	1010	E	 11	H	CC	  21.00	    104.5400	Fornaciari	Nannofossils                                 	F              	M                 	R                               	                           	                        	                         	                          	                      	                  	                    	                   	                                  	                 	from IR. Ch.4 Table 3.

  IR	                 	                 	CN6               	CN7           	167	1010	E	 12	H	CC	   0.00	    113.6000	Fornaciari	Nannofossils                                 	F              	P                 	                                	                           	                        	                         	                          	                      	                  	RR                  	                   	                                  	                 	questionable zonal assignment. from IR. Ch.4 Table 3.

  IR	                 	                 	CN5b              	              	167	1010	E	 14	H	CC	  13.00	    132.9100	Fornaciari	Nannofossils                                 	F              	P                 	                                	                           	                        	                         	                          	                      	F                 	                    	                   	                                  	                 	from IR. Ch.4 Table 3.

  IR	                 	                 	CN5b              	              	167	1010	E	 15	H	CC	  10.00	    142.3100	Fornaciari	Nannofossils                                 	A              	G                 	C                               	RR                         	                        	                         	                          	                      	                  	                    	                   	                                  	                 	questionable zonal assignment. from IR. Ch.4 Table 3.

  IR	                 	                 	CN5a              	              	167	1010	E	 16	H	CC	  14.00	    151.8900	Fornaciari	Nannofossils                                 	A              	G                 	C                               	C                          	                        	                         	RR                        	+                     	                  	                    	                   	                                  	                 	from IR. Ch.4 Table 3.

  IR	                 	                 	CN5a              	              	167	1010	E	 17	X	CC	  28.00	    161.2000	Fornaciari	Nannofossils                                 	A              	G                 	A                               	F/C                        	+                       	+                        	                          	                      	                  	                    	                   	                                  	                 	from IR. Ch.4 Table 3.

  IR	                 	                 	CN5a              	              	167	1010	E	 18	X	CC	  18.00	    170.5800	Fornaciari	Nannofossils                                 	A              	G                 	A                               	R                          	+                       	+                        	                          	                      	                  	                    	                   	                                  	                 	from IR. Ch.4 Table 3.

  IR	                 	                 	CN5a              	              	167	1010	E	 19	X	CC	  19.00	    180.2100	Fornaciari	Nannofossils                                 	A              	G                 	F/C                             	A                          	+                       	+                        	                          	                      	                  	                    	                   	                                  	                 	from IR. Ch.4 Table 3.

