Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology 1 prefix,Lithology 1 principal name,Lithology 1 suffix,LITH 1 prefix+name [read only],LITH 1 prefix+name+suffix [read only],LITH 1 abundance [%],LITH 1 color,LITH 1 lithification,LITH 1 ave. grain size class,LITH 1 ave. grain size rank [read only],LITH 1 max. grain size class,LITH 1 max. grain size rank [read only],LITH 1 grain sorting,LITH 1 Ash abundance name,LITH 1 Ash abundance rank (read only),LITH 1 comment,Lithology 2 prefix,Lithology 2 principal name,Lithology 2 suffix,LITH 2 prefix+name [read only],LITH 2 prefix+name+suffix [read only],LITH 2 abundance [%],Total LITH abundance [%],LITH 2 Ash abundance name,LITH 2 Ash abundance rank (read only),General interval comment,Bottom contact geometry,Bottom contact attitude,LITH 1 Layer or bedding thickness,LITH 1 Sedimentary structure,LITH 1 Bioturbation intensity,LITH 1 Bioturbation intensity rank [read only],LITH 1 Deformational structure,LITH 1 Deformational structure attitude,LITH 1 Diagenetic structure,LITH 1 Diagenetic constituent,LITH 1 Diagenetic constituent composition,LITH 1 Macrofossil,LITH 1 Macrofossil abundance name,LITH 2 Macrofossil,LITH 1 Clast abundance,LITH 1 Number of clasts (>2mm),LITH 1 Clast 1 igneous [%],LITH 1 Clast 1 igneous -  grain size,LITH 1 Clast 1 igneous -  roundness,LITH 1 Clast 1 igneous -  lithology,LITH 1 Clast 2 sediment [%],LITH 1 Clast 2 sediment - grain size,LITH 1 Clast 2 sediment - roundness,LITH 1 Clast 3 -other LITH [%],LITH 1 Clast 3 metamorphic - grain size,LITH 1 Clast 3 metamorphic - roundness,Total clasts calculated LITH 1 [%],LITH 1 Matrix 1 igneous - pumiceous [%],LITH 1 Matrix 2 igneous - scoriaceous [%],LITH 1 Matrix 3 igneous - massive [%],LITH 1 Matrix 4 igneous - vesicular [%],LITH 1 Matrix 5 volcaniclastic [%],LITH 1 Matrix 6 sediment [%],LITH 1 Matrix 7 -other LITH [%],LITH 1 Matrix biogenic carbonate [%],LITH 1 Matrix detritical carbonate [%],LITH 1 Matrix carbonate [%],Total matrix calculated LITH 1 [%],LITH 1 Matrix sorting,LITH 1 Matrix alteration intensity,LITH 1 Matrix alteration rank,LITH 1 Matrix comments,Shore File Links,File Data
349-U1433B-2R-1-A,0,101,186.1,187.11,,clay [Leg339],with silt [Leg339],clay ,clay  with silt ,100,5YR 3/2 (dark reddish brown),well consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderately well [BP01],,,,,,,,,,100,,,,gradational,horizontal,medium bed [B01],lamination,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349-U1433B-2R-1-A,0,101,186.1,187.11,,clay [Leg339],,clay ,clay ,100,5YR 3/2 (dark reddish brown),well consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderately well [BP01],,,,,,,,,,100,,,,,,,color banding,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349-U1433B-2R-2-A,0,28,187.11,187.39,,clay [Leg339],,clay ,clay ,100,5YR 3/2 (dark reddish brown),well consolidated [B84],clay [W22_1],1,clay [W22_1],1,moderately well [BP01],,,,,,,,,,100,,,,irregular,curved,medium bed [B01],color banding,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349-U1433B-2R-2-A,28,46,187.39,187.57,,nannofossil ooze [Leg339],,nannofossil ooze ,nannofossil ooze ,100,GLEY 1 5/5GY (greenish gray),well consolidated [B84],silt [W22_1],2,silt [W22_1],2,moderately well [BP01],,,,,,,,,,100,,,silty at base,Erosive,curved,medium bed [B01],,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349-U1433B-2R-2-A,46,56,187.57,187.67,,nannofossil ooze [Leg339],,nannofossil ooze ,nannofossil ooze ,100,GLEY 1 5/5GY (greenish gray),well consolidated [B84],silt [W22_1],2,silt [W22_1],2,moderately well [BP01],,,,,,,,,,100,,,,,,medium bed [B01],,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349-U1433B-2R-CC-A,0,6,187.73,187.79,,nannofossil ooze [Leg339],,nannofossil ooze ,nannofossil ooze ,100,GLEY 1 5/5GY (greenish gray),well consolidated [B84],silt [W22_1],2,silt [W22_1],2,moderately well [BP01],,,,,,,,,,100,,,,,,medium bed [B01],,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349-U1433B-3R-1-A,0,15,194.1,194.25,,clay [Leg339],,clay ,clay ,100,GLEY 1 6/10Y (greenish gray),well consolidated [B84],clay [W22_1],1,silt [W22_1],2,well [BP01],,,,,,,,,,100,,,,erosive,sub-horizontal,medium bed [B01],color banding,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349-U1433B-3R-1-A,15,61,194.25,194.71,,clay [Leg339],,clay ,clay ,100,GLEY 1 5/10Y (greenish gray),well consolidated [B84],clay [W22_1],1,clay [W22_1],1,well [BP01],,,,,,,,,,100,,,,gradational,sub-horizontal,thick bed [B01],color banding,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349-U1433B-3R-1-A,61,115,194.71,195.25,,clay [Leg339],,clay ,clay ,100,GLEY 1 5/10Y (greenish gray),well consolidated [B84],clay [W22_1],1,clay [W22_1],1,well [BP01],,,,,,,,,,100,,,,gradational,sub-horizontal,thick bed [B01],color banding,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349-U1433B-3R-1-A,115,125,195.25,195.35,,clay [Leg339],,clay ,clay ,100,GLEY 1 4/10Y (dark greenish gray),well consolidated [B84],clay [W22_1],1,silt [W22_1],2,well [BP01],,,,,,,,,,100,,,,,,medium bed [B01],color banding,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349-U1433B-3R-2-A,0,28,195.35,195.63,,clay [Leg339],,clay ,clay ,100,GLEY 1 5/10Y (greenish gray),well consolidated [B84],clay [W22_1],1,clay [W22_1],1,well [BP01],,,,,,,,,,100,,,,gradational,sub-horizontal,thick bed [B01],color banding,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349-U1433B-3R-2-A,28,55,195.63,195.9,,clay [Leg339],,clay ,clay ,100,GLEY 1 4/10Y (dark greenish gray),well consolidated [B84],clay [W22_1],1,silt [W22_1],2,well [BP01],,,,,,,,,,100,,,,,,medium bed [B01],color banding,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349-U1433B-3R-3-A,0,35,196.1,196.45,,clay [Leg339],with silt [Leg339],clay ,clay  with silt ,100,GLEY 1 5/10Y (greenish gray),well consolidated [B84],clay [W22_1],1,silt [W22_1],2,well [BP01],,,,,,,,,,100,,,,gradational,sub-horizontal,thick bed [B01],color banding,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349-U1433B-3R-3-A,35,59,196.45,196.69,,clay [Leg339],,clay ,clay ,100,GLEY 1 4/10Y (dark greenish gray),well consolidated [B84],clay [W22_1],1,silt [W22_1],2,well [BP01],,,,,,,,,,100,,,,gradational,sub-horizontal,medium bed [B01],,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349-U1433B-3R-3-A,59,68,196.69,196.78,,clay [Leg339],,clay ,clay ,100,GLEY 1 5/10Y (greenish gray),well consolidated [B84],clay [W22_1],1,clay [W22_1],1,well [BP01],,,,,,,,,,100,,,,gradational,sub-horizontal,thin bed [B01],color banding,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349-U1433B-3R-3-A,68,79,196.78,196.89,,clay [Leg339],,clay ,clay ,100,GLEY 1 4/10Y (dark greenish gray),well consolidated [B84],clay [W22_1],1,silt [W22_1],2,well [BP01],,,,,,,,,,100,,,,,,medium bed [B01],color banding,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349-U1433B-3R-CC-A,0,24,196.89,197.13,,clay [Leg339],,clay ,clay ,100,GLEY 1 5/10Y (greenish gray),well consolidated [B84],clay [W22_1],1,clay [W22_1],1,well [BP01],,,,,,,,,,100,,,,gradational,sub-horizontal,thin bed [B01],color banding,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
