leg,site,hole,age mnemonic,auxiliary age mnemonic,top of section depth(m),bottom of section depth(m),special condition,age,auxiliary age,averaged age,age top of section(million years),age bottom of section(million years),average age(million years)t,data source
79,547,A,UPPER PLEISTOCENE,,51.0,60.5,,NO AGE GIVEN,,NO AGE GIVEN, 0.01,  0.7,0.355,DSDP INITIAL REPORTS
79,547,A,PLEISTOCENE,,79.5,89.0,A LEGITIMATE AGE INVERSION,NO AGE GIVEN,,NO AGE GIVEN,0.011,  1.8,.9055,DSDP INITIAL REPORTS
79,547,A,MIDDLE PLIOCENE,LOWER PLIOCENE,89.0,98.5,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,    3,    5,    4,DSDP INITIAL REPORTS
79,547,A,LOWER PLIOCENE,UPPER MIOCENE,98.5,117.5,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,  3.4, 10.5, 6.95,DSDP INITIAL REPORTS
79,547,A,UPPER MIOCENE,,117.5,141.0,,NO AGE GIVEN,,NO AGE GIVEN,    5, 10.5, 7.75,DSDP INITIAL REPORTS
79,547,A,UPPER MIOCENE,MIDDLE MIOCENE,141.1,146.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,    5,   16, 10.5,DSDP INITIAL REPORTS
79,547,A,MIDDLE MIOCENE,,146.0,198.2,,NO AGE GIVEN,,NO AGE GIVEN, 10.5,   16,13.25,DSDP INITIAL REPORTS
79,547,A,LOWER MIOCENE,,198.2,204.3,,NO AGE GIVEN,,NO AGE GIVEN,   16, 22.5,19.25,DSDP INITIAL REPORTS
79,547,A,MIDDLE OLIGOCENE,LOWER OLIGOCENE,204.3,212.5,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,   29, 37.5,33.25,DSDP INITIAL REPORTS
79,547,A,LOWER OLIGOCENE,,212.5,222.0,,NO AGE GIVEN,,NO AGE GIVEN,   30, 37.5,33.75,DSDP INITIAL REPORTS
79,547,A,LOWER OLIGOCENE,UPPER EOCENE,222.0,231.5,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,   30,   43, 36.5,DSDP INITIAL REPORTS
79,547,A,UPPER EOCENE,,231.5,279.0,,NO AGE GIVEN,,NO AGE GIVEN, 37.5,   43,40.25,DSDP INITIAL REPORTS
79,547,A,LOWER EOCENE,UPPER PALEOCENE,279.0,298.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,   49,   60, 54.5,DSDP INITIAL REPORTS
79,547,A,UPPER PALEOCENE,,298.0,307.5,,NO AGE GIVEN,,NO AGE GIVEN, 53.5,   60,56.75,DSDP INITIAL REPORTS
79,547,A,UPPER PALEOCENE,MIDDLE PALEOCENE,307.5,317.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN, 53.5,   60,56.75,DSDP INITIAL REPORTS
79,547,A,MIDDLE PALEOCENE,,317.0,345.5,,NO AGE GIVEN,,NO AGE GIVEN,   58,   60,   59,DSDP INITIAL REPORTS
79,547,A,MIDDLE PALEOCENE,LOWER PALEOCENE,345.5,355.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,   58,   65, 61.5,DSDP INITIAL REPORTS
79,547,A,LOWER PALEOCENE,,355.0,374.0,,NO AGE GIVEN,,NO AGE GIVEN,   60,   65, 62.5,DSDP INITIAL REPORTS
79,547,A,UPPER MAESTRICHTIAN ,MIDDLE MAESTRICHTIAN,374.0,383.5,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,   65,   67,   66,DSDP INITIAL REPORTS
79,547,A,MIDDLE MAESTRICHTIAN,,383.5,393.0,,NO AGE GIVEN,,NO AGE GIVEN,   66,   67, 66.5,DSDP INITIAL REPORTS
79,547,A,LOWER MAESTRICHTIAN ,MIDDLE CAMPANIAN,393.0,402.5,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN, 67.5,   76,71.75,DSDP INITIAL REPORTS
79,547,A,CAMPANIAN,,402.5,421.5,A LEGITIMATE AGE INVERSION,NO AGE GIVEN,,NO AGE GIVEN,   70,   78,   74,DSDP INITIAL REPORTS
79,547,A,CAMPANIAN,MIDDLE CENOMANIAN,421.5,431.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,   70, 97.5,83.75,DSDP INITIAL REPORTS
79,547,A,UPPER CENOMANIAN,MIDDLE CENOMANIAN,431.0,497.5,A LEGITIMATE AGE INVERSION,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,   92, 97.5,94.75,DSDP INITIAL REPORTS
79,547,A,MIDDLE CENOMANIAN,LOWER CENOMANIAN,497.5,630.5,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,   95,  100, 97.5,DSDP INITIAL REPORTS
79,547,A,UPPER ALBIAN,,630.5,744.5,,NO AGE GIVEN,,NO AGE GIVEN,  100,  104,  102,DSDP INITIAL REPORTS
