Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Neogloboquadrina pachyderma (sinistral),Globorotalia puncticuloides,Globorotalia inflata,Globigerinita glutinata,Globigerina bulloides,Neogloboquadrina pachyderma (dextral),Globigerinella calida,Orbulina universa,Globigerina woodi,Globigerina quinqueloba,Globorotalia truncatulinoides,Neogloboquadrina humerosa,Globorotalia scitula,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,177,1089,C,  1,H,CC,   8.00,      2.3800,Andersson,Planktonic Foraminifers                      ,A              ,M                 ,R                                      ,                           ,A                   ,F                      ,P                    ,F                                    ,                     ,R                ,                 ,A                      ,F                            ,                         ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,177,1089,C,  2,H,CC,   0.00,      9.3700,Andersson,Planktonic Foraminifers                      ,C              ,P                 ,F                                      ,R                          ,F                   ,                       ,F                    ,F                                    ,                     ,                 ,R                ,R                      ,                             ,R                        ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,177,1089,C,  3,H,CC,   9.00,     17.4200,Andersson,Planktonic Foraminifers                      ,A              ,M                 ,A                                      ,R                          ,F                   ,R                      ,D                    ,F                                    ,                     ,R                ,R                ,                       ,R                            ,                         ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,177,1089,C,  4,H,CC,  10.00,     31.7800,Andersson,Planktonic Foraminifers                      ,A              ,M                 ,F                                      ,R                          ,A                   ,F                      ,D                    ,R                                    ,                     ,R                ,F                ,                       ,F                            ,                         ,R                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,177,1089,C,  5,H,CC,  10.00,     40.9100,Andersson,Planktonic Foraminifers                      ,R              ,P                 ,                                       ,                           ,P                   ,                       ,P                    ,P                                    ,                     ,                 ,                 ,                       ,                             ,                         ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,177,1089,C,  6,H,CC,   9.00,     51.4600,Andersson,Planktonic Foraminifers                      ,A              ,M                 ,A                                      ,                           ,                    ,F                      ,D                    ,R                                    ,                     ,                 ,                 ,A                      ,R                            ,F                        ,R                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,177,1089,C,  7,H,CC,   0.00,     60.8100,Andersson,Planktonic Foraminifers                      ,A              ,M                 ,                                       ,F                          ,D                   ,                       ,A                    ,                                     ,                     ,                 ,                 ,                       ,                             ,                         ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
