Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Naviculopsis ponticula spinosa,Naviculopsis ponticula ponticula,Naviculopsis constricta,Naviculopsis biapiculata,Dictyocha spp.,Corbisema triacantha,Corbisema archangelskiana,Bachmannocena  diodon,Bachmannocena apiculata apiculata,Distephanus pseudofibula,Dictyocha pygmaea,Bachmannocena  borderlandensis,Bachmannocena dumitricae,Distephanus quinquangellus,Comment
  SR,                 ,                 ,                  ,              ,114, 704,B, 33,X, 1,  80.00,    300.0000,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                              ,                                ,                       ,                        ,-             ,                    ,                         ,-                    ,                                 ,-                       ,-                ,-                             ,-                       ,                          ,from ODP Leg 114 SR Chapter 41 Table 4 p.765-770
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 704,B, 33,X, 3,  80.00,    303.0000,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                              ,                                ,                       ,                        ,-             ,                    ,                         ,-                    ,                                 ,-                       ,-                ,-                             ,VR                      ,                          ,from ODP Leg 114 SR Chapter 41 Table 4 p.765-770
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 704,B, 33,X, 5,  80.00,    306.0000,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                              ,                                ,                       ,                        ,-             ,                    ,                         ,-                    ,                                 ,-                       ,-                ,-                             ,R                       ,                          ,from ODP Leg 114 SR Chapter 41 Table 4 p.765-770
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 704,B, 34,X, 1,  80.00,    309.5000,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                              ,                                ,                       ,                        ,-             ,                    ,                         ,-                    ,                                 ,-                       ,-                ,-                             ,S                       ,                          ,from ODP Leg 114 SR Chapter 41 Table 4 p.765-770
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 704,B, 34,X, 3,  80.00,    312.5000,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                              ,                                ,                       ,                        ,-             ,                    ,                         ,R                    ,                                 ,-                       ,-                ,-                             ,R                       ,                          ,from ODP Leg 114 SR Chapter 41 Table 4 p.765-770
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 704,B, 34,X, 5,  80.00,    315.5000,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                              ,                                ,                       ,                        ,-             ,                    ,                         ,R                    ,                                 ,-                       ,-                ,-                             ,-                       ,                          ,from ODP Leg 114 SR Chapter 41 Table 4 p.765-770
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 704,B, 35,X, 1,  80.00,    319.0000,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                              ,                                ,                       ,                        ,-             ,                    ,                         ,-                    ,                                 ,-                       ,-                ,-                             ,R                       ,                          ,from ODP Leg 114 SR Chapter 41 Table 4 p.765-770
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 704,B, 35,X, 3,  80.00,    322.0000,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                              ,                                ,                       ,                        ,-             ,                    ,                         ,R                    ,                                 ,-                       ,-                ,-                             ,S                       ,                          ,from ODP Leg 114 SR Chapter 41 Table 4 p.765-770
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 704,B, 35,X, 5,  80.00,    325.0000,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                              ,                                ,                       ,                        ,-             ,                    ,                         ,S                    ,                                 ,-                       ,-                ,-                             ,R                       ,                          ,from ODP Leg 114 SR Chapter 41 Table 4 p.765-770
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 704,B, 36,X, 1,  80.00,    328.5000,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                              ,                                ,                       ,                        ,S             ,                    ,                         ,F                    ,                                 ,-                       ,-                ,-                             ,C                       ,                          ,from ODP Leg 114 SR Chapter 41 Table 4 p.765-770
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 704,B, 37,X, 1,  80.00,    338.0000,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                              ,                                ,                       ,                        ,R             ,                    ,                         ,-                    ,                                 ,-                       ,-                ,-                             ,F                       ,                          ,from ODP Leg 114 SR Chapter 41 Table 4 p.765-770
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 704,B, 37,X, 3,  80.00,    341.0000,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                              ,                                ,                       ,                        ,-             ,                    ,                         ,-                    ,                                 ,-                       ,-                ,-                             ,R                       ,                          ,from ODP Leg 114 SR Chapter 41 Table 4 p.765-770
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 704,B, 39,X, 2,  80.00,    358.5000,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                              ,                                ,                       ,                        ,R             ,                    ,                         ,-                    ,                                 ,-                       ,-                ,-                             ,-                       ,                          ,from ODP Leg 114 SR Chapter 41 Table 4 p.765-770
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 704,B, 39,X, 5,  80.00,    363.0000,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                              ,                                ,                       ,                        ,-             ,                    ,                         ,-                    ,                                 ,-                       ,-                ,-                             ,-                       ,                          ,from ODP Leg 114 SR Chapter 41 Table 4 p.765-770
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 704,B, 40,X, 2,  80.00,    368.0000,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                              ,                                ,                       ,                        ,-             ,                    ,                         ,-                    ,                                 ,-                       ,-                ,-                             ,-                       ,                          ,from ODP Leg 114 SR Chapter 41 Table 4 p.765-770
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 704,B, 41,X, 2,  80.00,    377.5000,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                              ,                                ,                       ,                        ,R             ,                    ,                         ,-                    ,                                 ,-                       ,-                ,-                             ,-                       ,                          ,from ODP Leg 114 SR Chapter 41 Table 4 p.765-770
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 704,B, 41,X, 5,  80.00,    382.0000,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                              ,                                ,                       ,                        ,S             ,                    ,                         ,-                    ,                                 ,-                       ,-                ,-                             ,-                       ,                          ,from ODP Leg 114 SR Chapter 41 Table 4 p.765-770
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 704,B, 42,X, 2,  80.00,    387.0000,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                              ,                                ,                       ,                        ,-             ,                    ,                         ,-                    ,                                 ,-                       ,-                ,-                             ,R                       ,                          ,from ODP Leg 114 SR Chapter 41 Table 4 p.765-770
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 704,B, 42,X, 6,  80.00,    392.5700,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                              ,                                ,                       ,                        ,R             ,                    ,                         ,-                    ,                                 ,-                       ,-                ,-                             ,-                       ,                          ,from ODP Leg 114 SR Chapter 41 Table 4 p.765-770
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 704,B, 43,X, 3,  79.00,    397.1300,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                              ,                                ,                       ,                        ,-             ,                    ,                         ,-                    ,                                 ,-                       ,-                ,-                             ,R                       ,                          ,from ODP Leg 114 SR Chapter 41 Table 4 p.765-770
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 704,B, 43,X, 5,  79.00,    399.9900,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                              ,                                ,                       ,                        ,-             ,                    ,                         ,-                    ,                                 ,-                       ,-                ,-                             ,-                       ,                          ,from ODP Leg 114 SR Chapter 41 Table 4 p.765-770
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 704,B, 44,X, 1,  80.00,    404.5000,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                              ,                                ,                       ,                        ,-             ,                    ,                         ,-                    ,                                 ,-                       ,-                ,-                             ,S                       ,                          ,from ODP Leg 114 SR Chapter 41 Table 4 p.765-770
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 704,B, 45,X, 2,  81.00,    415.5100,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                              ,                                ,                       ,                        ,-             ,                    ,                         ,-                    ,                                 ,-                       ,-                ,-                             ,-                       ,                          ,from ODP Leg 114 SR Chapter 41 Table 4 p.765-770
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 704,B, 46,X, 2,  80.00,    425.0000,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                              ,                                ,                       ,                        ,-             ,                    ,                         ,-                    ,                                 ,-                       ,-                ,-                             ,-                       ,                          ,from ODP Leg 114 SR Chapter 41 Table 4 p.765-770
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 704,B, 46,X, 3,  80.00,    426.5000,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                              ,                                ,                       ,                        ,-             ,                    ,                         ,-                    ,                                 ,-                       ,-                ,-                             ,-                       ,                          ,from ODP Leg 114 SR Chapter 41 Table 4 p.765-770
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 704,B, 46,X, 4,  80.00,    428.0000,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                              ,                                ,                       ,                        ,S             ,                    ,                         ,-                    ,                                 ,-                       ,-                ,-                             ,-                       ,                          ,from ODP Leg 114 SR Chapter 41 Table 4 p.765-770
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. triacantha     ,              ,114, 704,B, 46,X, 5,  80.00,    429.5000,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,-                             ,-                               ,-                      ,-                       ,F             ,R                   ,-                        ,-                    ,-                                ,                        ,                 ,                              ,                        ,                          ,from ODP Leg 114 SR Chapter 41 Table 4 p.772-777
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. triacantha     ,              ,114, 704,B, 47,X, 2,  79.00,    434.4900,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,-                             ,-                               ,-                      ,-                       ,S             ,R                   ,-                        ,S                    ,-                                ,                        ,                 ,                              ,                        ,                          ,from ODP Leg 114 SR Chapter 41 Table 4 p.772-777
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. triacantha     ,              ,114, 704,B, 47,X, 5,  79.00,    438.9900,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,-                             ,-                               ,-                      ,-                       ,F             ,R                   ,-                        ,-                    ,-                                ,                        ,                 ,                              ,                        ,                          ,from ODP Leg 114 SR Chapter 41 Table 4 p.772-777
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. triacantha     ,              ,114, 704,B, 48,X, 1,  79.00,    442.4900,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,-                             ,-                               ,-                      ,-                       ,R             ,S                   ,-                        ,-                    ,-                                ,                        ,                 ,                              ,                        ,                          ,from ODP Leg 114 SR Chapter 41 Table 4 p.772-777
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. triacantha     ,              ,114, 704,B, 48,X, 3,  79.00,    445.4900,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,-                             ,-                               ,-                      ,-                       ,S             ,S                   ,-                        ,-                    ,-                                ,                        ,                 ,                              ,                        ,                          ,from ODP Leg 114 SR Chapter 41 Table 4 p.772-777
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. triacantha     ,              ,114, 704,B, 49,X, 1,  47.00,    451.6700,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,-                             ,-                               ,-                      ,-                       ,-             ,-                   ,-                        ,-                    ,-                                ,                        ,                 ,                              ,                        ,                          ,from ODP Leg 114 SR Chapter 41 Table 4 p.772-777
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. triacantha     ,              ,114, 704,B, 49,X, 4,  47.00,    456.1700,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,-                             ,VR                              ,-                      ,-                       ,S             ,R                   ,-                        ,-                    ,-                                ,                        ,                 ,                              ,                        ,                          ,from ODP Leg 114 SR Chapter 41 Table 4 p.772-777
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. triacantha     ,              ,114, 704,B, 50,X, 1,  45.00,    461.1500,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,-                             ,-                               ,-                      ,-                       ,R             ,R                   ,-                        ,-                    ,-                                ,                        ,                 ,                              ,                        ,                          ,from ODP Leg 114 SR Chapter 41 Table 4 p.772-777
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. triacantha     ,              ,114, 704,B, 51,X, 1,  40.00,    463.1000,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,-                             ,-                               ,-                      ,-                       ,S             ,R                   ,-                        ,-                    ,-                                ,                        ,                 ,                              ,                        ,                          ,from ODP Leg 114 SR Chapter 41 Table 4 p.772-777
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. triacantha     ,              ,114, 704,B, 52,X, 1,  40.00,    472.6000,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,-                             ,-                               ,-                      ,-                       ,C             ,C                   ,-                        ,-                    ,-                                ,                        ,                 ,                              ,                        ,                          ,from ODP Leg 114 SR Chapter 41 Table 4 p.772-777
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. triacantha     ,              ,114, 704,B, 52,X, 4,  40.00,    477.1000,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,-                             ,-                               ,-                      ,-                       ,S             ,R                   ,-                        ,-                    ,VR                               ,                        ,                 ,                              ,                        ,                          ,from ODP Leg 114 SR Chapter 41 Table 4 p.772-777
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. triacantha     ,              ,114, 704,B, 53,X, 1,  40.00,    482.1000,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,-                             ,-                               ,-                      ,-                       ,F             ,S                   ,-                        ,-                    ,R                                ,                        ,                 ,                              ,                        ,                          ,from ODP Leg 114 SR Chapter 41 Table 4 p.772-777
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N. ponticula (Cies),              ,114, 704,B, 53,X, 3,  40.00,    485.1000,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,R                             ,-                               ,-                      ,-                       ,S             ,F                   ,-                        ,-                    ,S                                ,                        ,                 ,                              ,                        ,                          ,from ODP Leg 114 SR Chapter 41 Table 4 p.772-777
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N. ponticula (Cies),              ,114, 704,B, 54,X, 2,  40.00,    493.1000,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,F                             ,R                               ,-                      ,-                       ,-             ,F                   ,-                        ,-                    ,-                                ,                        ,                 ,                              ,                        ,                          ,from ODP Leg 114 SR Chapter 41 Table 4 p.772-777
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N. ponticula (Cies),              ,114, 704,B, 54,X, 5,  40.00,    497.6000,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,-                             ,-                               ,-                      ,-                       ,-             ,C                   ,-                        ,-                    ,VR                               ,                        ,                 ,                              ,                        ,                          ,from ODP Leg 114 SR Chapter 41 Table 4 p.772-777
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N. ponticula (Cies),              ,114, 704,B, 55,X, 1,  39.00,    501.0900,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,-                             ,-                               ,-                      ,-                       ,-             ,-                   ,-                        ,-                    ,-                                ,                        ,                 ,                              ,                        ,                          ,from ODP Leg 114 SR Chapter 41 Table 4 p.772-777
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N. ponticula (Cies),              ,114, 704,B, 55,X, 4,  39.00,    505.5900,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,-                             ,-                               ,-                      ,-                       ,-             ,-                   ,-                        ,-                    ,-                                ,                        ,                 ,                              ,                        ,                          ,from ODP Leg 114 SR Chapter 41 Table 4 p.772-777
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N. ponticula (Cies),              ,114, 704,B, 56,X, 1,  85.00,    511.0500,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,R                             ,-                               ,-                      ,-                       ,-             ,F                   ,-                        ,-                    ,-                                ,                        ,                 ,                              ,                        ,                          ,from ODP Leg 114 SR Chapter 41 Table 4 p.772-777
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N. ponticula (Cies),              ,114, 704,B, 56,X, 3,  85.00,    514.0500,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,R                             ,R                               ,-                      ,-                       ,R             ,C                   ,-                        ,-                    ,-                                ,                        ,                 ,                              ,                        ,                          ,from ODP Leg 114 SR Chapter 41 Table 4 p.772-777
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 704,B, 57,X, 2,  82.00,    522.0200,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,-                             ,-                               ,-                      ,VR                      ,-             ,VR                  ,-                        ,-                    ,VR                               ,                        ,                 ,                              ,                        ,                          ,from ODP Leg 114 SR Chapter 41 Table 4 p.772-777
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 704,B, 58,X, 2,  70.00,    531.4000,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,-                             ,-                               ,-                      ,-                       ,-             ,-                   ,-                        ,-                    ,R                                ,                        ,                 ,                              ,                        ,                          ,from ODP Leg 114 SR Chapter 41 Table 4 p.772-777
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 704,B, 58,X, 5,  70.00,    535.9000,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,-                             ,-                               ,-                      ,VR                      ,-             ,-                   ,-                        ,-                    ,-                                ,                        ,                 ,                              ,                        ,                          ,C.archangelskiana questionably present; from ODP Leg 114 SR Chapter 41 Table 4 p.772-777
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 704,B, 59,X, 2,  80.00,    541.0000,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,-                             ,-                               ,-                      ,VR                      ,-             ,VR                  ,-                        ,-                    ,-                                ,                        ,                 ,                              ,                        ,                          ,from ODP Leg 114 SR Chapter 41 Table 4 p.772-777
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N. biapiculata(Cies),              ,114, 704,B, 59,X, 4,  80.00,    544.0000,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,-                             ,-                               ,-                      ,S                       ,-             ,VR                  ,-                        ,-                    ,-                                ,                        ,                 ,                              ,                        ,                          ,from ODP Leg 114 SR Chapter 41 Table 4 p.772-777
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N. biapiculata(Cies),              ,114, 704,B, 60,X, 2,  80.00,    550.5000,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,-                             ,-                               ,VR                     ,C                       ,-             ,VR                  ,VR                       ,-                    ,-                                ,                        ,                 ,                              ,                        ,                          ,from ODP Leg 114 SR Chapter 41 Table 4 p.772-777
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N. biapiculata(Cies),              ,114, 704,B, 60,X, 5,  80.00,    555.0000,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,-                             ,-                               ,-                      ,C                       ,-             ,-                   ,VR                       ,-                    ,-                                ,                        ,                 ,                              ,                        ,                          ,from ODP Leg 114 SR Chapter 41 Table 4 p.772-777
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N. biapiculata(Cies),              ,114, 704,B, 61,X, 2,  80.00,    560.0000,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,-                             ,-                               ,-                      ,S                       ,-             ,-                   ,-                        ,-                    ,-                                ,                        ,                 ,                              ,                        ,                          ,from ODP Leg 114 SR Chapter 41 Table 4 p.772-777
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N. biapiculata(Cies),              ,114, 704,B, 62,X, 2,  40.00,    569.1000,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,-                             ,-                               ,-                      ,S                       ,-             ,-                   ,-                        ,-                    ,R                                ,                        ,                 ,                              ,                        ,                          ,from ODP Leg 114 SR Chapter 41 Table 4 p.772-777
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
