Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Naviculopsis ponticula spinosa,Naviculopsis ponticula ponticula,Naviculopsis constricta,Naviculopsis biapiculata,Dictyocha spp.,Corbisema triacantha,Corbisema archangelskiana,Bachmannocena  diodon,Bachmannocena apiculata apiculata,Distephanus pseudofibula,Dictyocha pygmaea,Bachmannocena  borderlandensis,Bachmannocena dumitricae,Distephanus quinquangellus,Comment
  SR,                 ,                 ,                  ,              ,114, 704,B, 25,X, 3,  80.00,    227.0000,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                              ,                                ,                       ,                        ,S             ,                    ,                         ,-                    ,                                 ,-                       ,-                ,-                             ,-                       ,                          ,from ODP Leg 114 SR Chapter 41 Table 4 p.765-770
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 704,B, 25,X, 4,  80.00,    228.5000,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                              ,                                ,                       ,                        ,R             ,                    ,                         ,-                    ,                                 ,VR                      ,VR               ,-                             ,-                       ,                          ,from ODP Leg 114 SR Chapter 41 Table 4 p.765-770
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 704,B, 25,X, 5,  80.00,    230.0000,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                              ,                                ,                       ,                        ,R             ,                    ,                         ,-                    ,                                 ,R                       ,-                ,-                             ,-                       ,                          ,from ODP Leg 114 SR Chapter 41 Table 4 p.765-770
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 704,B, 25,X, 6,  80.00,    231.5000,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                              ,                                ,                       ,                        ,C             ,                    ,                         ,-                    ,                                 ,S                       ,-                ,-                             ,rVR                     ,                          ,from ODP Leg 114 SR Chapter 41 Table 4 p.765-770
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 704,B, 26,X, 1,  80.00,    233.5000,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                              ,                                ,                       ,                        ,R             ,                    ,                         ,-                    ,                                 ,R                       ,-                ,-                             ,-                       ,                          ,from ODP Leg 114 SR Chapter 41 Table 4 p.765-770
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
