Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Thalassiosira oestrupii	Thalassiosira latimarginata	Thalassiosira jouseae	Thalassionema nitzschioides	Stephanopyxis turris	Rhizosolenia hebetata f. hiemalis	Proboscia curvirostris	Paralia sulcata	Nitzschia marina	Neodenticula seminae	Neodenticula koizumii	Chaetoceros spp. (resting spores)	Bacterosira fragilis	Asteromphalus flabellatus	Actinocyclus oculatus	Thalassiosira gravida	Proboscia barboi	Actinocyclus curvatulus	Nitzschia reinholdii	Coscinodiscus marginatus	Neodenticula kamtschatica	Koizumia tatsunokuchiensis	Actinoptychus senarius	Denticulopsis katayamae	Cocconeis costata	Fragilariopsis doliolus	Pyxidicula zabelinae	Odontella aurita	Hemidiscus cuneiformis	Azpeitia nodulifera	Rhizosolenia bergonii	Coscinodiscus radiatus	Thalassiosira lineata	Thalassiosira eccentrica	Comment



  IR	Pleistocene      	Pleistocene      	NPD 12            	NPD 12        	186	1151	C	  1	H	CC	  13.00	      2.1000	Ikeda    	Diatoms                                      	A              	G                 	R                      	R                          	                     	F                          	                    	R                                	                      	               	                	C                   	                     	C                                	R                   	                         	                     	F                    	                	                       	                    	                        	                         	                          	                      	                       	                 	                       	                    	                	                      	                   	                     	                      	R                    	F                       	       

  IR	Pleistocene      	Pleistocene      	NPD 12            	NPD 12        	186	1151	C	  2	H	CC	  23.00	     12.1000	Ikeda    	Diatoms                                      	C              	G                 	                       	R                          	r                    	F                          	                    	R                                	                      	               	                	C                   	                     	R                                	R                   	                         	                     	F                    	                	F                      	                    	                        	                         	                          	                      	                       	                 	                       	                    	                	                      	                   	                     	                      	R                    	                        	rework=T(T.jouseae and P. barboi).

  IR	Pleistocene      	Pleistocene      	NPD 12            	NPD 12        	186	1151	C	  3	H	CC	  20.00	     21.4400	Ikeda    	Diatoms                                      	A              	G                 	R                      	F                          	                     	F                          	F                   	                                 	                      	               	                	C                   	                     	A                                	F                   	                         	                     	F                    	                	                       	                    	                        	                         	                          	                      	                       	                 	F                      	                    	                	                      	                   	R                    	R                     	                     	                        	       

  IR	Pleistocene      	Pleistocene      	NPD 11            	NPD 11        	186	1151	C	  4	H	 4	  70.00	     26.4300	Ikeda    	Diatoms                                      	A              	M                 	R                      	                           	R                    	R                          	R                   	R                                	R                     	               	T               	R                   	                     	F                                	                    	                         	                     	C                    	                	                       	                    	                        	                         	                          	                      	                       	                 	                       	                    	                	                      	                   	T                    	                      	                     	                        	       

  IR	Pleistocene      	Pleistocene      	NPD 11            	NPD 11        	186	1151	C	  4	H	CC	  39.00	     31.5800	Ikeda    	Diatoms                                      	A              	G                 	                       	                           	T                    	F                          	R                   	                                 	R                     	               	                	F                   	                     	C                                	                    	                         	r                    	F                    	                	R                      	                    	                        	                         	                          	                      	                       	                 	F                      	                    	T               	                      	T                  	                     	                      	                     	                        	rework=T(A.oculatus)

