Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Mesocena elliptica,Dictyocha subarctios,Dictyocha fibula,Mesocena quadrangula,Dictyocha spp.,Distephanus crux var. stauracanthus,Distephanus slavnicii,Distephanus octangulatus,Distephanus speculum,Dictyocha mandrai,Dictyocha messanensis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,C,  1,H,CC,  31.00,      6.3100,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,R              ,M                 ,                  ,                    ,R               ,                    ,              ,                                   ,                     ,                        ,                    ,                 ,R                    ,from ODP Leg 127&128 SR Chapter 14 Table 3 p 244
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,C,  3,H,CC,  23.00,     25.2200,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,R              ,M                 ,                  ,                    ,                ,                    ,              ,                                   ,                     ,R                       ,                    ,                 ,R                    ,from ODP Leg 127&128 SR Chapter 14 Table 3 p 244
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,C,  4,H,CC,  36.00,     34.5500,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,R              ,M                 ,                  ,                    ,                ,                    ,              ,                                   ,                     ,                        ,R                   ,                 ,                     ,from ODP Leg 127&128 SR Chapter 14 Table 3 p 244
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,C,  5,H,CC,  38.00,     44.4800,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,F              ,M                 ,                  ,                    ,R               ,                    ,              ,                                   ,                     ,R                       ,R                   ,R                ,R                    ,from ODP Leg 127&128 SR Chapter 14 Table 3 p 244
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,C,  6,H,CC,  39.00,     53.5100,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,R              ,M                 ,                  ,                    ,                ,                    ,              ,                                   ,                     ,                        ,                    ,R                ,                     ,from ODP Leg 127&128 SR Chapter 14 Table 3 p 244
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,C,  7,H,CC,  24.00,     62.7500,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,R              ,M                 ,                  ,                    ,                ,                    ,              ,R                                  ,                     ,                        ,R                   ,                 ,                     ,from ODP Leg 127&128 SR Chapter 14 Table 3 p 244
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,C,  8,H,CC,  49.00,     73.6000,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,R              ,M                 ,                  ,                    ,R               ,                    ,              ,                                   ,                     ,R                       ,                    ,                 ,                     ,from ODP Leg 127&128 SR Chapter 14 Table 3 p 244
