Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Pseudoemiliania lacunosa	Gephyrocapsa caribbeanica	Coccolithus pelagicus	Reticulofenestra minuta	Reticulofenestra asanoi	Gephyrocapsa parallela	Gephyrocapsa oceanica	Calcidiscus leptoporus	Helicosphaera kamptneri	Gephyrocapsa ericsonii	Emiliania huxleyi	Ceratolithus telesmus	Rhabdosphaera clavigera	Ceratolithus acutus	Comment



  IR	                 	Pleistocene      	CN15              	CN15          	186	1151	C	  1	H	CC	  13.00	      2.1000	Li       	Nannofossils                                 	F              	G                 	                        	C                        	C                    	F                      	                       	F                     	C                    	C                     	C                      	C                     	C                	                     	                       	D                  	       

  IR	                 	Pleistocene      	                  	CN15          	186	1151	C	  2	H	CC	  23.00	     12.1000	Li       	Nannofossils                                 	F              	G                 	                        	C                        	F                    	                       	                       	                      	C                    	F                     	                       	C                     	C                	                     	                       	                   	       

  IR	                 	Pleistocene      	                  	CN14b         	186	1151	C	  3	H	CC	  20.00	     21.4400	Li       	Nannofossils                                 	C              	G                 	                        	A                        	C                    	                       	                       	                      	A                    	C                     	F                      	                      	A                	                     	R                      	                   	       

  IR	                 	Pleistocene      	                  	CN14b         	186	1151	C	  4	H	 2	  98.00	     23.6900	Li       	Nannofossils                                 	C              	G                 	                        	A                        	C                    	                       	                       	F                     	C                    	F                     	                       	                      	A                	R                    	                       	                   	       

  IR	                 	Pleistocene      	                  	CN14a         	186	1151	C	  5	H	CC	   8.00	     40.3100	Li       	Nannofossils                                 	F              	M                 	C                       	C                        	C                    	                       	                       	F                     	C                    	C                     	                       	                      	                 	                     	                       	                   	       

  IR	                 	Pleistocene      	                  	CN14a         	186	1151	C	  6	H	CC	  13.00	     50.1000	Li       	Nannofossils                                 	T              	P                 	F                       	C                        	C                    	C                      	                       	F                     	C                    	C                     	C                      	C                     	                 	                     	                       	                   	       

  IR	                 	Pleistocene      	                  	CN14a         	186	1151	C	  7	H	CC	  15.00	     59.4600	Li       	Nannofossils                                 	R              	P                 	C                       	                         	                     	                       	F                      	                      	                     	C                     	                       	                      	                 	                     	                       	                   	       

  IR	                 	Pleistocene      	                  	CN14a         	186	1151	C	  8	H	CC	  27.00	     69.3000	Li       	Nannofossils                                 	C              	M                 	F                       	C                        	C                    	                       	F                      	F                     	C                    	C                     	                       	                      	                 	                     	                       	                   	       

  IR	                 	Pleistocene      	                  	CN14a         	186	1151	C	  9	H	 5	  70.00	     75.4000	Li       	Nannofossils                                 	               	                  	A                       	                         	                     	                       	                       	                      	                     	                      	                       	                      	                 	                     	                       	                   	       

  IR	                 	Pleistocene      	                  	CN13b         	186	1151	C	  9	H	 5	  70.00	     75.4000	Li       	Nannofossils                                 	               	                  	                        	                         	                     	R                      	                       	                      	                     	                      	                       	                      	                 	                     	                       	                   	       

  IR	                 	Pleistocene      	                  	CN13b         	186	1151	C	  9	H	CC	  19.00	     78.3800	Li       	Nannofossils                                 	T              	P                 	                        	R                        	R                    	R                      	                       	                      	                     	                      	                       	                      	                 	                     	                       	                   	       

  IR	                 	Pleistocene      	                  	CN13b         	186	1151	C	 10	H	CC	  29.00	     88.3800	Li       	Nannofossils                                 	T              	M                 	                        	R                        	R                    	                       	                       	                      	                     	                      	                       	                      	                 	                     	                       	                   	       

  IR	                 	Pleistocene      	                  	CN13b         	186	1151	C	 11	H	CC	  13.00	     97.5500	Li       	Nannofossils                                 	R              	G                 	F                       	C                        	                     	                       	                       	                      	                     	                      	                       	                      	                 	                     	                       	                   	       

