Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sponge spicules	Coscinodiscus spp.	Fragilariopsis spp.	Arachnoidiscus spp.	Thalassiothrix antarctica-longissima-group	Thalassiosira leptopus	Thalassiosira convexa var. aspinosa	Silicoflagellate tests	Odontella aurita	Chaetoceros spp. (resting spores)	Actinocyclus ingens var. ovalis	Rhizosolenia spp.	Fragilariopsis reinholdii	Azpeitia tabularis	Thalassionema nitzschioides  var. parva	Thalassionema nitzschioides	Proboscia barboi	Eucampia antarctica	Coscinodiscus marginatus	Comment



  IR	                 	                 	                  	              	189	1168	A	  1	H	CC	  22.00	      7.2400	diatoms  	Diatoms                                      	T              	P                 	               	T                 	                   	                   	                                          	                      	                                   	                      	                	                                 	                               	                 	                         	                  	                                       	                           	                	                   	                        	       

  IR	                 	                 	                  	              	189	1168	A	  2	H	CC	   9.00	     17.0000	diatoms  	Diatoms                                      	T              	P                 	A              	R                 	                   	                   	                                          	                      	                                   	                      	                	                                 	                               	                 	                         	                  	                                       	                           	                	                   	                        	       

  IR	                 	                 	                  	              	189	1168	A	  3	H	CC	  29.00	     26.7100	diatoms  	Diatoms                                      	B              	                  	A              	                  	                   	                   	                                          	                      	                                   	                      	                	                                 	                               	                 	                         	                  	                                       	                           	                	                   	                        	       

  IR	                 	                 	                  	              	189	1168	A	  5	H	CC	  38.00	     45.9600	diatoms  	Diatoms                                      	B              	                  	T              	                  	                   	                   	                                          	                      	                                   	                      	                	                                 	                               	                 	                         	                  	                                       	                           	                	                   	                        	       

  IR	                 	                 	                  	              	189	1168	A	  6	H	CC	  26.00	     55.2400	diatoms  	Diatoms                                      	B              	                  	A              	                  	                   	                   	                                          	                      	                                   	                      	                	                                 	                               	                 	                         	                  	                                       	                           	                	                   	                        	       

  IR	                 	                 	                  	              	189	1168	A	  7	H	CC	  24.00	     64.9300	diatoms  	Diatoms                                      	B              	                  	A              	                  	                   	                   	                                          	                      	                                   	                      	                	                                 	                               	                 	                         	                  	                                       	                           	                	                   	                        	       

  IR	                 	                 	                  	              	189	1168	A	  8	H	CC	   8.00	     73.5800	diatoms  	Diatoms                                      	B              	                  	A              	                  	                   	                   	                                          	                      	                                   	                      	                	                                 	                               	                 	                         	                  	                                       	                           	                	                   	                        	       

  IR	                 	                 	                  	              	189	1168	A	  9	H	CC	  27.00	     82.9800	diatoms  	Diatoms                                      	B              	                  	F              	                  	                   	                   	                                          	                      	                                   	                      	                	                                 	                               	                 	                         	                  	                                       	                           	                	                   	                        	       

  IR	                 	                 	                  	              	189	1168	A	 10	H	CC	  30.00	     93.4100	diatoms  	Diatoms                                      	B              	                  	F              	                  	                   	                   	                                          	                      	                                   	                      	                	                                 	                               	                 	                         	                  	                                       	                           	                	                   	                        	       

  IR	                 	                 	                  	              	189	1168	A	 11	H	CC	  18.00	    102.5900	diatoms  	Diatoms                                      	B              	                  	A              	                  	                   	                   	                                          	                      	                                   	                      	                	                                 	                               	                 	                         	                  	                                       	                           	                	                   	                        	       

