Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Cyclicargolithus floridanus,Sphenolithus moriformis,Coccolithus pelagicus,Calcidiscus macintyrei,Discoaster quinqueramus,Discoaster brouweri,Calcidiscus leptoporus,Helicosphaera carteri,Reticulofenestra sp.,Rhabdosphaera clavigera,Calcidiscus sp.,Discoaster surculus,Discoaster pentaradiatus,Gephyrocapsa sp. (small),Umbilicosphaera sibogae,Syracosphaera pulchra,Pseudoemiliania lacunosa,Gephyrocapsa caribbeanica,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN13b             ,CN14a         ,133, 824,A,  1,H,CC,  19.00,     59.6100,Wei      ,Nannofossils                                 ,R              ,P                 ,                           ,                       ,                     ,                      ,                       ,                   ,                      ,                     ,                    ,                       ,               ,                   ,                        ,R                       ,R                      ,                     ,R                       ,R                        ,from ODP 133 SR Chapter 2 Figure 9 p 30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN13b             ,CN14a         ,133, 824,A,  2,H,CC,  14.00,     69.3000,Wei      ,Nannofossils                                 ,R              ,P                 ,                           ,                       ,                     ,                      ,                       ,                   ,                      ,                     ,                    ,                       ,               ,                   ,                        ,                        ,                       ,                     ,                        ,R                        ,from ODP 133 SR Chapter 2 Figure 9 p 30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN13b             ,CN14a         ,133, 824,A,  4,H,CC,  12.00,     85.1400,Wei      ,Nannofossils                                 ,R              ,P                 ,                           ,                       ,                     ,                      ,                       ,                   ,                      ,                     ,                    ,                       ,               ,                   ,                        ,R                       ,                       ,                     ,                        ,                         ,from ODP 133 SR Chapter 2 Figure 9 p 30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,CN12d             ,CN13a         ,133, 824,A,  5,H,CC,   9.00,     97.5900,Wei      ,Nannofossils                                 ,F              ,P                 ,                           ,                       ,R                    ,F                     ,                       ,                   ,F                     ,                     ,                    ,                       ,               ,                   ,                        ,                        ,                       ,                     ,F                       ,                         ,from ODP 133 SR Chapter 2 Figure 9 p 30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,CN10a             ,CN12c         ,133, 824,A,  6,H,CC,   0.00,    107.1500,Wei      ,Nannofossils                                 ,F              ,P                 ,                           ,                       ,                     ,R                     ,                       ,R                  ,R                     ,R                    ,                    ,R                      ,               ,                   ,R                       ,                        ,R                      ,F                    ,F                       ,                         ,from ODP 133 SR Chapter 2 Figure 9 p 30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
