Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Stilostomella spp.	Melonis barleeanus	Bulimina aculeata	Bolivina subaenariensis	polymorhinids xxx	Vulvulina spinosa	Uvigerina peregrina	Sigmoilopsis schlumbergeri	Pullenia bulloides	Plectofrondicularia vaughni	Oridorsalis umbonatus	Lenticulina spp.	Laticarinina pauperata	Globocassidulina subglobosa	Cibicidoides spp.	Cassidulina laevigata	Bulimina mexicana	Uvigerina spp.	Oridorsalis spp.	Gyroidinoides spp.	Chilostomella oolina	Pyrgo spp.	Elphidium spp.	Elphidium excavatum f. clavatum	Bulimina marginata	Quinqueloculina seminulum	Nonionella miocenica	Globobulimina auriculata	Cassidulina teretis	Cassidulina crassa	Buccella frigida	Lagena spp.	Nonionella labradorica	Cassidulina norcrossi	Bulimina alazanensis	Valvulineria laevigata	Stainforthia complanata	Marginulina spp.	Elphidium articulatum	Triloculina trigonula	Sphaeroidina bulloides	Elphidium excavatum (Terquem) forma lidoensis	Pullenia quinqueloba	Angulogerina angulosa	Comment



  IR	                 	Quaternary       	                  	              	174	1073	A	  1	H	CC	  10.00	      6.5800	Katz     	Benthic Foraminifers                         	A              	VG                	                  	C                 	                 	                       	                 	                 	                   	                          	                  	                           	                     	                	                      	                           	R                	                     	                 	              	F               	F                 	                    	R         	              	C                              	                  	                         	                    	F                       	                   	C                 	                	R          	C                     	A                    	                    	                      	                       	                	F                    	R                    	R                     	R                                            	R                   	R                    	pteropods

  IR	                 	                 	                  	              	174	1073	A	  3	H	CC	  43.00	     26.4000	Katz     	Benthic Foraminifers                         	A              	VG                	                  	                  	                 	                       	                 	                 	                   	                          	                  	                           	                     	                	                      	                           	                 	                     	                 	R             	C               	                  	                    	R         	              	C                              	                  	                         	                    	F                       	                   	C                 	                	           	C                     	C                    	                    	                      	                       	                	                     	                     	                      	                                             	                    	                     	       

  IR	                 	                 	                  	              	174	1073	A	  5	H	CC	  36.00	     45.3900	Katz     	Benthic Foraminifers                         	A              	VG                	                  	                  	                 	                       	                 	                 	                   	                          	                  	                           	                     	                	                      	                           	                 	                     	                 	              	A               	                  	                    	R         	              	                               	                  	                         	                    	C                       	                   	C                 	                	R          	C                     	A                    	                    	                      	                       	                	                     	                     	                      	                                             	                    	                     	A planktonics A mica, A qtz shells

  IR	                 	Pleistocene      	                  	              	174	1073	A	  8	H	CC	  81.00	     74.3000	Katz     	Benthic Foraminifers                         	A              	VG                	                  	                  	C                	                       	                 	                 	                   	                          	                  	                           	                     	                	                      	                           	                 	                     	                 	              	C               	                  	                    	F0        	              	R                              	                  	                         	                    	A                       	                   	C                 	                	           	A                     	                     	                    	                      	                       	                	                     	F                    	R                     	-R                                           	                    	                     	pyrite, no qtz, mica G. bulloides, left & rt. coiling pachy, no inflata

