Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Turborotalia cerroazulensis	Subbotina venezuelana	Subbotina eocaena	Catapsydrax dissimilis	Globorotalia praescitula	Sphaeroidinellopsis seminulina	Globorotalia crassaformis	Globigerinita glutinata	Globigerina exumbilicata	Globigerina bulloides	planktonics miscellaneous	Globorotalia inflata	Zeaglobigerina rubescens	Neogloboquadrina pachyderma (sinistral)	Neogloboquadrina pachyderma (dextral)	Globigerina quinqueloba	Globigerina falconensis	Orbulina universa	Neogloboquadrina dutertrei	Globorotalia truncatulinoides	Globorotalia hirsuta	Globigerinoides ruber	Globigerinoides elongatus	Globorotalia tosaensis	Globigerinoides quadrilobatus	Globoquadrina pseudofoliata	Globigerinoides conglobatus	Globigerinella aequilateralis	Globorotalia scitula	Globigerinoides trilobus	Globigerinella pseudobesa	Globigerinoides ruber (pink)	Orbulina bilobata	Globigerinoides sacculifer	Globigerina umbilicata	Globigerinella obesa	Globigerinoides immaturus	Comment



  IR	                 	Pleistocene      	                  	              	174	1073	A	  1	H	CC	  10.00	      6.5800	Olson    	Planktonic Foraminifers                      	A              	VG                	                           	                     	                 	                      	                        	                              	                         	R                      	                        	F                    	                         	A                   	                        	A                                      	A                                    	F                      	                       	P                	                          	                             	                    	P                    	                         	                      	                             	                           	                           	                             	                    	                        	                         	P                           	                 	R                         	P                     	R                   	P                        	P/B=50% benthics=A quartz=A mica=C glauconite=VR black iron=A

  IR	                 	Pleistocene      	                  	              	174	1073	A	  3	H	CC	  43.00	     26.4000	Olson    	Planktonic Foraminifers                      	C              	VG                	                           	                     	                 	                      	                        	                              	                         	                       	                        	                     	                         	P                   	                        	D                                      	                                     	F                      	                       	P                	                          	                             	                    	                     	                         	                      	                             	                           	                           	                             	                    	                        	                         	                            	                 	                          	                      	P                   	                         	P/B=25% benthics=A quartz=A mica=C glauconite=R

  IR	                 	Pleistocene      	                  	              	174	1073	A	  5	H	CC	  36.00	     45.3900	Olson    	Planktonic Foraminifers                      	A              	VG                	                           	                     	                 	                      	                        	                              	                         	                       	                        	D                    	                         	D                   	                        	R                                      	F                                    	                       	                       	P                	P                         	                             	                    	P                    	                         	                      	                             	                           	                           	                             	                    	                        	                         	                            	                 	                          	R                     	                    	                         	P/B=25% benthics=A quartz=A mica=C glauconite=R

  IR	                 	Pleistocene      	                  	              	174	1073	A	  7	H	CC	  32.00	     64.3200	Olson    	Planktonic Foraminifers                      	C              	VG                	                           	                     	                 	                      	                        	                              	                         	2                      	                        	7                    	                         	17                  	                        	5                                      	25                                   	16                     	                       	                 	2                         	                             	                    	                     	                         	                      	                             	                           	                           	                             	                    	                        	7                        	1                           	                 	                          	                      	                    	                         	P/B=177% benthics=C quartz=A mica=C

