Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Rhabdammina sp.,Thalmannammina conglobata  ,Rhizammina sp.,Cyclammina trullissata,Reophax sp. A,Hyperammina sp. A,Stilostomella spp.,Pleurostomella spp.,Reophanus oviculus,Trochammina spp.,Labrospira sp.,Glomospira gordialis,Buliminella grata,Saitoella globosa             ,Nodosaria longiscata,Gyroidinoides spp.,Oridorsalis umbonatus,Pullenia spp.,Chrysalogonium longicostatum,Globocassidulina subglobosa,Cibicidoides spp.,Anomalinoides spp.,Vulvulina spp.,Fissurina spp.,Eggerella sp.,Pyrgo murrhina,Melonis pompilioides,Melonis barleeanus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 793,B,  2,R, 1,  36.00,    595.0600,Kaiho    ,Benthic Foraminifers                         ,               ,                  ,               ,                           ,              ,                      ,             ,                 ,                  ,F                  ,                  ,                ,              ,                    ,                 ,                              ,                    ,R                 ,R                    ,R            ,                            ,F                          ,                 ,R                 ,              ,              ,             ,              ,                    ,                  ,from ODP Leg 126 SR Chapter 19 Figure7 p 297
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 793,B,  4,R, 3, 135.00,    618.0200,Kaiho    ,Benthic Foraminifers                         ,               ,                  ,               ,                           ,              ,                      ,             ,                 ,C                 ,                   ,                  ,                ,              ,                    ,                 ,                              ,F                   ,F                 ,F                    ,             ,                            ,C                          ,                 ,                  ,R             ,              ,             ,              ,C                   ,F                 ,from ODP Leg 126 SR Chapter 19 Figure7 p 297
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 793,B,  5,R, 3,  35.00,    626.7000,Kaiho    ,Benthic Foraminifers                         ,               ,                  ,               ,                           ,              ,                      ,             ,                 ,                  ,                   ,                  ,                ,              ,                    ,                 ,                              ,F                   ,                  ,                     ,             ,                            ,                           ,                 ,                  ,              ,              ,             ,              ,                    ,                  ,from ODP Leg 126 SR Chapter 19 Figure7 p 297
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 793,B,  6,R, 2,  64.00,    635.3600,Kaiho    ,Benthic Foraminifers                         ,               ,                  ,               ,                           ,              ,                      ,             ,                 ,R                 ,                   ,                  ,                ,              ,                    ,                 ,                              ,F                   ,                  ,                     ,             ,                            ,                           ,R                ,R                 ,              ,              ,             ,              ,                    ,                  ,from ODP Leg 126 SR Chapter 19 Figure7 p 297
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
