Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphenolithus predistentus,Sphenolithus moriformis,Sphenolithus distentus,Reticulofenestra umbilica,Reticulofenestra bisecta,Discoaster deflandrei,Cyclicargolithus floridanus,Coccolithus pelagicus,Clausicoccus fenestratus,Sphenolithus ciperoensis,Pyrocyclus orangensis,Coronocyclus nitescens,Helicosphaera euphratis,Bicolumnus ovatus,Helicosphaera recta,Chiasmolithus altus,Zygrhablithus bijugatus,Syracosphaera sp.,Bramletteius serraculoides,Triquetrorhabdulus carinatus,Pontosphaera sp.,Helicosphaera sp.,Helicosphaera perch-nielseniae,Helicosphaera intermedia,Reticulofenestra spp. small,Discoaster druggii,Discoaster sp.,Reticulofenestra pseudoumbilica,Discoaster calculosus,Sphenolithus heteromorphus,Sphenolithus conicus,Helicosphaera obliqua,Calcidiscus macintyrei,Sphenolithus dissimilis,Sphenolithus belemnos,Umbilicosphaera sibogae,Discoaster adamanteus,Calcidiscus leptoporus,Pedinocyclus larvalis,Discoaster sp. cf. D. deflandrei (with web),Discoaster variabilis,Discoaster exilis,Helicosphaera carteri,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,CN4               ,              ,126, 793,B,  2,R,CC,   0.00,    595.1500,Firth    ,Nannofossils                                 ,C              ,G                 ,                         ,F                      ,                      ,                         ,                        ,C                    ,C                          ,C                    ,                        ,                        ,                     ,R                     ,                       ,                 ,                   ,                   ,                       ,                 ,                          ,                            ,F               ,R                ,                              ,                        ,                           ,                  ,F             ,                               ,                     ,F                         ,                    ,                     ,F                     ,                       ,                     ,F                      ,                     ,                      ,                     ,                                           ,F                    ,R                ,                     ,from ODP Leg 126 SR Chapter 16 Table 10 p 256
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,CN4               ,              ,126, 793,B,  3,R,CC,  27.00,    609.2500,Firth    ,Nannofossils                                 ,F              ,P                 ,                         ,R                      ,                      ,                         ,                        ,R                    ,F                          ,F                    ,                        ,                        ,                     ,                      ,                       ,                 ,                   ,                   ,                       ,                 ,                          ,                            ,                ,                 ,                              ,                        ,R                          ,                  ,              ,                               ,                     ,                          ,                    ,                     ,                      ,                       ,                     ,R                      ,                     ,                      ,                     ,                                           ,R                    ,R                ,                     ,from ODP Leg 126 SR Chapter 16 Table 10 p 256
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,CN4               ,              ,126, 793,B,  4,R, 5,  29.00,    619.8600,Firth    ,Nannofossils                                 ,F              ,P                 ,                         ,R                      ,                      ,                         ,                        ,F                    ,R                          ,R                    ,                        ,                        ,                     ,                      ,                       ,                 ,                   ,                   ,                       ,                 ,                          ,                            ,                ,                 ,                              ,                        ,R                          ,                  ,              ,                               ,                     ,                          ,                    ,                     ,                      ,                       ,                     ,                       ,                     ,                      ,                     ,                                           ,                     ,                 ,                     ,from ODP Leg 126 SR Chapter 16 Table 10 p 256
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,CN4               ,              ,126, 793,B,  5,R,CC,  13.00,    630.1900,Firth    ,Nannofossils                                 ,C              ,G                 ,                         ,F                      ,                      ,                         ,                        ,F                    ,F                          ,F                    ,                        ,                        ,                     ,R                     ,                       ,                 ,                   ,                   ,                       ,                 ,                          ,                            ,                ,F                ,                              ,                        ,C                          ,                  ,              ,R                              ,                     ,F                         ,                    ,                     ,F                     ,                       ,                     ,                       ,                     ,R                     ,                     ,R                                          ,F                    ,F                ,R                    ,from ODP Leg 126 SR Chapter 16 Table 10 p 256
