Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Thalassiphora pelagica	Thalassiphora delicata	Polysphaeridium zoharyi	Polysphaeridium subtile	Polysphaeridium congregatum	Incertae sedis sp.1	Hystrichokolpoma rigaudiae	Homotryblium vallum	Homotryblium floripes	Distatodinium paradoxum	Dapsilidinium pseudocolligerum	Chiropteridium mespilanum	Cannosphaeropsis cf. C. utinensis	Apteodinium spiridoides	Apteodinium sp. A	Apteodinium australiense	Achomosphaera ramulifera	Tuberculodinium vancampoae	Spiniferites ramosus	Spiniferites membranaceus	Pentadinium laticinctum	Lingulodinium machaerophorum	Impagidinium velorum	Hystrichosphaeropsis obscura	Hystrichokolpoma cinctum	Homotryblium tenuispinosum	Homotryblium oceanicum	Dapsilidinium pastielsii	Cyclopsiella granosa	Caligodinium pychnum	Pyxidiella? simplex	Nematosphaeropsis labyrinthea	Impagidinium patulum	Sumatradinium druggii	Spiniferites rubinus	Spiniferites mirabilis	Selenopemphix nephroides	Reticulatosphaera actinocoronata	Operculodinium? eirikianum	Operculodinium israelianum	Operculodinium crassum	Operculodinium centrocarpum	Nematosphaeropsis major	Labyrinthodinium truncatum	Impagidinium sp. F 	Impagidinium aculeatum	Cymatiosphaera invaginata	Batiacasphaera micropapillata s.l.	Achomosphaera andalousiensis	Spiniferites spp.	Operculodinium janduchenei	Micrhystridium sp.	Melitasphaeridium choanophorum	Corrudinium harlandii	Spiniferites belerius	Invertocysta tabulata	Invertocysta lacrymosa	Impagidinium sphaericum	Impagidinium sp. A 	Impagidinium sp.	Impagidinium bacatum	Impagidinium aliferum	Galeacysta etrusca	Brigantedinium spp.	Amiculosphaera umbracula	Stelladinium stellatum	Multispinula quanta	Impagidinium strialatum	Bitectatodinium tepikiense	Comment



  SR	Pleistocene      	                 	Zone VI           	              	149	 900	A	  1	R	 1	  28.00	      0.2800	McCarthy 	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                      	                      	                       	                       	                           	                   	                          	                   	                     	                       	                              	                         	                                 	                       	                 	                        	                        	                          	R                   	                         	                       	F                           	                    	                            	                        	                          	                      	                        	                    	                    	                   	R                            	                    	                     	                    	                      	                        	                                	                          	                          	                      	F                          	                       	                          	                   	F                     	                         	                                  	F                           	F                	                          	                  	                              	                     	                     	                     	                      	                       	                   	R               	                    	                     	                  	R                  	                        	                      	                   	F                      	C                         	490 Dinocyst concentration/ml. from 149 SR. Chapter 10. Table 2. page 251.

  SR	Pleistocene      	                 	Zone VI           	              	149	 900	A	  3	R	 1	  11.00	     11.2100	McCarthy 	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                      	                      	                       	                       	                           	                   	                          	                   	                     	                       	                              	                         	                                 	                       	                 	                        	                        	                          	F                   	                         	                       	                            	                    	                            	                        	                          	                      	                        	                    	                    	                   	                             	                    	                     	                    	R                     	                        	                                	                          	                          	                      	C                          	                       	                          	                   	F                     	                         	                                  	                            	C                	                          	                  	                              	                     	                     	                     	                      	                       	                   	                	                    	                     	                  	                   	                        	                      	                   	                       	C                         	2754 Dinocyst concentration/ml. from 149 SR. Chapter 10. Table 2. page 251.

  SR	Pleistocene      	                 	Zone VI           	              	149	 900	A	  4	R	 1	 110.00	     21.9000	McCarthy 	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                      	                      	                       	                       	                           	                   	                          	                   	                     	                       	                              	                         	                                 	                       	                 	                        	                        	                          	R                   	                         	                       	                            	                    	                            	                        	                          	                      	                        	                    	                    	                   	R                            	R                   	                     	                    	F                     	                        	                                	                          	                          	                      	                           	                       	                          	                   	A                     	                         	                                  	                            	C                	                          	                  	                              	                     	                     	                     	                      	                       	                   	R               	                    	                     	                  	                   	                        	                      	                   	R                      	                          	3198 Dinocyst concentration/ml. from 149 SR. Chapter 10. Table 2. page 251.

  SR	Pleistocene      	                 	Zone V            	              	149	 900	A	  6	R	 4	  67.00	     45.1700	McCarthy 	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                      	                      	R                      	                       	                           	                   	                          	                   	                     	                       	                              	                         	                                 	                       	                 	                        	                        	                          	                    	                         	                       	F                           	                    	                            	                        	                          	                      	                        	                    	                    	                   	R                            	                    	                     	                    	R                     	                        	                                	                          	A                         	                      	F                          	                       	                          	                   	F                     	                         	                                  	                            	F                	                          	                  	                              	                     	                     	                     	                      	                       	                   	R               	                    	                     	                  	                   	                        	                      	                   	                       	                          	3617 Dinocyst concentration/ml. from 149 SR. Chapter 10. Table 2. page 251.
