Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sphenolithus moriformis	Sphenolithus heteromorphus	Reticulofenestra samodurovii	Reticulofenestra minutula	Reticulofenestra minuta	Pontosphaera multipora	Pontosphaera discopora	Helicosphaera euphratis	Helicosphaera carteri	Helicosphaera ampliaperta	Geminilithella rotula	Discoaster variabilis	Discoaster deflandrei	Cyclicargolithus floridanus	Coronocyclus nitescens	Coccolithus pelagicus	Coccolithus miopelagicus	Sphenolithus belemnos	Pyrocyclus orangensis	Pyrocyclus hermosus	Helicosphaera scissura	Hayella aperta	Calcidiscus tropicus	Calcidiscus premacintyrei	Calcidiscus leptoporus	Solidopons petrae	Triquetrorhabdulus challengeri	Rhabdosphaera procera	Umbilicosphaera sibogae	Helicosphaera perch-nielseniae	Cryptococcolithus takayamae	Scyphosphaera spp.	Discoaster signus	Braarudosphaera bigelowii	Discoaster "six-rayed"	Helicosphaera waltrans	Discoaster kugleri	Cruciplacolithus tenuiforatus	Pontosphaera spp.	Reticulofenestra pseudoumbilicus	Discoaster musicus	Triquetrorhabdulus rugosus	Scapholithus fossilis	Discoaster pseudovariabilis	Discoaster bollii	Comment



  SR	Middle Miocene   	                 	CN5a              	              	157	 951	B	  1	X	 1	  68.00	    255.6800	Howe     	Nannofossils                                 	M              	M                 	R                      	S                         	                            	C                        	C                      	R                     	S                     	R                      	F                    	                         	F                    	C                    	                     	R                          	S                     	F                    	R                       	                     	                     	                   	                      	              	R                   	S                        	                      	                 	                              	R                    	F                      	                              	                           	                  	S                	                         	                      	                      	?R                	                             	                 	C                               	                  	R                         	                     	                           	F                	found in SR. Ch 29. Table 3.

  SR	Middle Miocene   	                 	CN5a              	              	157	 951	B	  1	X	 3	  85.00	    258.8500	Howe     	Nannofossils                                 	H              	M-G               	R                      	                          	                            	A                        	C                      	R                     	R                     	R                      	F                    	                         	F                    	C                    	                     	F                          	                      	C                    	                        	                     	                     	R                  	                      	              	F                   	S                        	                      	?S               	                              	F                    	                       	                              	R                          	                  	                 	                         	                      	                      	?S                	                             	S                	C                               	R                 	R                         	R                    	                           	                 	Rare Cretaceous &  Paleogene reworking. found in SR. Ch 29. Table 3.

  SR	Middle Miocene   	                 	CN5a              	              	157	 951	B	  1	X	 6	  68.50	    263.1850	Howe     	Nannofossils                                 	H              	G                 	R                      	                          	                            	A                        	C                      	R                     	R                     	R                      	F                    	                         	F                    	C                    	                     	F                          	R                     	C                    	F                       	                     	                     	R                  	                      	              	R                   	R                        	R                     	                 	                              	F                    	F                      	                              	R                          	                  	                 	                         	                      	                      	                  	                             	                 	A                               	R                 	R                         	S                    	R                          	                 	Single Cretaceous & Few Paleogene reworking. found in SR. Ch 29. Table 3.

  SR	Middle Miocene   	                 	CN4               	              	157	 951	B	  1	X	CC	   7.00	    264.5500	Howe     	Nannofossils                                 	M              	M                 	R                      	                          	                            	C                        	C                      	R                     	                      	S                      	F                    	                         	F                    	F                    	                     	F                          	S                     	F                    	R                       	                     	                     	R                  	                      	              	R                   	R                        	R                     	                 	                              	F                    	F                      	                              	R                          	                  	                 	                         	                      	                      	                  	                             	                 	C                               	F                 	                          	                     	                           	                 	found in SR. Ch 29. Table 3.
