Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Theocorys redondoensis,Spongotrochus glacialis,Rhizosphaera antarctica,Pseudocubus vema,Phorticium clevei,Eucyrtidium calvertense,Desmospyris spongiosa,Desmospyris rhodospyroides,Cycladophora pliocenica,Antarctissa robusta,Antarctissa cylindrica,Eucyrtidium teuscheri,Botryopera triloba,Saccospyris praeantarctica,Ceratocyrtis histricosa,Antarctissa denticulata,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NR6               ,NR5           ,119, 736,C,  2,R,CC,   0.00,    209.8700,Caulet   ,Radiolarians                                 ,R              ,G                 ,                      ,R                      ,                       ,                ,R                ,                       ,                     ,                          ,                       ,                   ,R                     ,                     ,C                 ,                          ,                       ,C                      ,from 119 SR Chapter 28 Table 1 page 515.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NR6               ,NR5           ,119, 736,C,  5,R,CC,   0.00,    241.9200,Caulet   ,Radiolarians                                 ,A              ,G                 ,                      ,F                      ,                       ,A               ,C                ,C                      ,A                    ,                          ,C                      ,R                  ,                      ,                     ,A                 ,                          ,                       ,                       ,from 119 SR Chapter 28 Table 1 page 515.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NR6               ,NR5           ,119, 736,C,  6,R,CC,   0.00,    245.4000,Caulet   ,Radiolarians                                 ,C              ,G                 ,                      ,C                      ,T                      ,                ,R                ,R                      ,C                    ,                          ,C                      ,R                  ,                      ,                     ,                  ,                          ,R                      ,                       ,from 119 SR Chapter 28 Table 1 page 515.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NR6               ,NR5           ,119, 736,C,  7,R,CC,   0.00,    257.2600,Caulet   ,Radiolarians                                 ,A              ,G                 ,                      ,R                      ,                       ,A               ,                 ,R                      ,A                    ,R                         ,A                      ,C                  ,R                     ,T                    ,                  ,                          ,                       ,                       ,from 119 SR Chapter 28 Table 1 page 515.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NR6               ,NR5           ,119, 736,C,  8,R,CC,   0.00,    267.4900,Caulet   ,Radiolarians                                 ,F              ,G                 ,                      ,                       ,                       ,C               ,R                ,                       ,C                    ,R                         ,R                      ,C                  ,                      ,                     ,                  ,                          ,                       ,                       ,from 119 SR Chapter 28 Table 1 page 515.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
