Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Reticulofenestra spp.,Coccolithus pelagicus,Calcidiscus macintyrei,Calcidiscus leptoporus,Coccolithus miopelagicus,Sphenolithus moriformis,Reticulofenestra pseudoumbilica,Reticulofenestra gelida,Discoaster variabilis,Helicosphaera spp.,Discoaster loeblichii,Discoaster surculus,Discoaster quinqueramus,Discoaster intercalaris,Discoaster brouweri,Triquetrorhabdulus rugosus,Amaurolithus tricorniculatus,Amaurolithus amplificus,Amaurolithus delicatus,Pseudoemiliania lacunosa,Discoaster pentaradiatus,Gephyrocapsa > 4.5,Gephyrocapsa spp. (small),Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,B,  1,H,CC,   8.00,      2.7900,nannos   ,Nannofossils                                 ,A              ,G                 ,                     ,                     ,                      ,                      ,                        ,                       ,                               ,                       ,                     ,                  ,                     ,                   ,                       ,                       ,                   ,                          ,                            ,                       ,                      ,                        ,                        ,A                 ,A                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,B,  2,H,CC,  14.00,     12.7300,nannos   ,Nannofossils                                 ,A              ,G                 ,                     ,                     ,                      ,                      ,                        ,                       ,                               ,                       ,                     ,                  ,                     ,                   ,                       ,                       ,                   ,                          ,                            ,                       ,                      ,C                       ,                        ,A                 ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,B,  3,H,CC,  12.00,     22.1000,nannos   ,Nannofossils                                 ,A              ,G                 ,                     ,                     ,                      ,                      ,                        ,                       ,                               ,                       ,                     ,                  ,                     ,                   ,                       ,                       ,                   ,                          ,                            ,                       ,                      ,C                       ,                        ,                  ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,B,  4,H,CC,  11.00,     31.7700,nannos   ,Nannofossils                                 ,A              ,G                 ,                     ,                     ,                      ,                      ,                        ,                       ,                               ,                       ,                     ,                  ,                     ,R                  ,                       ,                       ,R                  ,                          ,                            ,                       ,                      ,C                       ,R                       ,                  ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,B,  5,H,CC,  15.00,     41.3100,nannos   ,Nannofossils                                 ,A              ,G                 ,                     ,                     ,                      ,                      ,                        ,                       ,                               ,F                      ,                     ,                  ,                     ,                   ,                       ,                       ,                   ,                          ,                            ,                       ,                      ,C                       ,                        ,                  ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
