Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zygrhablithus bijugatus,Sphenolithus sp. aff. S. anarrhopus,Reticulofenestra spp.,Pontosphaera spp.,Placolith (small),Pentalith (fragments),Discoaster saipanensis,Discoaster barbadiensis,Dictyococcites bisectus,Cyclicargolithus floridanus,Cyclicargolithus abisectus,Cribrocentrum reticulatum,Coccolithus pelagicus,Pemma papillatum,Micrantholithus spp.,Helicosphaera spp.,Discoaster spp.,Discoaster kuepperi,Braarudosphaera spp.,Sphenolithus spp.,Ericsonia formosa,Dictyococcites scrippsae,Calcidiscus protoannulus,Biantholithus sparsus,Coccolithus eopelagicus,Sphenolithus radians,Reticulofenestra umbilica,Reticulofenestra hillae,Micrantholithus flos,Discoaster tanii tanii,Bramletteius serraculoides,Braarudosphaera bigelowii,Sphenolithus pseudoradians,Sphenolithus intercalaris,Pemma basquense crassum,Micrantholithus pinguis,Helicosphaera salebrosa,Discoaster tanii nodifer,Braarudosphaera discula,Helicosphaera sp. aff. H. intermedia,Sphenolithus tribulosus,Helicosphaera reticulata,Helicosphaera bramlettei,Discoaster deflandrei,Helicosphaera compacta,Isthmolithus recurvus,Ericsonia subdisticha,Dictyococcites hampdenensis,Sphenolithus obtusus,Sphenolithus celsus,Reticulofenestra dictyoda,Chiasmolithus sp. cf. C. modestus,Sphenolithus predistentus,Sphenolithus distentus,Isthmolithus unipons,Triquetrorhabdulus farnsworthii,Sphenolithus heteromorphus,Helicosphaera burkei,Helicosphaera carteri,Discoaster variabilis,Discoaster signus,Calcidiscus leptoporus,Oolithotus spp.,Discoaster exilis,Umbellosphaera irregularis,Reticulofenestra pseudoumbilica,Minylitha convallis,Discoaster braarudii,Umbilicosphaera spp.,Dictyococcites haqii,Triquetrorhabdulus rugosus,Calcidiscus macintyrei,Discoaster brouweri,Sphenolithus quadrispinatus,Discoaster sp. cf. D. neorectus,Discoaster pentaradiatus,Discoaster bollii,Discoaster archipelagoensis,Discoaster andamanensis,Discoaster perclarus,Helicosphaera sellii,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN8b              ,              ,135, 841,B,  2,R, 3,  32.00,    173.1200,Quinterno,Nannofossils                                 ,C              ,M                 ,                       ,                                   ,C                    ,R                ,                 ,                     ,                      ,                       ,                       ,                           ,                          ,                         ,R                    ,                ,                    ,                  ,R              ,                   ,                    ,                 ,                 ,                        ,                        ,                     ,                       ,                    ,                         ,                       ,                    ,                      ,                          ,                         ,                          ,                         ,                       ,                       ,                       ,                        ,                       ,                                    ,                       ,                        ,                        ,rR                   ,                      ,                     ,                     ,                           ,                    ,                   ,                         ,                                 ,                         ,                      ,                    ,                               ,F                         ,                    ,R                    ,                     ,                 ,                      ,               ,                 ,F                         ,                               ,                   ,                    ,                    ,                    ,                          ,                      ,                   ,                           ,                               ,                        ,                 ,                           ,                       ,                    ,R                   ,from ODP Leg 135 SR Chapter 17 Table 6 p 278-281 & Table 8 p 282
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN8b              ,              ,135, 841,B,  2,R,CC,  28.00,    173.7800,Quinterno,Nannofossils                                 ,A              ,M                 ,                       ,                                   ,                     ,F                ,A                ,                     ,                      ,                       ,                       ,                           ,                          ,                         ,C                    ,                ,                    ,C                 ,C              ,                   ,                    ,C                ,                 ,                        ,                        ,                     ,                       ,                    ,                         ,                       ,                    ,                      ,                          ,                         ,                          ,                         ,                       ,                       ,                       ,                        ,                       ,F                                   ,                       ,                        ,                        ,                     ,                      ,                     ,                     ,                           ,                    ,                   ,                         ,                                 ,                         ,                      ,                    ,F                              ,                          ,                    ,C                    ,C                    ,                 ,F                     ,               ,                 ,                          ,F                              ,C                  ,                    ,                    ,                    ,                          ,R                     ,F                  ,                           ,                               ,F                       ,                 ,C                          ,                       ,F                   ,                    ,from ODP Leg 135 SR Chapter 17 Table 6 p 278-281 & Table 8 p 282
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN8b              ,              ,135, 841,B,  3,R, 1,  12.00,    179.5200,Quinterno,Nannofossils                                 ,F              ,P                 ,                       ,                                   ,                     ,                 ,                 ,                     ,                      ,                       ,                       ,                           ,rR                        ,                         ,                     ,                ,                    ,                  ,               ,                   ,                    ,                 ,                 ,                        ,                        ,                     ,                       ,                    ,                         ,                       ,                    ,                      ,                          ,                         ,                          ,                         ,                       ,                       ,                       ,                        ,                       ,                                    ,                       ,                        ,                        ,                     ,                      ,                     ,                     ,                           ,                    ,                   ,                         ,                                 ,                         ,                      ,                    ,                               ,                          ,                    ,                     ,                     ,                 ,                      ,               ,                 ,                          ,                               ,                   ,                    ,                    ,                    ,F                         ,                      ,                   ,                           ,                               ,                        ,                 ,                           ,                       ,                    ,                    ,from ODP Leg 135 SR Chapter 17 Table 6 p 278-281 & Table 8 p 282
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN8b              ,              ,135, 841,B,  4,R,CC,   0.00,    191.6000,Quinterno,Nannofossils                                 ,A              ,M                 ,                       ,                                   ,F                    ,                 ,                 ,                     ,                      ,                       ,rR                     ,                           ,                          ,                         ,F                    ,                ,                    ,                  ,C              ,                   ,                    ,F                ,                 ,                        ,                        ,                     ,                       ,                    ,                         ,                       ,                    ,                      ,                          ,                         ,                          ,                         ,                       ,                       ,                       ,                        ,                       ,R                                   ,                       ,                        ,                        ,                     ,                      ,                     ,                     ,                           ,                    ,                   ,                         ,                                 ,                         ,                      ,                    ,                               ,                          ,                    ,F                    ,F                    ,                 ,F                     ,               ,                 ,R                         ,F                              ,C                  ,                    ,                    ,                    ,                          ,                      ,C                  ,R                          ,R                              ,R                       ,                 ,                           ,R                      ,                    ,                    ,from ODP Leg 135 SR Chapter 17 Table 6 p 278-281 & Table 8 p 282
