Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Zygodiscus sigmoides	Watznaueria barnesae	Thoracosphaera operculata	Prinsius bisulcus	Micrantholithus pinguis	Cruciplacolithus tenuis	Cribrosphaerella ehrenbergii	Cretarhabdus conicus	Coccolithus subpertusus	Coccolithus pelagicus	Braarudosphaera bigelowii	Arkhangelskiella cymbiformis	Zygrhablithus bijugatus	Zygodiscus bramlettei	Toweius pertusus	Toweius eminens	Sphenolithus moriformis	Prediscosphaera cretacea	Placozygus sigmoides	Neochiastozygus chiastus	Micula decussata	Micrantholithus sp.	Markalius inversus	Heliolithus cantabriae	Fasciculithus tympaniformis	Fasciculithus thomasii	Fasciculithus schaubii	Fasciculithus lillianae	Fasciculithus janii	Fasciculithus involutus	Fasciculithus bobii	Fasciculithus alanii	Ellipsolithus distichus	Discoaster multiradiatus	Discoaster mohleri	Discoaster helianthus	Coronocyclus prionion	Chiasmolithus consuetus	Chiasmolithus californicus	Chiasmolithus bidens	Tribrachiatus contortus	Thoracosphaera saxea	Rhomboaster cuspis	Microrhabdulus decoratus	Fasciculithus spp.	Discoaster diastypus	Discoaster barbadiensis	Tribrachiatus orthostylus	Sphenolithus radians	Discoaster robustus	Discoaster lodoensis	Discoaster cf. diastypus	Discoaster binodosus	Coronocyclus serratus	Coccolithus formosus	Chiasmolithus grandis	Reticulofenestra spp.	Discoaster nonaradiatus	Discoaster kuepperi	Discoaster cf. kuepperi	Zeughrabdotus/Placozygus spp.	Toweius gammation	Rhabdosphaera tenuis	Reticulofenestra samodurovii	Reticulofenestra dictyoda	Reticulofenestra cf. bisecta	Pseudotriquetrorhabdulus inversus	Helicosphaera seminulum	Helicosphaera lophota	Discoaster sublodoensis	Discoaster gemmifer	Cyclicargolithus floridanus	Coccolithus eopelagicus	Chiasmolithus titus	Chiasmolithus solitus	Chiasmolithus expansus	Campylosphaera dela	Birkelundia staurion	Rhabdosphaera inflata	Nannotetrina cristata	Heliolithus kleinpellii	Eiffellithus turriseiffelii	Discoaster bifax/praebifax	Neococcolithes dubius	Nannotetrina fulgens	Discoaster spp. (overgrown)	Cyclicargolithus cf. floridanus	Micrantolithus/Pemma sp.	Micrantholithus flos	Chiasmolithus gigas	Sphenolithus spiniger	Sphenolithus furcatolithoides	Pemma basquensis	Eiffellithus eximius	Thoracosphaera prolata	Reticulofenestra umbilica	Nannotetrina pappii	Discoaster martinii	Ahmuellerella octoradiata	Transversopontis pulcher	Micrantholithus cf. altus	Pontosphaera plana	Discoaster saipanensis	Discoaster distinctus	Sphenolithus obtusus	Reticulofenestra floridana	Comment



  IR	                 	Middle Eocene    	                  	NP15          	173	1067	A	  1	R	 1	  34.00	    648.3400	Wise     	Nannofossils                                 	C              	G                 	                    	cR                  	                         	                 	                       	                       	                            	rR                  	                       	C                    	C                        	cR                          	A                      	                     	                	               	F                      	cR                      	                    	                        	                	                   	                  	                      	                           	                      	                      	                       	                   	                       	                   	                    	                       	                        	                  	                     	                     	F                      	                          	                    	                       	                    	                  	rR                      	                  	                    	                       	                         	F                   	                   	                    	                        	                    	                     	C                   	C                    	A                    	                       	                   	                       	                             	                 	                    	F                           	F                        	R                           	C                                	                       	                     	                       	                   	                           	F                      	F                  	C                    	F                     	R                  	                    	                     	                     	                       	                           	                          	                     	                    	                           	                               	                        	                    	C                  	A                    	F                            	                	                    	                      	                         	                   	                   	                         	                        	F                        	                  	F                     	                     	A                   	F                         	       

  IR	                 	Middle Eocene    	                  	NP15          	173	1067	A	  1	R	CC	  21.00	    653.5300	Wise     	Nannofossils                                 	C              	G                 	                    	rR                  	                         	                 	                       	                       	                            	                    	                       	C                    	C                        	rR                          	A                      	                     	                	               	A                      	rR                      	                    	                        	                	                   	                  	                      	                           	                      	                      	                       	                   	                       	                   	                    	                       	                        	                  	                     	F                    	                       	                          	                    	                       	                    	                  	rR                      	                  	                    	C                      	                         	C                   	                   	                    	                        	                    	                     	C                   	C                    	A                    	                       	                   	                       	                             	                 	                    	                            	                         	                            	                                 	                       	                     	                       	                   	F                          	F                      	F                  	C                    	F                     	                   	                    	                     	                     	                       	                           	                          	                     	                    	                           	                               	                        	                    	                   	F                    	C                            	                	                    	                      	cR                       	                   	                   	                         	                        	                         	R                 	F                     	F                    	                    	                          	       

  IR	                 	Middle Eocene    	                  	NP15          	173	1067	A	  2	R	CC	  13.00	    661.3900	Wise     	Nannofossils                                 	C              	G                 	                    	rR                  	                         	                 	                       	                       	rR                          	rR                  	                       	C                    	F                        	rR                          	A                      	                     	                	               	C                      	rR                      	                    	                        	rR              	                   	R                 	                      	                           	                      	                      	                       	                   	                       	                   	                    	                       	                        	                  	                     	R                    	                       	                          	                    	                       	                    	                  	rR                      	                  	                    	C                      	                         	F                   	                   	rR                  	                        	                    	                     	C                   	C                    	A                    	                       	                   	                       	                             	                 	                    	A                           	F                        	                            	A                                	R                      	                     	                       	                   	F                          	R                      	R                  	F                    	R                     	F                  	F                   	                     	R                    	                       	                           	                          	                     	                    	                           	                               	                        	R                   	F                  	R                    	C                            	                	                    	                      	                         	F                  	R                  	rR                       	R                       	F                        	                  	                      	                     	                    	                          	       

  IR	                 	Middle Eocene    	                  	NC15          	173	1067	A	  3	R	CC	  23.00	    672.5700	Wise     	Nannofossils                                 	C              	G                 	                    	rR                  	                         	                 	                       	                       	                            	rR                  	                       	C                    	F                        	                            	A                      	                     	                	               	C                      	                        	                    	                        	                	                   	                  	                      	                           	                      	                      	                       	                   	                       	                   	                    	                       	rR                      	                  	                     	C                    	                       	                          	                    	                       	                    	                  	                        	                  	                    	C                      	                         	F                   	                   	                    	                        	R                   	                     	A                   	F                    	A                    	                       	                   	                       	                             	                 	                    	A                           	F                        	                            	A                                	R                      	                     	                       	R                  	                           	R                      	F                  	F                    	R                     	R                  	F                   	                     	R                    	                       	                           	                          	                     	                    	                           	                               	                        	                    	F                  	R                    	C                            	F               	rR                  	R                     	R                        	R                  	R                  	rR                       	                        	                         	                  	                      	                     	                    	                          	       
