Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Turborotalia cerroazulensis,Truncorotaloides rohri,Subbotina venezuelana,Subbotina linaperta,Morozovella spinulosa,Globigerinatheka mexicana,Globigerinatheka index,Chiloguembelina cubensis,Acarinina primitiva,Acarinina bullbrooki,Turborotalia possagnoensis,Turborotalia pomeroli,Porticulasphaera semiinvoluta,Turborotalia cocoaensis,Subbotina cryptomphala,Subbotina praeturritilina,Globigerinatheka rubriformis,Acarinina collactea,Hantkenina liebusi,Hantkenina alabamensis,Globorotaloides suteri,Pseudohastigerina micra,Subbotina hagni,Subbotina eocaena,Catapsydrax dissimilis,Cribrohantkenina inflata,Turborotalia cunialensis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Eocene      ,                  ,P16           ,171,1053,A,  1,H,CC,  20.00,      9.7800,Bellier  ,Planktonic Foraminifers                      ,C              ,G                 ,R                          ,                      ,F                    ,                   ,                     ,                         ,R                     ,                        ,                   ,                    ,                          ,                     ,                             ,F                      ,                      ,                         ,                            ,                   ,                  ,R                     ,                      ,R                      ,F              ,F                ,                      ,P                       ,R                       ,pollution by Recent and   Miocene specimens
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Eocene      ,                  ,P16           ,171,1053,A,  2,H,CC,  29.00,     19.5700,Bellier  ,Planktonic Foraminifers                      ,F              ,G                 ,                           ,                      ,F                    ,F                  ,                     ,                         ,                      ,                        ,                   ,                    ,                          ,                     ,                             ,R                      ,R                     ,                         ,                            ,                   ,                  ,R                     ,                      ,R                      ,F              ,F                ,                      ,                        ,R                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Eocene      ,                  ,P16           ,171,1053,A,  3,H,CC,  17.00,     28.7700,Bellier  ,Planktonic Foraminifers                      ,R              ,G                 ,P                          ,                      ,R                    ,R                  ,                     ,                         ,                      ,                        ,                   ,                    ,                          ,                     ,                             ,R                      ,                      ,                         ,                            ,                   ,                  ,P                     ,                      ,R                      ,               ,R                ,                      ,                        ,R                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Eocene      ,                  ,P16           ,171,1053,A,  4,H,CC,  23.00,     38.2900,Bellier  ,Planktonic Foraminifers                      ,A              ,G                 ,R                          ,                      ,                     ,F                  ,                     ,                         ,                      ,R                       ,                   ,                    ,                          ,                     ,                             ,                       ,                      ,                         ,                            ,                   ,                  ,F                     ,                      ,R                      ,F              ,F                ,                      ,P                       ,R                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
