Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),,Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Tristylospyris triceros,Thyrsocyrtis  tetracantha,Thyrsocyrtis triacantha,Thyrsocyrtis rhizodon,Podocyrtis papalis,Podocyrtis chalara,Lychnocanoma bellum,Eusyringium fistuligerum,Dictyoprora pirum,Dictyoprora mongolfieri,Cryptocarpium azyx,Calocyclas hispida,Lychnocanoma amphitrite,Calocyclas turris,Cryptocarpium ornatum,Podocyrtis goetheana,Lithocyclia aristotelis group,Calocyclas bandyca,Thyrsocyrtis bromia,Dictyoprora armadillo,Lophocyrtis jacchia,Stylatractus universus,Artophormis barbadensis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Eocene      ,                  ,C. ornata     ,,171,1053,A,1,H,CC,20.00,9.7800,Blome    ,Radiolarians                                 ,C              ,VG                ,R                      ,                         ,                       ,                     ,                  ,                  ,                   ,                        ,                 ,                       ,                  ,                  ,                       ,                 ,F                    ,                    ,C                            ,                  ,                   ,F                    ,F                  ,                      ,F                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Eocene      ,                  ,C. ornata     ,,171,1053,A,2,H,CC,29.00,19.5700,Blome    ,Radiolarians                                 ,A              ,VG                ,F                      ,                         ,                       ,                     ,                  ,                  ,                   ,                        ,                 ,R                      ,                  ,                  ,                       ,                 ,R                    ,                    ,F                            ,                  ,                   ,R                    ,F                  ,                      ,R                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Eocene      ,                  ,C. ornata     ,,171,1053,A,3,H,CC,17.00,28.7700,Blome    ,Radiolarians                                 ,F              ,P                 ,                       ,                         ,                       ,                     ,                  ,                  ,                   ,                        ,                 ,R                      ,                  ,                  ,                       ,                 ,T                    ,                    ,                             ,                  ,                   ,T                    ,T                  ,                      ,F                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Eocene      ,                  ,C. ornata     ,,171,1053,A,4,H,CC,23.00,38.2900,Blome    ,Radiolarians                                 ,A              ,VG                ,R                      ,                         ,                       ,                     ,                  ,                  ,                   ,                        ,                 ,C                      ,                  ,                  ,                       ,                 ,R                    ,                    ,F                            ,                  ,                   ,F                    ,F                  ,                      ,R                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Eocene      ,                  ,C. ornata     ,,171,1053,A,5,H,CC,21.00,47.7800,Blome    ,Radiolarians                                 ,A              ,VG                ,F                      ,                         ,                       ,                     ,                  ,                  ,                   ,                        ,                 ,C                      ,                  ,                  ,                       ,                 ,F                    ,                    ,F                            ,                  ,                   ,C                    ,F                  ,                      ,F                      ,       
