Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Remesella sp.	Pseudoclavulina globulifera	Protosangularia cenomaniana	Protosangularia albiana	Pleurostomella spp.	Oolina spp.	Nodosaria spp.	Lenticulina spp.	Hanzawaia ammophila	Gyroidinoides infracretaceus	Dentalina spp.	Buliminella spp.	Buliminella carseyae	Bulimina spp.	Sliterella lobulata	Serovaina spissiformis	Pseudoclavulina rugolosa	Osangularia plummerae	Oridorsalis umbonatus	Nuttallinella florealis	Nuttallides truempyi	Marssonella trochoides	Gyroidinoides globosa	Gaudryina pyramidata	Conorbinoides hillebrandti	Aragonia velascoensis	Aragonia ouezzanensis	Reophax spp.	Pyramidina szajnochae	Orthomorphina spp.	Gyroidinoides quadratus	Ellipsodimorphina spp.	Bathysiphon spp.	Anomalinoides spp.	Alabamina creta	Osangularia mexicana	Marssonella oxycona	Vulvulina spinosa	Vulvulina mexicana	Stilostomella subspinosa	Oridorsalis tenera	Globocassidulina subglobosa	Cibicidoides subspiratus	Cibicidoides spp.	Cibicidoides praemundulus	Cibicidoides havanensis	Cibicidoides bradyi	Buliminella grata	Stilostomella spp.	Pullenia bulloides	Fissurina spp.	Cibicidoides subhaidingeri	Cibicidoides mundulus	Chrysalogonium tenuicostatum	Anomalinoides semicribratus	Anomalinoides globulosus	Stilostomella abyssorum	Pyrgo murrhina	Martinottiella sp.	Gyroidinoides girardanus	Eggerella bradyi	Ehrenbergina hystrix	Pseudoclavulina spp.	Parafissurina spp.	Nonion spp.	Melonis pompilioides	Melonis barleeanus	Gyroidinoides neosoldanii	Gaudryina spp.	Dorothia spp.	Cibicidoides renzi	Cibicidoides cicatricosus	Uvigerina spp.	Uvigerina hispidocostata	Uvigerina hispida	Quinqueloculina sp.	Karreriella bradyi	Haplophragmoides spp.	Cibicidoides wuellerstorfi	Chrysalogonium longicostatum	Uvigerina graciliformis	Pyrgo lucernula	Pleurostomella acuta	Pullenia quinqueloba	Gyroidinoides spp.	Ellipsoidina ellipsoides	Dentalina communis	Chilostomella oolina	Sphaeroidina bulloides	Abyssamina quadrata	Eponides regularis	Brizalina barbata	Uvigerina senticosa	Comment



  IR	                 	                 	                  	              	198	1208	A	  1	H	CC	  15.00	      4.7000	benthics 	Benthic Foraminifers                         	R              	G                 	             	                           	                           	                       	                   	           	              	                	                   	                            	              	                	                    	             	                   	                      	                        	                     	+                    	                       	                    	                      	                     	                    	                          	                     	                     	            	                     	                  	                       	                      	                	                  	               	                    	                   	                 	                  	                        	R                 	                           	                        	                 	                         	                       	R                  	                 	                  	R                 	              	                          	                     	                            	                           	                        	                       	F             	                  	                        	F               	                    	                    	R                 	R          	                    	                  	                         	              	             	                  	                         	T             	R                       	                 	R                  	                  	                     	R                         	                            	                       	F              	                    	                    	                  	                        	                  	                    	                      	                   	                  	T                	                   	       

  IR	                 	                 	                  	              	198	1208	A	  3	H	CC	  18.00	     23.8200	benthics 	Benthic Foraminifers                         	R              	G                 	             	                           	                           	                       	                   	           	              	T               	                   	                            	T             	                	                    	             	                   	                      	                        	                     	                     	                       	                    	                      	                     	                    	                          	                     	                     	            	                     	                  	                       	                      	                	                  	               	                    	                   	                 	                  	T                       	F                 	T                          	R                       	+                	                         	                       	                   	                 	                  	R                 	T             	                          	T                    	T                           	                           	                        	                       	R             	R                 	R                       	T               	                    	                    	T                 	T          	                    	                  	                         	              	R            	                  	                         	T             	C                       	R                	                   	T                 	                     	R                         	T                           	                       	R              	                    	T                   	+                 	                        	                  	                    	                      	                   	                  	                 	                   	       

  IR	                 	                 	                  	              	198	1208	A	  4	H	CC	  20.00	     33.4700	benthics 	Benthic Foraminifers                         	R              	VG                	             	                           	                           	                       	                   	           	              	                	                   	                            	              	                	                    	             	                   	                      	                        	                     	                     	                       	+                   	                      	                     	                    	                          	                     	                     	            	                     	                  	                       	                      	                	                  	               	                    	                   	                 	                  	                        	F                 	                           	                        	R                	                         	                       	                   	                 	                  	R                 	              	                          	                     	                            	                           	                        	                       	R             	+                 	R                       	T               	                    	                    	R                 	           	+                   	T                 	                         	              	             	                  	                         	              	C                       	R                	                   	T                 	                     	R                         	                            	                       	R              	                    	                    	+                 	                        	                  	                    	                      	                   	                  	                 	T                  	       

  IR	                 	                 	                  	              	198	1208	A	  5	H	CC	  14.00	     43.1100	benthics 	Benthic Foraminifers                         	R              	G                 	             	                           	                           	                       	                   	           	              	                	                   	                            	              	                	                    	             	                   	                      	                        	                     	                     	                       	                    	                      	                     	                    	                          	                     	                     	            	                     	                  	                       	                      	                	                  	               	                    	                   	                 	                  	                        	F                 	T                          	                        	                 	                         	                       	                   	                 	                  	R                 	T             	                          	                     	                            	                           	                        	                       	              	R                 	R                       	                	                    	                    	T                 	T          	                    	R                 	                         	              	R            	                  	                         	T             	C                       	R                	                   	                  	                     	                          	                            	                       	               	                    	T                   	+                 	                        	                  	                    	                      	                   	                  	                 	                   	       
