Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Valvulineria laevigata	Uvigerina senticosa	Uvigerina peregrina	Uvigerina auberiana	Stilostomella spp.	Pyrgo spp.	Pullenia bulloides	Oridorsalis umbonatus	Nuttallides umbonifera	Nonionella atlantica	Nodosaria spp.	Melonis sp.	Melonis pompilioides	Melonis barleeanus	Lagena spp.	Hoeglundina elegans	Gyroidinoides spp.	Globocassidulina subglobosa	Globobulimina affinis	Gavelinopsis translucens	Fontbotia wuellerstorfi	Epistominella exigua	Elphidium spp.	Eggerella bradyi	Cibicidoides kullenbergi	Chilostomella oolina	Cassidulina crassa	Cassidulina carinata	Bulimina marginata	Bulimina gr. costata	Bulimina alazanensis	Bulimina aculeata	Brizalina subaenariensis	Bolivinita quadrilatera	Bolivina pseudopunctata	Bolivina paula	Comment



  IR	                 	                 	                  	              	172	1056	C	  1	H	CC	  15.00	      5.2800	Poli     	Benthic Foraminifers                         	C              	G                 	R                     	-                  	-                  	-                  	-                 	-         	R                 	T                    	-                     	-                   	-             	-          	-                   	R                 	-          	-                  	-                 	-                          	R                    	-                       	T                      	-                   	-             	-               	-                       	-                   	-                 	C                   	-                 	-                   	-                   	-                	-                       	-                      	-                      	C             	       

  IR	                 	                 	                  	              	172	1056	C	  2	H	CC	   0.00	     15.1900	Poli     	Benthic Foraminifers                         	F              	M                 	T                     	-                  	F                  	-                  	-                 	F         	-                 	-                    	R                     	-                   	-             	-          	-                   	F                 	-          	-                  	-                 	-                          	F                    	-                       	R                      	-                   	R             	T               	-                       	-                   	-                 	F                   	T                 	-                   	R                   	-                	-                       	-                      	-                      	F             	       

  IR	                 	                 	                  	              	172	1056	C	  3	H	CC	  18.00	     24.7900	Poli     	Benthic Foraminifers                         	F              	M                 	R                     	-                  	-                  	-                  	-                 	-         	R                 	R                    	-                     	-                   	-             	-          	R                   	-                 	-          	-                  	-                 	-                          	R                    	-                       	C                      	-                   	-             	T               	-                       	-                   	-                 	F                   	-                 	-                   	-                   	-                	-                       	-                      	F                      	F             	       

  IR	                 	                 	                  	              	172	1056	C	  4	H	CC	  16.00	     34.2400	Poli     	Benthic Foraminifers                         	C              	M                 	-                     	-                  	C                  	-                  	-                 	F         	R                 	-                    	-                     	-                   	R             	-          	-                   	R                 	-          	C                  	F                 	-                          	-                    	-                       	F                      	-                   	-             	-               	-                       	-                   	-                 	-                   	-                 	-                   	-                   	-                	-                       	-                      	-                      	-             	       

  IR	                 	                 	                  	              	172	1056	C	  5	H	CC	  19.00	     43.8500	Poli     	Benthic Foraminifers                         	F              	M                 	T                     	-                  	-                  	T                  	T                 	R         	R                 	-                    	-                     	R                   	-             	-          	-                   	R                 	-          	-                  	-                 	T                          	-                    	R                       	-                      	-                   	-             	-               	-                       	-                   	-                 	-                   	-                 	-                   	-                   	-                	-                       	-                      	F                      	C             	       

