Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group,Group Abundance,Group Preservation,Sphaeroidinella dehiscens,Pulleniatina praecursor,Globorotalia tumida,Globorotalia crassaformis,Globigerinoides fistulosus,Dentoglobigerina altispira,Globorotalia tosaensis,Sphaeroidinella dehiscens s.l.,Neogloboquadrina humerosa,Neogloboquadrina acostaensis,Globorotalia tumida flexuosa,Globorotalia multicamerata,Globorotalia menardii,Globigerinoides trilobus,Globigerinoides ruber,Globigerinoides quadrilobatus,Globigerinoides extremus,Globigerinoides conglobatus,Dentoglobigerina globosa,Globigerinoides sacculifer,Orbulina universa,Globorotalia scitula,Globigerinella siphonifera,Pulleniatina obliquiloculata,Neogloboquadrina dutertrei,Globorotalia ungulata,Globorotalia truncatulinoides,Globigerinoides ruber (pink),Zeaglobigerina rubescens,Bolliella calida,Bolliella adamsi,Comment
IR,Pleistocene,Holocene,,N23,180,1109,C,1,H,CC,23.00,7.3400,Resig,Planktonic Foraminifers,A,VG,,,F,F,,,,,,,F,,A,,A,A,,A,,A,F,R,A,A,A,F,,,A,,R,
IR,Pleistocene,Holocene,,N23,180,1109,C,2,H,CC,11.00,17.2900,Resig,Planktonic Foraminifers,A,VG,R,,F,F,,,,,,,F,,A,,A,A,,F,,A,R,,A,A,A,,R,A,A,R,,
IR,Late Pliocene,Pleistocene,,N22,180,1109,C,3,H,CC,16.00,26.7400,Resig,Planktonic Foraminifers,C,M,R,,F,A,,,,,,,R,,F,,A,A,,F,,F,R,,F,A,A,,A,F,F,,,
IR,,Pleistocene,,,180,1109,C,4,H,CC,28.00,36.4200,Resig,Planktonic Foraminifers,A,G,R,,,F,,,A,,A,,F,,,,A,A,,F,,A,R,R,A,A,A,R,A,R,,,,
IR,,Pliocene,,N21,180,1109,C,5,H,CC,45.00,46.1900,Perembo,Planktonic Foraminifers,A,VG,A,,A,A,A,,,,,,,,,,,,,A,,,,,,A,A,,R,,,,,
IR,,Pliocene,,N21,180,1109,C,6,H,CC,26.00,55.4900,Perembo,Planktonic Foraminifers,A,VG,A,,A,A,A,,A,,,,,,,,,,,A,,A,,,,A,,,,,,,,
IR,Late Pliocene,Holocene,,N21,180,1109,C,7,H,CC,39.00,64.9800,Perembo,Planktonic Foraminifers,A,VG,A,,A,A,A,,,,,,,,,,,,,,,A,,,,A,,,A,,,,,
IR,Late Pliocene,Holocene,,N21,180,1109,C,8,H,CC,23.00,74.4100,Perembo,Planktonic Foraminifers,A,VG,,,A,A,A,,A,,,,,,,,,,,,,,,,,A,,,F,,,,,
IR,Late Pliocene,Pleistocene,,N21,180,1109,C,9,H,CC,34.00,83.9500,Perembo,Planktonic Foraminifers,A,VG,A,,A,A,,,A,,,,,,,,,,,,,,,,,,,,,,,,,
IR,Late Pliocene,Pleistocene,,N21,180,1109,C,10,H,CC,5.00,93.1000,Perembo,Planktonic Foraminifers,A,VG,,,A,,,,A,,,,,,,,A,,,,,A,,,,A,D,,,,,,,
IR,Late Pliocene,Pleistocene,,N21,180,1109,C,11,H,CC,23.00,102.8100,Perembo,Planktonic Foraminifers,A,VG,A,,A,,,,A,,,,,,,,,,,A,,A,,,,A,A,,,,,,,
IR,Late Pliocene,Pleistocene,,N21,180,1109,C,12,X,CC,28.00,112.1200,Perembo,Planktonic Foraminifers,A,VG,A,,A,,,,A,,,,,,,,A,,,,,,,,,A,A,,,,,,,
IR,Late Pliocene,Pleistocene,,N21,180,1109,C,13,X,CC,26.00,121.6600,Perembo,Planktonic Foraminifers,A,VG,A,,A,,,,A,,,,,,,,,,,A,,,,,,A,A,,,,,,,
IR,Late Pliocene,Pleistocene,,N21,180,1109,C,14,X,CC,31.00,131.3300,Perembo,Planktonic Foraminifers,A,VG,A,,A,,,,A,,,,,,,,A,,,A,,,,,,A,A,,,,,,,
IR,Late Pliocene,Pleistocene,,N21,180,1109,C,15,X,CC,26.00,140.9400,Perembo,Planktonic Foraminifers,A,VG,A,,A,,,,A,,,,,,,,A,,,A,,,,,,,A,,,,,,,
IR,Late Pliocene,Pleistocene,,N21,180,1109,C,18,X,CC,10.00,169.5300,Perembo,Planktonic Foraminifers,A,VG,A,,A,A,,,A,,,,,,,,,,,A,,,,,,A,A,,,,,,,
IR,,,,N21,180,1109,C,19,X,CC,28.00,171.4100,Resig,Planktonic Foraminifers,C,G,R,,R,R,,,A,,F,R,,,R,,A,A,,R,,,R,,,A,R,,,,,,,
IR,,,,,180,1109,C,20,X,CC,34.00,185.3000,Resig,Planktonic Foraminifers,R,M,R,,,,,,,,,,R,,R,R,R,,,,,,,,,R,,,,,,,,
IR,,,,,180,1109,C,21,X,CC,45.00,189.3500,Resig,Planktonic Foraminifers,R,M,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,
IR,,,,,180,1109,C,24,X,CC,28.00,217.9800,Resig,Planktonic Foraminifers,F,M,R,,F,R,R,,,,,,,,F,,F,F,,,,F,,,,F,,,,,,,,
IR,,,,N21,180,1109,C,26,X,CC,32.00,246.7700,Resig,Planktonic Foraminifers,A,M,F,,F,F,F,,R,,A,,,,A,A,A,A,A,,,F,F,R,,F,,R,,,,,,
