Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Globorotalia crassaformis,Globigerina cf. bulloides,Neogloboquadrina pachyderma (sinistral),Globigerina bulloides,Comment
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N. pachyderma (sin.),              ,141, 862,C,  1,W, 1,  10.00,      0.1000,Spiegler ,Planktonic Foraminifers                      ,               ,G                 ,                         ,                         ,R                                      ,R                    ,from ODP Leg 141 SR; Chapter 14; Table 9; p. 207
,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N. pachyderma (sin.),              ,141, 862,C,  1,W, 1,  32.00,      0.3200,Spiegler ,Planktonic Foraminifers                      ,               ,G                 ,R                        ,R                        ,                                       ,                     ,from ODP Leg 141 SR; Chapter 14; Table 9; p. 207
,,,,,,,,,,,,,,,,,,,,,
