Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Globorotalia cf. kugleri,Globoquadrina venezuelana,Globoquadrina praedehiscens,Globoquadrina cf. tripartita,Globigerinoides primordius,Globigerina praebulloides,Globigerina ciperoensis,Globigerina cf. ciperoensis,Globigerina angulisuturalis,Catapsydrax unicavus,Globorotalia mayeri,Globorotalia cf. fohsi peripheroronda,Globorotalia kugleri,Globoquadrina dehiscens,Globigerinoides trilobus,Globigerinoides quadrilobatus,Globigerinoides immaturus,Neogloboquadrina continuosa,Globorotalia pseudokugleri,Catapsydrax dissimilis,Globigerinoides obliquus,Globigerinoides cf. primordius,Globigerina woodi,Globorotaloides suteri,Globorotaloides cf. suteri,Globorotalia fohsi peripheroronda,Praeorbulina sicanus,Praeorbulina glomerosa glomerosa,Praeorbulina glomerosa circularis,Orbulina suturalis,Globorotalia praemenardii,Globorotalia archeomenardii,Globigerinatella insueta,Orbulina universa,Globorotalia fohsi praefohsi,Globorotalia fohsi peripheroacuta,Sphaeroidinellopsis disjuncta,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,P. glomerosa      ,              ,101, 626,D,  1,R, 1,  25.00,    179.6500,Melillo  ,Planktonic Foraminifers                      ,               ,G                 ,                        ,F                        ,                           ,                            ,                          ,R                        ,                       ,                           ,                           ,                    ,R                  ,R                                    ,                    ,F                      ,F                       ,F                            ,F                        ,                           ,                          ,                      ,R                       ,                              ,                 ,                      ,                          ,                                 ,F                   ,F                               ,                                 ,                  ,                         ,                           ,                        ,                 ,                            ,                                 ,F                            ,from Melillo; ODP 101 SR Ch 1 Fig 4 p 10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,P. glomerosa      ,              ,101, 626,D,  1,R,CC,   9.00,    180.7700,Melillo  ,Planktonic Foraminifers                      ,               ,M                 ,                        ,C                        ,                           ,                            ,                          ,R                        ,                       ,                           ,                           ,                    ,F                  ,                                     ,                    ,R                      ,F                       ,F                            ,F                        ,R                          ,                          ,                      ,R                       ,                              ,                 ,                      ,R                         ,R                                ,                    ,                                ,                                 ,                  ,D                        ,                           ,                        ,D                ,D                           ,D                                ,F                            ,from Melillo; ODP 101 SR Ch 1 Fig 4 p 10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,P. glomerosa      ,              ,101, 626,D,  3,R,CC,   9.00,    199.1400,Melillo  ,Planktonic Foraminifers                      ,               ,G                 ,                        ,F                        ,                           ,                            ,                          ,R                        ,                       ,                           ,                           ,                    ,F                  ,                                     ,                    ,F                      ,F                       ,                             ,F                        ,R                          ,                          ,                      ,                        ,                              ,                 ,                      ,                          ,R                                ,F                   ,R                               ,                                 ,                  ,                         ,R                          ,                        ,D                ,D                           ,D                                ,                             ,from Melillo; ODP 101 SR Ch 1 Fig 4 p 10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,P. glomerosa      ,              ,101, 626,D,  4,R,CC,   8.00,    208.3100,Melillo  ,Planktonic Foraminifers                      ,               ,G                 ,                        ,F                        ,                           ,                            ,                          ,F                        ,                       ,                           ,                           ,                    ,F                  ,                                     ,                    ,R                      ,F                       ,R                            ,F                        ,R                          ,                          ,                      ,R                       ,                              ,                 ,                      ,                          ,F                                ,C                   ,R                               ,R                                ,D                 ,D                        ,R                          ,R                       ,                 ,                            ,                                 ,                             ,from Melillo; ODP 101 SR Ch 1 Fig 4 p 10
