Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Cibicidoides praemundulus	Bulimina semicostata	Osangularia mexicana	Gyroidinoides altispirus	Cibicidoides trincherasensis	Globocassidulina subglobosa (large form)	Cibicidoides havanensis	Vulvulina spinosa	Stilostomella nuttalli	Stilostomella gracillima	Pullenia quinqueloba	Oridorsalis umbonatus	Gyroidinoides planulatus	Globocassidulina subglobosa (small form)	Stilostomella subspinosa	Siphonodosaria modesta	Pleurostomella spp.	Orthomorphina perversa	Martinottiella petrosa	Karreriella chapapotensis	Bulimina alazanensis	Anomalinoides cf.  A. alazanensis	Uvigerina spinicostata	Pullenia coryelli	Plectofrondicularia cf. P. lirata	Orthomorphina rohri	Lenticulina vortex	Heterolepa grimsdalei	Eggerella bradyi	Cassidulina crassa	Anomalinoides alabamensis	Pullenia bulloides	Pleurostomella cf. P. alternans	Hanzawaia cushmani (flat form)	Gyroidinoides girardanus	Cibicides laurisae	Nuttallides umbonifera	Textularia leuzingeri	Praebulimina sp.	Hopkinsina mioindex	Bolivinopsis gryzbowski	Bolivina tectiformis	Bolivina cf. B. huneri	Karreriella sp.	Spiroplectammina spinosa	Oridorsalis umbonatus  (scallopped margin)	Chrysalogonium equisetiformis	Pullenia quadriloba	Anomalinoides semicribratus	Cibicides pseudowuellerstorfi	Bulimina macilenta	Trifarina sp.	Cassidulina sp. (scalloped margin)	Comment



  SR	Late Oligocene   	                 	                  	              	115	 709	C	 22	X	 2	  20.00	    200.4000	Boersma  	Benthic Foraminifers                         	               	VP                	                         	+                   	                    	                        	                            	T                                       	                       	+                	+                     	                        	+                   	F/C                  	T                       	R                                       	+                       	                      	                   	                      	                      	                         	                    	+                                	                      	                 	                                 	                   	                  	+                    	                	                  	                         	R                 	                               	                              	+                       	                  	                      	                     	+               	                   	                       	                    	                      	+              	                        	                                          	                             	                   	                           	                             	+                 	+            	                                  	from 115 SR. Chapter 20. Table 11. pages 340-341.

  SR	Late Oligocene   	                 	                  	              	115	 709	C	 22	X	 4	  20.00	    203.4000	Boersma  	Benthic Foraminifers                         	               	VP                	                         	+                   	                    	                        	                            	+                                       	                       	                 	                      	T                       	                    	F                    	                        	+                                       	+                       	                      	                   	+                     	                      	                         	+                   	                                 	                      	                 	                                 	                   	                  	                     	                	+                 	                         	                  	                               	                              	R                       	                  	                      	                     	                	                   	                       	                    	                      	               	                        	+                                         	                             	                   	+                          	                             	                  	+            	+                                 	from 115 SR. Chapter 20. Table 11. pages 340-341.

  SR	Late Oligocene   	                 	                  	              	115	 709	C	 22	X	 4	 130.00	    204.5000	Boersma  	Benthic Foraminifers                         	               	M                 	+                        	                    	+                   	                        	                            	T                                       	T                      	+                	                      	+                       	+                   	R                    	T                       	F/C                                     	                        	+                     	                   	                      	                      	                         	                    	                                 	                      	                 	                                 	                   	+                 	                     	                	                  	                         	                  	                               	                              	F                       	                  	                      	                     	                	                   	+                      	                    	                      	               	                        	                                          	                             	                   	                           	+                            	+                 	             	R                                 	from 115 SR. Chapter 20. Table 11. pages 340-341.

  SR	Late Oligocene   	                 	                  	              	115	 709	C	 22	X	 5	 130.00	    206.0000	Boersma  	Benthic Foraminifers                         	               	P                 	T                        	+                   	                    	                        	                            	                                        	                       	                 	+                     	                        	+                   	F/C                  	                        	F/C                                     	R                       	                      	                   	                      	                      	                         	                    	                                 	                      	                 	                                 	                   	                  	                     	                	                  	                         	                  	                               	                              	                        	                  	                      	                     	                	                   	+                      	                    	                      	               	                        	                                          	                             	+                  	+                          	                             	                  	             	                                  	from 115 SR. Chapter 20. Table 11. pages 340-341.
