Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),,Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Uniplanarius gothicus,Ceratolithoides aculeus,Arkhangelskiella cymbiformis,Tranolithus orionatus,Eiffellithus turriseiffelii,Aspidolithus parcus parcus,Aspidolithus parcus constrictus,Uniplanarius trifidus,Aspidolithus parcus ssp. Expansus,Eiffellithus eximius,Reinhardtites levis,Uniplanarius sissinghii,Micula murus,Lithraphidites quadratus,Ceratolithoides kamptneri,Neobiscutum romeinii,Neobiscutum parvulum,Biantholithus sparsus,Prinsius dimorphosus,Neochiastozygus modestus,Ellipsolithus macellus,Cruciplacolithus tenuis,Cruciplacolithus edwardsii,Sphenolithus anarrhopus,Heliolithus kleinpellii,Fasciculithus ulii,Fasciculithus tympaniformis,Ericsonia robusta,Discoaster multiradiatus,Discoaster mohleri,Tribrachiatus contortus,Discoaster nobilis,Discoaster diastypus,Tribrachiatus orthostylus,Toweius magnicrassus,Discoaster lodoensis,Discoaster kuepperi,Zygrhablithus bijugatus,Ericsonia subdisticha,Ericsonia formosa,Discoaster sublodoensis,Discoaster barbadiensis,Chiphragmalithus armatus,Chiasmolithus grandis,Sphenolithus radians,Sphenolithus furcatolithoides,Chiasmolithus gigas,Discoaster saipanensis,Chiasmolithus spp.,Sphenolithus pseudoradians,Sphenolithus predistentus,Reticulofenestra umbilica,Discoaster tanii,Sphenolithus heteromorphus,Discoaster variabilis,Discoaster deflandrei,Cyclicargolithus floridanus,Calcidiscus premacintyrei,Discoaster pentaradiatus,Discoaster brouweri,Reticulofenestra pseudoumbilicus,Amaurolithus spp.,Ceratolithus rugosus,Discoaster tamalis,Discoaster surculus,Calcidiscus macintyrei,Pseudoemiliania lacunosa,Gephyrocapsa (small),Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN14a,CN13b,,198,1210,B,1,H,CC,19.00,9.1900,nannos   ,Nannofossils                                 ,A              ,G                 ,                     ,                       ,                            ,                     ,                           ,                          ,                               ,                     ,                                 ,                    ,                   ,                       ,            ,                        ,                         ,                    ,                    ,                     ,                    ,                        ,                      ,                       ,                          ,                       ,                       ,                  ,                           ,                 ,                        ,                  ,                       ,                  ,                    ,                         ,                    ,                    ,                   ,                       ,                     ,                 ,                       ,                       ,                        ,                     ,                    ,                             ,                   ,                      ,                  ,                          ,                         ,                         ,                ,                          ,                     ,                     ,                           ,                         ,                        ,                   ,                                ,                 ,                    ,                  ,                   ,                      ,C                       ,A                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN14a,CN13b,,198,1210,B,2,H,CC,21.00,18.1400,nannos   ,Nannofossils                                 ,A              ,M                 ,                     ,                       ,                            ,                     ,                           ,                          ,                               ,                     ,                                 ,                    ,                   ,                       ,            ,                        ,                         ,                    ,                    ,                     ,                    ,                        ,                      ,                       ,                          ,                       ,                       ,                  ,                           ,                 ,                        ,                  ,                       ,                  ,                    ,                         ,                    ,                    ,                   ,                       ,                     ,                 ,                       ,                       ,                        ,                     ,                    ,                             ,                   ,                      ,                  ,                          ,                         ,                         ,                ,                          ,                     ,                     ,                           ,                         ,                        ,                   ,                                ,                 ,                    ,                  ,                   ,                      ,A                       ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN13b,CN13a,,198,1210,B,3,H,CC,17.00,28.2600,nannos   ,Nannofossils                                 ,A              ,M                 ,                     ,                       ,                            ,                     ,                           ,                          ,                               ,                     ,                                 ,                    ,                   ,                       ,            ,                        ,                         ,                    ,                    ,                     ,                    ,                        ,                      ,                       ,                          ,                       ,                       ,                  ,                           ,                 ,                        ,                  ,                       ,                  ,                    ,                         ,                    ,                    ,                   ,                       ,                     ,                 ,                       ,                       ,                        ,                     ,                    ,                             ,                   ,                      ,                  ,                          ,                         ,                         ,                ,                          ,                     ,                     ,                           ,                         ,                        ,                   ,                                ,                 ,                    ,                  ,                   ,C                     ,C                       ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN12d,CN12d,,198,1210,B,4,H,CC,24.00,37.0300,nannos   ,Nannofossils                                 ,A              ,M                 ,                     ,                       ,                            ,                     ,                           ,                          ,                               ,                     ,                                 ,                    ,                   ,                       ,            ,                        ,                         ,                    ,                    ,                     ,                    ,                        ,                      ,                       ,                          ,                       ,                       ,                  ,                           ,                 ,                        ,                  ,                       ,                  ,                    ,                         ,                    ,                    ,                   ,                       ,                     ,                 ,                       ,                       ,                        ,                     ,                    ,                             ,                   ,                      ,                  ,                          ,                         ,                         ,                ,                          ,                     ,                     ,                           ,                         ,                        ,F                  ,                                ,                 ,                    ,                  ,                   ,F                     ,C                       ,                    ,       
