Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Stauroxiphos communis	Siphocampe arachnea	Phormostichoartus crustula	Lamprocyrtis neoheteroporos	Cycladophora pliocenica	Botryostrobus bramlettei tumidulus	Stylatractus universus	Eucyrtidium calvertense	Cycladophora davisiana	Spongotrochus glacialis	Spongodiscus osculosus	Lamprocyrtis heteroporos	Lamprocyclas hannai	Phormostichoartus fistula	Botryostrobus bramlettei bramlettei	Cycladophora bicornis amphora	Lamprocyclas margatensis	Stichocorys wolffii	Spirema sp.	Lychnocanoma nipponica nipponica	Botryostrobus bramlettei costatus	Stichocorys peregrina	Theocorys redondoensis	Stylacontarium acquilonium	Pterocanium trilobum	Pterocanium grandiporus	Phormostichoartus intermedium	Botryostrobus sp. aff. B. aquilonaris	Botryostrobus bramlettei seriatus	Cyrtocapsella japonica	Dictyophimus splendens	Botryopera deflandrei	Stylacontarium sp.aff. S. bispiculum	Siphocampe modeloensis	Prunopyle titan	Sphaeropyle robusta	Pterocanium auritum	Phormostichoartus crustula (old)	Sphaeropyle langii	Pterocanium korotnevi	Lychnocanoma nipponica sakaii	Cycladophora davisiana (old)	Ceratospyris borealis	Phormostichoartus pitomorphus	Cycladophora bicornis helios	Ceratocyrtis histricosa group	Dictyophimus crisiae	Eucyrtidium matuyamai	Pseudodictyophimus gracilipes	Lamprocyrtis nigriniae	Gondwanaria dogieli	Botryostrobus aquilonaris	Pterocorys clausus	Comment



  SR	                 	                 	                  	              	146	 892	D	  1	X	 1	   7.00	      0.0700	Caulet   	Radiolarians                                 	A              	G                 	                     	                   	                          	T                          	                       	R                                 	R                     	R                      	A                     	R                      	                      	                        	                   	                         	                                   	                             	                        	                   	           	                                	                                 	                     	                      	                          	                    	R                      	                             	                                     	                                 	                      	                      	                     	                                    	                      	               	                   	R                  	                                	R                 	                     	                             	                            	                     	                             	                            	                             	                    	                     	                             	                      	                   	                         	R                 	From Leg 146; Ch 3; Table 4; p. 54-55

  SR	                 	                 	                  	              	146	 892	D	  2	X	 1	   6.00	      8.5600	Caulet   	Radiolarians                                 	C              	G                 	                     	                   	                          	                           	                       	                                  	                      	R                      	A                     	R                      	R                     	                        	                   	                         	                                   	A                            	                        	                   	           	                                	                                 	                     	                      	R                         	R                   	                       	                             	                                     	                                 	                      	                      	                     	                                    	                      	               	                   	                   	                                	R                 	                     	                             	                            	A                    	                             	                            	R                            	R                   	                     	C                            	T                     	T                  	R                        	A                 	From Leg 146; Ch 3; Table 4; p. 54-55

  SR	                 	                 	                  	              	146	 892	D	  2	X	 2	   6.00	     10.0600	Caulet   	Radiolarians                                 	R              	G                 	                     	                   	                          	T                          	                       	R                                 	R                     	                       	C                     	R                      	R                     	                        	                   	                         	                                   	C                            	                        	                   	           	                                	                                 	                     	                      	R                         	                    	                       	                             	T                                    	                                 	                      	                      	                     	                                    	                      	               	                   	                   	                                	R                 	T                    	                             	                            	                     	                             	                            	R                            	R                   	                     	R                            	T                     	T                  	R                        	                  	From Leg 146; Ch 3; Table 4; p. 54-55

  SR	                 	                 	                  	              	146	 892	D	  2	X	CC	   7.00	     11.7100	Caulet   	Radiolarians                                 	R              	G                 	                     	                   	                          	R                          	                       	                                  	                      	                       	R                     	                       	                      	                        	T                  	                         	                                   	                             	                        	                   	           	                                	                                 	                     	                      	                          	                    	                       	                             	                                     	                                 	                      	                      	                     	                                    	                      	               	                   	                   	                                	                  	                     	                             	                            	                     	                             	                            	                             	                    	T                    	                             	                      	                   	                         	                  	From Leg 146; Ch 3; Table 4; p. 54-55
