Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Globorotalia plesiotumida,Globigerinoides extremus,Globorotalia lenguaensis,Globoturborotalita nepenthes,Globorotalia (Hirsutella) cibaoensis,Neogloboquadrina acostaensis,Globorotalia margaritae,Globorotalia tumida,Globorotalia pseudomiocenica,Sphaeroidinellopsis seminulina,Dentoglobigerina altispira,Truncorotalia truncatulinoides,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,Pt1b          ,194,1194,A,  1,H, 2,  45.00,      1.9500,planks   ,Planktonic Foraminifers                      ,A              ,G                 ,                         ,                        ,                        ,                            ,                                    ,                            ,                       ,                   ,                            ,                              ,                          ,F                             ,N23. P.finalis but no Gr.tosa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Pliocene    ,PL3               ,PL4           ,194,1194,A,  1,H,CC,  27.00,      4.6500,planks   ,Planktonic Foraminifers                      ,A              ,G                 ,                         ,F                       ,                        ,                            ,                                    ,                            ,                       ,                   ,F                           ,F                             ,                          ,                              ,N19. Gr.crassaformis/Sa.dehiscens
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Pliocene   ,PL2               ,Pl1b          ,194,1194,A,  2,H,CC,  26.00,     14.4000,planks   ,Planktonic Foraminifers                      ,A              ,G                 ,                         ,                        ,                        ,                            ,                                    ,F                           ,                       ,F                  ,F                           ,F                             ,A                         ,                              ,N19. Sa.dehiscens present.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Pliocene   ,PL2               ,Pl1b          ,194,1194,A,  3,H,CC,  26.00,     23.7900,planks   ,Planktonic Foraminifers                      ,A              ,G                 ,                         ,                        ,                        ,                            ,                                    ,F                           ,                       ,F                  ,                            ,                              ,                          ,                              ,N19. Gr.primalis but no Sa.dehiscens
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Pliocene   ,PL2               ,Pl1b          ,194,1194,A,  4,H,CC,  31.00,     33.8000,planks   ,Planktonic Foraminifers                      ,A              ,G                 ,F                        ,                        ,                        ,                            ,                                    ,                            ,R                      ,F                  ,F                           ,                              ,                          ,                              ,Lower N19. Sa.dehiscens pres/no G.nepenthes
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Pliocene   ,                  ,Pl1a          ,194,1194,A,  5,H,CC,  30.00,     43.1200,planks   ,Planktonic Foraminifers                      ,A              ,G                 ,                         ,                        ,                        ,                            ,                                    ,                            ,R                      ,R                  ,                            ,                              ,                          ,                              ,N18. No Sa.dehiscens
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
