Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Nephrolepidina unspecified taxon or taxa,Myogypsina (unspecified taxon or taxa),Katacycloclypeus (unspecified taxon or taxa),Myogypsinoides dehaarti,Halkyardia (unspecified taxon or taxa),Miogypsina thecideaeformis,Gypsina globulus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,Middle Miocene   ,                  ,              ,133, 817,D, 11,R, 1,  10.00,    357.0000,Betzler  ,Benthic Foraminifers                         ,               ,                  ,+                                       ,                                      ,                                            ,                       ,                                      ,                          ,+               ,from ODP 133 SR Chapter 4 Table 1 p 57
,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,Middle Miocene   ,                  ,              ,133, 817,D, 19,R, 1,  14.00,    426.8400,Betzler  ,Benthic Foraminifers                         ,               ,                  ,+                                       ,                                      ,                                            ,                       ,+                                     ,+                         ,                ,from ODP 133 SR Chapter 4 Table 1 p 57
,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,Middle Miocene   ,                  ,              ,133, 817,D, 19,R, 1,  24.00,    426.9400,Betzler  ,Benthic Foraminifers                         ,               ,                  ,+                                       ,                                      ,+                                           ,                       ,+                                     ,                          ,                ,from ODP 133 SR Chapter 4 Table 1 p 57
,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,Middle Miocene   ,                  ,              ,133, 817,D, 20,R, 1,  17.00,    436.4700,Betzler  ,Benthic Foraminifers                         ,               ,                  ,+                                       ,+                                     ,+                                           ,                       ,+                                     ,                          ,                ,from ODP 133 SR Chapter 4 Table 1 p 57
,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,Middle Miocene   ,                  ,              ,133, 817,D, 21,R,CC,   0.00,    446.2500,Betzler  ,Benthic Foraminifers                         ,               ,                  ,+                                       ,                                      ,                                            ,                       ,                                      ,                          ,                ,from ODP 133 SR Chapter 4 Table 1 p 57
,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,Middle Miocene   ,                  ,              ,133, 817,D, 23,R, 1,  24.00,    465.5400,Betzler  ,Benthic Foraminifers                         ,               ,                  ,+                                       ,+                                     ,+                                           ,                       ,                                      ,                          ,                ,from ODP 133 SR Chapter 4 Table 1 p 57
,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,Middle Miocene   ,                  ,              ,133, 817,D, 23,R,CC,   0.00,    465.6800,Betzler  ,Benthic Foraminifers                         ,               ,                  ,+                                       ,+                                     ,                                            ,                       ,                                      ,                          ,                ,from ODP 133 SR Chapter 4 Table 1 p 57
,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,Middle Miocene   ,                  ,              ,133, 817,D, 26,R, 2,  41.00,    496.1100,Betzler  ,Benthic Foraminifers                         ,               ,                  ,+                                       ,                                      ,                                            ,                       ,                                      ,                          ,                ,from ODP 133 SR Chapter 4 Table 1 p 57
,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,Middle Miocene   ,                  ,              ,133, 817,D, 27,R, 1,  13.00,    503.9300,Betzler  ,Benthic Foraminifers                         ,               ,                  ,+                                       ,                                      ,                                            ,+                      ,                                      ,                          ,                ,from ODP 133 SR Chapter 4 Table 1 p 57
,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,Middle Miocene   ,                  ,              ,133, 817,D, 27,R, 1,  17.00,    503.9700,Betzler  ,Benthic Foraminifers                         ,               ,                  ,+                                       ,+                                     ,+                                           ,                       ,                                      ,                          ,                ,from ODP 133 SR Chapter 4 Table 1 p 57
,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,Middle Miocene   ,                  ,              ,133, 817,D, 27,R,CC,   0.00,    504.1600,Betzler  ,Benthic Foraminifers                         ,               ,                  ,+                                       ,+                                     ,+                                           ,                       ,                                      ,                          ,                ,from ODP 133 SR Chapter 4 Table 1 p 57
,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,Middle Miocene   ,                  ,              ,133, 817,D, 34,R, 1,  44.00,    570.6400,Betzler  ,Benthic Foraminifers                         ,               ,                  ,+                                       ,                                      ,                                            ,                       ,                                      ,                          ,                ,from ODP 133 SR Chapter 4 Table 1 p 57
,,,,,,,,,,,,,,,,,,,,,,,,
