Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Theocorythium vetulum,Stylatractus universus,Stichocorys peregrina,Spongaster tetras,Pterocanium prismatium,Phormostichoartus fistula,Phormostichoartus doliolum,Lychnodictyum audax,Didymocyrtis penultima,Anthocyrtidium pliocenica,Anthocyrtidium jenghisi,Amphirhopalum ypsilon,Lamprocyrtis heteroporos,Lamprocyrtis neoheteroporos,Theocalyptra davisiana,Anthocyrtidium angulare,Theocorythium trachelium trachelium,Pterocorys minythorax,Lamprocyrtis nigriniae,Collosphaera tuberosa,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,RN16              ,              ,138, 852,B,  1,H, 2, 110.00,      2.6000,Moore    ,Radiolarians                                 ,C/A            ,M                 ,                     ,-                     ,                     ,R                ,                      ,                         ,                          ,                   ,                      ,                         ,                       ,R                    ,                        ,                           ,R                     ,                       ,R                                  ,R                    ,R                     ,R                    ,from ODP Leg 138 SR Chapter 11 Fig 9 pp 220-221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,RN16              ,              ,138, 852,B,  1,H, 3,  10.00,      3.1000,Moore    ,Radiolarians                                 ,C              ,M                 ,                     ,-                     ,                     ,R                ,                      ,                         ,                          ,                   ,                      ,                         ,                       ,R                    ,                        ,                           ,R                     ,                       ,-                                  ,R                    ,R                     ,R                    ,Reworked older fauna = Trace; from ODP Leg 138 SR Chapter 11 Fig 9 pp 220-221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,RN16              ,              ,138, 852,B,  1,H, 3,  80.00,      3.8000,Moore    ,Radiolarians                                 ,F              ,M                 ,                     ,-                     ,                     ,R                ,                      ,                         ,                          ,                   ,                      ,                         ,                       ,R                    ,                        ,                           ,R                     ,                       ,R                                  ,R                    ,R                     ,R                    ,from ODP Leg 138 SR Chapter 11 Fig 9 pp 220-221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P12               ,              ,138, 852,B,  1,H, 3, 139.00,      4.3900,Moore    ,Radiolarians                                 ,F              ,M                 ,                     ,R                     ,                     ,R                ,                      ,                         ,                          ,                   ,                      ,                         ,                       ,R                    ,                        ,                           ,R                     ,                       ,R                                  ,R                    ,R                     ,R                    ,from ODP Leg 138 SR Chapter 11 Fig 9 pp 220-221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
