Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Stichocorys peregrina	Lithomelissa stigi	Eucyrtidium pseudoinflatum	Cycladophora spongothorax	Siphonosphaera vesuvius	Acrosphaera australis	Amphymenium challengerae	Acrosphaera labrata	Desmospyris spongiosa	Cycladophora pliocenica	Stylatractus universus	Lampromitra coronata	Lychnocanium grande	Eucyrtidium calvertense	Antarctissa cylindrica	Triceraspyris antarctica	Prunopyle titan	Helotholus vema	Comment



  IR	                 	                 	                  	              	178	1095	B	  1	H	CC	  11.00	     92.7800	Weinheimer	Radiolarians                                 	               	                  	                     	                  	                          	                         	                       	                     	                        	                   	F                    	F                      	                      	                    	                   	F                      	A                     	F                       	               	C              	       

  IR	                 	                 	                  	              	178	1095	B	  2	H	CC	   7.00	    100.7800	Weinheimer	Radiolarians                                 	C              	M                 	                     	                  	                          	                         	                       	                     	                        	                   	                     	F                      	F                     	                    	                   	                       	C                     	F                       	               	F              	       

  IR	                 	                 	                  	              	178	1095	B	  3	H	CC	  23.00	    112.1400	Weinheimer	Radiolarians                                 	C              	M                 	                     	                  	                          	                         	                       	                     	                        	                   	C                    	C                      	                      	R                   	                   	F                      	C                     	F                       	               	               	       

  IR	                 	                 	                  	              	178	1095	B	  4	H	CC	  31.00	    121.3300	Weinheimer	Radiolarians                                 	C              	M                 	                     	                  	                          	                         	                       	                     	                        	                   	C                    	C                      	                      	                    	                   	F                      	C                     	                        	               	C              	       

  IR	                 	                 	                  	              	178	1095	B	  5	H	CC	   0.00	    130.7300	Weinheimer	Radiolarians                                 	C              	M                 	                     	                  	                          	                         	                       	                     	                        	                   	C                    	                       	F                     	                    	                   	F                      	C                     	R                       	               	C              	       

  IR	                 	                 	                  	              	178	1095	B	  6	H	CC	   0.00	    139.9900	Weinheimer	Radiolarians                                 	C              	M                 	                     	                  	                          	                         	                       	                     	                        	                   	                     	F                      	                      	                    	                   	                       	F                     	                        	               	C              	       

  IR	                 	                 	                  	              	178	1095	B	  7	H	CC	  24.00	    149.8400	Weinheimer	Radiolarians                                 	C              	M                 	                     	                  	                          	                         	                       	                     	                        	                   	                     	F                      	R                     	                    	                   	R                      	C                     	R                       	F              	R              	       

  IR	                 	                 	                  	              	178	1095	B	  8	H	CC	   0.00	    158.8300	Weinheimer	Radiolarians                                 	C              	M                 	                     	                  	                          	                         	                       	                     	                        	                   	F                    	F                      	                      	R                   	                   	                       	R                     	                        	               	F              	       

  IR	                 	                 	                  	              	178	1095	B	  9	H	CC	  20.00	    168.9200	Weinheimer	Radiolarians                                 	F              	M                 	                     	                  	                          	                         	                       	                     	                        	                   	F                    	F                      	R                     	                    	                   	                       	F                     	                        	               	               	       

  IR	                 	                 	                  	              	178	1095	B	 10	H	CC	  51.00	    177.9400	Weinheimer	Radiolarians                                 	C              	M                 	                     	                  	                          	                         	                       	                     	                        	                   	                     	F                      	                      	                    	T                  	F                      	C                     	F                       	F              	               	       

