Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Tritaxa spp.	Stensioina pommerana	Spiroplectammina spp.	Sliteria varsoviensis	Reussella szajnochae	Pseudouvigerina plummerae	Praebulimina reussi	Paralabamina lunata	Osangularia navarroana	Gyroidinoides spp.	Gavelinella beccariiformis	Eouvigerina subsculptura	Coryphostoma incrassata	Cibicidoides velascoensis	Bolivinoides paleocenica	Aragonia velascoensis	lagenid taxa	Sitella cf. plana	Nuttallinella florealis	Nonion spp.	Gyroidinoides depressus	Gaudryina pyramidata	Bolivinoides delicatulus	Allomorphina trochoides	Alabamina sp. A	Spiroplectammina spectabilis	Pullenia spp.	Hyperammina/Bathysiphon frag.	Oridorsalis spp.	Cibicidoides hyphalus	Quadrimorphina allomorphinoides	Pyramidina rudita	Nuttallides truempyi	Glomospira spp.	Bulimina sp. (apical spine)	Osangularia velascoensis	Marssonella oxycona	Gyroidinoides globosa	Bulimina trinitatensis	Globorotalites sp. A	Coryphostoma midwayensis	Cibicidoides dayi	Anomalinoides praespissiformis	other agglutinated taxa	Neoflabellina semireticulata	Charltonia? sp. (porate)	Bulimina sp. 185 (apical spine)	Bulimina sp. (triangular)	Pyramidina? sp. (without ap. spine)	Buliminella grata	Buliminella beaumonti	pleurostomellid taxa	Nodogenerina spp.	Ammodiscus sp.	Comment



  IR	                 	Late Paleocene   	                  	              	171	1052	E	  4	R	CC	   0.00	    165.7500	Widmark  	Benthic Foraminifers                         	A              	M                 	+           	                    	                     	                     	                    	                         	                   	                   	                      	                  	+                         	                        	                       	                         	                        	                     	+           	                 	                       	           	+                      	                    	                        	                       	               	+                           	+            	                             	+               	+                    	+                              	                 	+                   	               	                           	                        	                   	                     	                      	                    	+                       	+                	                              	+                      	                            	                        	                               	                         	                                   	                 	                     	+                   	+                	+             	No P. hillebrandti, few buliminids, abun. G.beccariiformis

  IR	                 	                 	                  	              	171	1052	E	  8	R	CC	  14.00	    210.3900	Widmark  	Benthic Foraminifers                         	C              	P                 	            	                    	                     	                     	                    	                         	                   	                   	                      	                  	+                         	                        	                       	                         	                        	                     	+           	                 	                       	           	                       	                    	+                       	                       	               	                            	+            	+                            	                	                     	+                              	                 	+                   	               	                           	                        	                   	+                    	                      	                    	                        	                 	                              	                       	                            	                        	                               	                         	                                   	                 	                     	+                   	+                	              	       

  IR	                 	Early Paleocene  	                  	              	171	1052	E	 12	R	CC	   4.00	    248.1700	Widmark  	Benthic Foraminifers                         	A              	M                 	+           	                    	                     	                     	                    	                         	                   	                   	                      	                  	+                         	                        	                       	                         	                        	+                    	+           	                 	                       	           	                       	+                   	                        	+                      	               	                            	             	                             	                	+                    	                               	+                	+                   	               	                           	                        	                   	                     	                      	                    	                        	                 	                              	+                      	                            	                        	                               	                         	+                                  	+                	+                    	                    	                 	              	       

  IR	                 	Early Paleocene  	                  	              	171	1052	E	 15	R	CC	  24.00	    274.1600	Widmark  	Benthic Foraminifers                         	A              	M                 	+           	                    	                     	                     	                    	                         	                   	                   	                      	                  	+                         	                        	                       	+                        	                        	+                    	+           	                 	                       	           	+                      	+                   	+                       	                       	               	                            	             	                             	+               	+                    	+                              	+                	                    	               	                           	                        	                   	+                    	+                     	                    	                        	+                	                              	+                      	+                           	+                       	+                              	+                        	                                   	                 	                     	                    	                 	              	       
