leg,site,hole,core,section,top interval depth(cm),bottom interval depth (cm),coredepth(m),sample depth(m),total number of observed fossils,investigators name,publication date (month/year),dsdp initial report volume number,fossil group,group abundance,chemical overgrowth,chemical dissolution,mechanical preservations,age,page number reference,fossil code,fossil,fossil abundance,fossil preservation,record join code,eodp_id
19,183,,1,1,90.0,92.0,0.00,0.91, 3,"LING,H.Y.",06/1973,19,RADIOLARIA,,,,,NO AGE GIVEN,779,RCYCL0020,Cycladophora davisiana cornutoides,RARE,  ,1,ee6a48f5fabb0674c5daf1d763a410d7
19,183,,1,1,90.0,92.0,0.00,0.91, 3,"LING,H.Y.",06/1973,19,RADIOLARIA,,,,,NO AGE GIVEN,779,RLITT0020,Lithomitra arachnea,RARE,  ,1,c553579ab238abebda6b0adf3e4165a5
19,183,,1,1,90.0,92.0,0.00,0.91, 3,"LING,H.Y.",06/1973,19,RADIOLARIA,,,,,NO AGE GIVEN,779,RTRIE0011,Triceraspyris sp. (q),RARE,  ,1,b3362c14c2385a61a02331f7962a4a0e
19,183,,1,CC,0.0,0.0,0.00,3.10, 1,"LING,H.Y.",06/1973,19,RADIOLARIA,,,,,NO AGE GIVEN,779,RTRIE0011,Triceraspyris sp. (q),RARE,  ,1,10b63a8fe51ec951052c22dc541821b5
19,183,,2,CC,0.0,0.0,3.00,7.60, 5,"LING,H.Y.",06/1973,19,RADIOLARIA,,,,,NO AGE GIVEN,779,RCYCL0010,Cycladophora davisiana,RARE,  ,1,7101dd06b0b28b94f9b688efeea9f536
19,183,,2,CC,0.0,0.0,3.00,7.60, 5,"LING,H.Y.",06/1973,19,RADIOLARIA,,,,,NO AGE GIVEN,779,RCYCL0020,Cycladophora davisiana cornutoides,RARE,  ,1,4b50f9e31483042feec4af151dead947
19,183,,2,CC,0.0,0.0,3.00,7.60, 5,"LING,H.Y.",06/1973,19,RADIOLARIA,,,,,NO AGE GIVEN,779,RLITT0020,Lithomitra arachnea,RARE,  ,1,b425669bc5d0c4c7b911d5e0cc17435a
19,183,,2,CC,0.0,0.0,3.00,7.60, 5,"LING,H.Y.",06/1973,19,RADIOLARIA,,,,,NO AGE GIVEN,779,RSPOY0050,Spongopyle osculosa,RARE,  ,1,a334748407b6e0b53aebea22d5d14427
19,183,,2,CC,0.0,0.0,3.00,7.60, 5,"LING,H.Y.",06/1973,19,RADIOLARIA,,,,,NO AGE GIVEN,779,RTRIE0011,Triceraspyris sp. (q),RARE,  ,1,b4e15c20cb3bab6dae7bbf7c6c70e95f
19,183,,3,CC,0.0,0.0,12.00,13.60, 2,"LING,H.Y.",06/1973,19,RADIOLARIA,,,,,NO AGE GIVEN,779,RCYCL0020,Cycladophora davisiana cornutoides,RARE,  ,1,4fe3dc0e18b77af0da18c9fc6085adf7
19,183,,3,CC,0.0,0.0,12.00,13.60, 2,"LING,H.Y.",06/1973,19,RADIOLARIA,,,,,NO AGE GIVEN,779,RSTYO0020,Stylochlamidium venustum,RARE,  ,1,f609f675b04a7e3ba2a9eedf25b7f819
19,183,,4,1,132.0,134.0,21.00,22.33, 8,"LING,H.Y.",06/1973,19,RADIOLARIA,,,,,NO AGE GIVEN,779,RARTT0020,Artostrobus annulatus,PRESENT,  ,1,572551ac97b9cb7a8b29b93ab90cba75
19,183,,4,1,132.0,134.0,21.00,22.33, 8,"LING,H.Y.",06/1973,19,RADIOLARIA,,,,,NO AGE GIVEN,779,RCYCL0010,Cycladophora davisiana,COMMON,  ,1,a7d51663e90499a7db0cb0709698b892
19,183,,4,1,132.0,134.0,21.00,22.33, 8,"LING,H.Y.",06/1973,19,RADIOLARIA,,,,,NO AGE GIVEN,779,RCYCL0020,Cycladophora davisiana cornutoides,RARE,  ,1,00a8199461c740f54a9624e6f349564d
19,183,,4,1,132.0,134.0,21.00,22.33, 8,"LING,H.Y.",06/1973,19,RADIOLARIA,,,,,NO AGE GIVEN,779,RLITT0020,Lithomitra arachnea,RARE,  ,1,cc202af396a5bb7b7200b9ffd64d31d6
19,183,,4,1,132.0,134.0,21.00,22.33, 8,"LING,H.Y.",06/1973,19,RADIOLARIA,,,,,NO AGE GIVEN,779,RSPOD0010,Spongodiscus sp.,PRESENT,  ,1,130e21d4420db2bf934e5e0561b716ed
19,183,,4,1,132.0,134.0,21.00,22.33, 8,"LING,H.Y.",06/1973,19,RADIOLARIA,,,,,NO AGE GIVEN,779,RSPOY0050,Spongopyle osculosa,RARE,  ,1,1a4b379220de5a399ffe744d5af668be
19,183,,4,1,132.0,134.0,21.00,22.33, 8,"LING,H.Y.",06/1973,19,RADIOLARIA,,,,,NO AGE GIVEN,779,RSTYO0020,Stylochlamidium venustum,RARE,  ,1,a8884bf9eaf962962e0d0a2dbe010d23
19,183,,4,1,132.0,134.0,21.00,22.33, 8,"LING,H.Y.",06/1973,19,RADIOLARIA,,,,,NO AGE GIVEN,779,RTRIE0011,Triceraspyris sp. (q),RARE,  ,1,e67b7f57fdeea996b8648e18c809f8bc
19,183,,4,2,82.0,84.0,21.00,23.33, 5,"LING,H.Y.",06/1973,19,RADIOLARIA,,,,,NO AGE GIVEN,779,RARTT0020,Artostrobus annulatus,PRESENT,  ,1,718693967d2b7ed8e2e1eb7158266a3a
19,183,,4,2,82.0,84.0,21.00,23.33, 5,"LING,H.Y.",06/1973,19,RADIOLARIA,,,,,NO AGE GIVEN,779,RCYCL0010,Cycladophora davisiana,FEW,  ,1,c8967c18ff5d0ee63d43cbef1a6303d9
19,183,,4,2,82.0,84.0,21.00,23.33, 5,"LING,H.Y.",06/1973,19,RADIOLARIA,,,,,NO AGE GIVEN,779,RCYCL0020,Cycladophora davisiana cornutoides,PRESENT,  ,1,f199247da9813a960a4fb0589fa97667
