Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Zeugrhabdotus embergeri	Watznaueria ovata	Watznaueria manivitae	Watznaueria britannica	Watznaueria biporta	Watznaueria barnesae	Tubodiscus verenae	Rucinolithus wisei	Rhagodiscus dekaenelii	Lithraphidites carniolensis carniolensis	Helenea chiastia	Haqius ellipticus	Diazomatolithus lehmanii	Cyclagelosphaera margerelii	Cyclagelosphaera deflandrei	Cruciellipsis cuvillieri	Cretarhabdus angustiforatus	Assipetra infracretacea	Zeugrhabdotus cooperi	Tubodiscus jurapelagicus	Rhagodiscus asper	Haqius circumradiatus	Pickelhaube furtiva	Manivitella pemmatoidea	Cretarhabdus conicus	Zeugrhabdotus erectus	Glaukolithus diplogrammus	Calcicalathina oblongata	Watznaueria supracretacea	Eiffellithus primus	Biscutum constans	Assipetra terebrodentarius	Hayesites bulbus	Lithraphidites bollii	Nannoconus ligius	Comment



  IR	                 	                 	                  	              	185	1149	B	 16	R	 1	  74.00	    283.0400	Lozar    	Nannofossils                                 	C              	P                 	F                      	                 	R                    	F                     	R                  	A                   	                  	                  	                      	R                                       	R               	F                	F                       	C                          	                           	R                       	F                          	R                      	R                    	F                       	                 	F                    	R                  	F                      	                    	F                    	                         	                        	F                        	                   	                 	F                         	R               	R                    	                 	       

  IR	                 	                 	                  	              	185	1149	B	 16	R	 1	  83.00	    283.1300	Lozar    	Nannofossils                                 	C              	M                 	A                      	                 	R                    	R                     	R                  	A                   	                  	                  	                      	C                                       	C               	                 	R                       	C                          	                           	                        	R                          	R                      	                     	R                       	                 	R                    	R                  	A                      	                    	R                    	                         	                        	F                        	                   	                 	R                         	R               	                     	                 	preserved coccosphaeres

  IR	                 	                 	                  	              	185	1149	B	 16	R	 1	  92.00	    283.2200	Lozar    	Nannofossils                                 	C              	M                 	F                      	                 	                     	F                     	F                  	C                   	                  	                  	                      	R                                       	R               	                 	R                       	C                          	                           	                        	R                          	R                      	R                    	                        	                 	F                    	                   	F                      	                    	                     	                         	                        	C                        	                   	                 	C                         	                	                     	                 	After squeezing for IW.

  IR	                 	                 	                  	              	185	1149	B	 17	R	 1	  14.00	    292.1400	Lozar    	Nannofossils                                 	R              	P                 	R                      	                 	                     	                      	                   	                    	                  	                  	                      	                                        	                	                 	                        	                           	                           	                        	                           	R                      	                     	                        	                 	                     	                   	                       	                    	                     	                         	                        	R                        	                   	                 	R                         	                	                     	                 	dolomite

  IR	                 	                 	                  	              	185	1149	B	 17	R	 1	  26.00	    292.2600	Lozar    	Nannofossils                                 	R              	P                 	R                      	                 	                     	R                     	                   	R                   	                  	                  	                      	                                        	                	                 	                        	                           	                           	                        	                           	                       	                     	                        	                 	                     	                   	                       	                    	                     	                         	                        	                         	                   	                 	F                         	                	                     	                 	       

