Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Globigerina falconensis,Neogloboquadrina incompta,Globorotalia obesa,Globigerinoides ruber,Globigerinita iota,Globigerinita glutinata,Globigerina calida,Globigerina bulloides,Turborotalita humilis,Sphaeroidinella dehiscens dehiscens,Pulleniatina obliquiloculata,Neogloboquadrina dutertrei,Globorotaloides hexagona,Globigerinoides sacculifer,Globigerinoides obliquus obliquus,Globigerinoides immaturus,Globigerina rubescens,Orbulina universa,Globigerinoides elongatus,Neogloboquadrina pachyderma,Neogloboquadrina humerosa,Hastigerinopsis riedeli,Globigerina quinqueloba,Neogloboquadrina blowi,Globorotalia tumida,Globorotalia scitula,Globorotalia cultrata cultrata,Globorotalia ungulata,Globorotalia tosaensis,Globorotalia cultrata menardii,Globigerinoides conglobatus,Globigerinella aequilateralis,Globigerina decoraperta,Globigerinita uvula,Neogloboquadrina pseudopachyderma,Globigerina calida praecalida,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 681,B,  2,H,CC,  10.00,     15.6000,Ibaraki  ,Planktonic Foraminifers                      ,R              ,G                 ,T                      ,                         ,                  ,                     ,                  ,T                      ,                  ,T                    ,                     ,                                   ,                            ,T                         ,                        ,                          ,                                 ,                         ,                     ,                 ,                         ,                           ,                         ,                       ,                       ,                      ,                   ,                    ,                              ,                     ,                      ,                              ,                           ,                             ,                       ,                   ,                                 ,                             ,from ODP Leg 112 SR Chapter 15 Table 2 p 242
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 681,B,  3,H,CC,  15.00,     24.7900,Ibaraki  ,Planktonic Foraminifers                      ,R              ,G                 ,C                      ,C                        ,C                 ,                     ,                  ,F                      ,                  ,                     ,                     ,                                   ,                            ,                          ,                        ,                          ,                                 ,                         ,C                    ,T                ,                         ,A                          ,                         ,                       ,C                      ,                      ,                   ,                    ,                              ,                     ,                      ,                              ,                           ,                             ,                       ,                   ,                                 ,                             ,from ODP Leg 112 SR Chapter 15 Table 2 p 242
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 681,B,  4,H,CC,   0.00,     34.2800,Ibaraki  ,Planktonic Foraminifers                      ,R              ,G                 ,T                      ,A                        ,F                 ,                     ,F                 ,F                      ,                  ,F                    ,                     ,                                   ,T                           ,R                         ,T                       ,C                         ,                                 ,                         ,                     ,T                ,T                        ,A                          ,                         ,F                      ,A                      ,                      ,                   ,                    ,                              ,                     ,                      ,F                             ,                           ,                             ,                       ,                   ,                                 ,                             ,from ODP Leg 112 SR Chapter 15 Table 2 p 242
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 681,B,  5,H, 6,  95.00,     42.8500,Ibaraki  ,Planktonic Foraminifers                      ,R              ,G                 ,C                      ,A                        ,C                 ,                     ,C                 ,F                      ,                  ,C                    ,                     ,                                   ,                            ,R                         ,                        ,                          ,                                 ,                         ,                     ,T                ,                         ,A                          ,                         ,                       ,C                      ,                      ,                   ,                    ,                              ,                     ,                      ,                              ,                           ,                             ,                       ,                   ,C                                ,T                            ,from ODP Leg 112 SR Chapter 15 Table 2 p 242
