leg,site,hole,core,section,top interval depth(cm),bottom interval depth (cm),coredepth(m),sample depth(m),total number of observed fossils,investigators name,publication date (month/year),dsdp initial report volume number,fossil group,group abundance,chemical overgrowth,chemical dissolution,mechanical preservations,age,page number reference,fossil code,fossil,fossil abundance,fossil preservation,record join code
29,279,A,1,1,25.0,25.0,13.00,13.25,10,"EDWARDS,A.R.;PERCH-NIELSEN,K.",,29,NANNOFOSSILS,ABUNDANT,,,MODERATE,NO AGE GIVEN,483,NCOCO0100,Coccolithus eopelagicus,RARE,  ,1
29,279,A,1,1,25.0,25.0,13.00,13.25,10,"EDWARDS,A.R.;PERCH-NIELSEN,K.",,29,NANNOFOSSILS,ABUNDANT,,,MODERATE,NO AGE GIVEN,483,NCOCO0101,Coccolithus eopelagicus (q),COMMON,  ,1
29,279,A,1,1,25.0,25.0,13.00,13.25,10,"EDWARDS,A.R.;PERCH-NIELSEN,K.",,29,NANNOFOSSILS,ABUNDANT,,,MODERATE,NO AGE GIVEN,483,NCRUI0041,Cruciplacolithus neohelis (q),RARE,  ,1
29,279,A,1,1,25.0,25.0,13.00,13.25,10,"EDWARDS,A.R.;PERCH-NIELSEN,K.",,29,NANNOFOSSILS,ABUNDANT,,,MODERATE,NO AGE GIVEN,483,NCYCC0100,Cyclococcolithus leptoporus,RARE,  ,1
29,279,A,1,1,25.0,25.0,13.00,13.25,10,"EDWARDS,A.R.;PERCH-NIELSEN,K.",,29,NANNOFOSSILS,ABUNDANT,,,MODERATE,NO AGE GIVEN,483,NCYCC0130,Cyclococcolithus macintyrei,RARE,  ,1
29,279,A,1,1,25.0,25.0,13.00,13.25,10,"EDWARDS,A.R.;PERCH-NIELSEN,K.",,29,NANNOFOSSILS,ABUNDANT,,,MODERATE,NO AGE GIVEN,483,NGEPH0060,Gephyrocapsa oceanica,COMMON,  ,1
29,279,A,1,1,25.0,25.0,13.00,13.25,10,"EDWARDS,A.R.;PERCH-NIELSEN,K.",,29,NANNOFOSSILS,ABUNDANT,,,MODERATE,NO AGE GIVEN,483,NGEPH0101,Gephyrocapsa sp. small,ABUNDANT,  ,1
29,279,A,1,1,25.0,25.0,13.00,13.25,10,"EDWARDS,A.R.;PERCH-NIELSEN,K.",,29,NANNOFOSSILS,ABUNDANT,,,MODERATE,NO AGE GIVEN,483,NHELI0100,Helicopontosphaera kamptneri,FEW,  ,1
29,279,A,1,1,25.0,25.0,13.00,13.25,10,"EDWARDS,A.R.;PERCH-NIELSEN,K.",,29,NANNOFOSSILS,ABUNDANT,,,MODERATE,NO AGE GIVEN,483,NHELI0200,Helicopontosphaera sellii,RARE,  ,1
29,279,A,1,1,25.0,25.0,13.00,13.25,10,"EDWARDS,A.R.;PERCH-NIELSEN,K.",,29,NANNOFOSSILS,ABUNDANT,,,MODERATE,NO AGE GIVEN,483,NRETI0180,Reticulofenestra pseudoumbilica,RARE,  ,1
29,279,A,1,1,60.0,60.0,13.00,13.60, 7,"EDWARDS,A.R.;PERCH-NIELSEN,K.",,29,NANNOFOSSILS,COMMON,,,MODERATE,NO AGE GIVEN,483,NCOCO0100,Coccolithus eopelagicus,RARE,  ,1
29,279,A,1,1,60.0,60.0,13.00,13.60, 7,"EDWARDS,A.R.;PERCH-NIELSEN,K.",,29,NANNOFOSSILS,COMMON,,,MODERATE,NO AGE GIVEN,483,NCOCO0101,Coccolithus eopelagicus (q),RARE,  ,1
29,279,A,1,1,60.0,60.0,13.00,13.60, 7,"EDWARDS,A.R.;PERCH-NIELSEN,K.",,29,NANNOFOSSILS,COMMON,,,MODERATE,NO AGE GIVEN,483,NCYCC0100,Cyclococcolithus leptoporus,FEW,  ,1
29,279,A,1,1,60.0,60.0,13.00,13.60, 7,"EDWARDS,A.R.;PERCH-NIELSEN,K.",,29,NANNOFOSSILS,COMMON,,,MODERATE,NO AGE GIVEN,483,NCYCC0130,Cyclococcolithus macintyrei,PRESENT,  ,1
29,279,A,1,1,60.0,60.0,13.00,13.60, 7,"EDWARDS,A.R.;PERCH-NIELSEN,K.",,29,NANNOFOSSILS,COMMON,,,MODERATE,NO AGE GIVEN,483,NGEPH0060,Gephyrocapsa oceanica,RARE,  ,1
29,279,A,1,1,60.0,60.0,13.00,13.60, 7,"EDWARDS,A.R.;PERCH-NIELSEN,K.",,29,NANNOFOSSILS,COMMON,,,MODERATE,NO AGE GIVEN,483,NGEPH0101,Gephyrocapsa sp. small,ABUNDANT,  ,1
29,279,A,1,1,60.0,60.0,13.00,13.60, 7,"EDWARDS,A.R.;PERCH-NIELSEN,K.",,29,NANNOFOSSILS,COMMON,,,MODERATE,NO AGE GIVEN,483,NRETI0180,Reticulofenestra pseudoumbilica,PRESENT,  ,1
