Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Distephanus speculum speculum	Distephanus crux	Dictyocha varia	Dictyocha extensa extensa	Distephanus speculum speculum (8-sided)	Distephanus speculum speculum (7-sided)	Dictyocha sp.	Dictyocha perlaevis perlaevis	Dictyocha fibula mutabilis	Dictyocha fibula fibula	Dictyocha fibula ausonia	Dictyocha extensa longa	Dictyocha messanensis	Dictyocha clinata	Bachmannocena diodon nodosa f. transenna	Bachmannocena diodon nodosa f. navicula	Bachmannocena diodon nodosa	Distephanus speculum speculum (5-sided)	Bachmannocena elliptica	Dictyocha delicata bisecta	Dictyocha lingii	Bachmannocena circulus	Dictyocha perlaevis flexatella	Distephanus quinquangellus	Dictyocha aculeata subaculeata	Bachmannocena quadrangula	Distephanus pulchra	Distephanus boliviensis	Bachmannocena quadrangula (5-sided)	Dictyocha calida calida	Dictyocha aculeata aculeata	Comment



  SR	Pleistocene      	                 	D. aculeata       	              	138	 848	B	  1	H	 1	 120.00	      1.2000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                             	                	               	                         	                                       	                                       	             	4                            	                          	                       	                        	                       	133                  	                 	                                        	                                       	                           	                                       	                       	                          	                	                      	                              	                          	9                             	                         	1                  	                       	                                   	                       	17                         	Aberrant specimens = 2; Total count = 164; from Leg 138 SR Ch 8 Table 5 pp 136-137

  SR	Pleistocene      	                 	D. aculeata       	              	138	 848	B	  1	H	 2	  35.00	      1.8500	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                             	                	               	                         	                                       	                                       	2            	144                          	                          	                       	                        	                       	52                   	                 	                                        	                                       	                           	                                       	                       	                          	                	                      	                              	                          	1                             	                         	                   	                       	                                   	1                      	6                          	Aberrant specimens = 2; Total count = 206; from Leg 138 SR Ch 8 Table 5 pp 136-137

  SR	Pleistocene      	                 	D. aculeata       	              	138	 848	B	  2	H	 1	 120.00	      3.4000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                             	                	               	                         	                                       	                                       	1            	2                            	                          	                       	                        	                       	98                   	                 	                                        	                                       	                           	                                       	                       	                          	                	                      	                              	                          	1                             	2                        	18                 	                       	                                   	                       	                           	Aberrant specimens = 0; Total count = 122; from Leg 138 SR Ch 8 Table 5 pp 136-137

  SR	Pleistocene      	                 	D. aculeata       	              	138	 848	B	  2	H	 4	 120.00	      7.9000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	5                            	                	1              	1                        	                                       	                                       	53           	133                          	                          	                       	                        	2                      	69                   	                 	                                        	                                       	                           	                                       	                       	                          	                	                      	                              	                          	8                             	                         	20                 	                       	                                   	                       	8                          	Aberrant specimens = 1; Total count = 300; from Leg 138 SR Ch 8 Table 5 pp 136-137

