Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Whiteinella inornata,Whiteinella baltica,Whiteinella archaeocretacea,Heterohelix moremani,Clavihedbergella simplex,Heterohelix globulosa,Hastigerinoides watersi,Marginotruncana pseudolinneiana,Dicarinella hagni,Archaeoglobigerina cretacea,Marginotruncana sinuosa,Contusotruncana fornicata,Pseudoguembelina costellifera,Heterohelix striata,Heterohelix sphenoides,Globigerinelloides prairiehillensis,Rugotruncana subcircumnodifer,Rugoglobigerina rugosa,Pseudotextularia elegans,Globotruncana linneiana,Globotruncana aegyptiaca,Globotruncanita subspinosa,Globotruncanita stuartiformis,Contusotruncana patelliformis,Globotruncanita stuarti,Globotruncana esnehensis,Globotruncana arca,Gansserina gansseri,Rugoglobigerina rotundata,Rugoglobigerina hexacamerata,Contusotruncana contusa,Abathomphalus mayaroensis,Woodringina hornerstownensis,Parvularugoglobigerina eugubina,Parasubbotina pseudobulloides,Globoconusa daubjergensis,Parvularugoglobigerina alabamensis,Guembelitria cretacea,Eoglobigerina eobulloides,Praemurica taurica,Subbotina triloculinoides,Praemurica pseudoinconstans,Parasubbotina varianta,Morozovella angulata,Igorina albeari,Globanomalina ehrenbergi,Subbotina velascoensis,Morozovella velascoensis,Morozovella occlusa,Morozovella aequa,Morozovella acuta,Acarinina soldadoensis,Acarinina coalingensis,Subbotina triangularis,Morozovella subbotinae,Morozovella apanthesma,Chiloguembelina wilcoxensis,Pseudohastigerina micra,Morozovella marginodentata,Morozovella gracilis,Turborotalia praecentralis,Morozovella formosa,Morozovella aragonensis,Igorina broedermanni,Acarinina wilcoxensis,Acarinina quetra,Turborotalia ampliapertura,Tenuitella munda,Tenuitella angustiumbilicata,Paragloborotalia opima nana,Globoquadrina altispira globosa,Globigerina praebulloides,Globigerina ciperoensis,Globigerina angulisuturalis,Chiloguembelina cubensis,Cassigerinella chipolensis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1259,B,  1,R,CC,  19.00,      0.6300,forams   ,Planktonic Foraminifers                      ,A              ,G                 ,                    ,                   ,                           ,                    ,                        ,                     ,                       ,                               ,                 ,                           ,                       ,                         ,                             ,                   ,                      ,                                   ,                             ,                      ,                        ,                       ,                        ,                          ,                             ,                             ,                       ,                        ,                  ,                   ,                         ,                            ,                       ,                         ,                            ,                               ,                             ,                         ,                                  ,                     ,                         ,                  ,                         ,                           ,                      ,                    ,               ,                        ,                      ,                        ,                   ,                 ,                 ,                      ,                      ,                      ,                      ,                      ,                           ,                       ,                          ,                    ,                          ,                   ,                       ,                    ,                     ,                ,P                         ,P               ,P                           ,P                          ,P                              ,P                        ,P                      ,P                          ,P                       ,P                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1259,B,  2,R,CC,  16.00,    314.7800,forams   ,Planktonic Foraminifers                      ,C              ,P                 ,                    ,                   ,                           ,                    ,                        ,                     ,                       ,                               ,                 ,                           ,                       ,                         ,                             ,                   ,                      ,                                   ,                             ,                      ,                        ,                       ,                        ,                          ,                             ,                             ,                       ,                        ,                  ,                   ,                         ,                            ,                       ,                         ,                            ,                               ,                             ,                         ,                                  ,                     ,                         ,                  ,                         ,                           ,                      ,                    ,               ,                        ,                      ,                        ,                   ,                 ,                 ,P                     ,                      ,                      ,                      ,                      ,                           ,                       ,                          ,                    ,P                         ,                   ,P                      ,P                   ,P                    ,P               ,                          ,                ,                            ,                           ,                               ,                         ,                       ,                           ,                        ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1259,B,  4,R,CC,  15.00,    330.7400,forams   ,Planktonic Foraminifers                      ,C              ,P                 ,                    ,                   ,                           ,                    ,                        ,                     ,                       ,                               ,                 ,                           ,                       ,                         ,                             ,                   ,                      ,                                   ,                             ,                      ,                        ,                       ,                        ,                          ,                             ,                             ,                       ,                        ,                  ,                   ,                         ,                            ,                       ,                         ,                            ,                               ,                             ,                         ,                                  ,                     ,                         ,                  ,                         ,                           ,                      ,                    ,               ,                        ,                      ,                        ,                   ,                 ,                 ,P                     ,                      ,                      ,                      ,                      ,                           ,P                      ,                          ,P                   ,P                         ,P                  ,P                      ,P                   ,P                    ,P               ,                          ,                ,                            ,                           ,                               ,                         ,                       ,                           ,                        ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1259,B,  5,R,CC,  15.00,    343.6800,forams   ,Planktonic Foraminifers                      ,C              ,P                 ,                    ,                   ,                           ,                    ,                        ,                     ,                       ,                               ,                 ,                           ,                       ,                         ,                             ,                   ,                      ,                                   ,                             ,                      ,                        ,                       ,                        ,                          ,                             ,                             ,                       ,                        ,                  ,                   ,                         ,                            ,                       ,                         ,                            ,                               ,                             ,                         ,                                  ,                     ,                         ,                  ,                         ,                           ,                      ,                    ,               ,                        ,                      ,                        ,                   ,                 ,                 ,P                     ,                      ,P                     ,P                     ,                      ,                           ,                       ,P                         ,P                   ,                          ,                   ,                       ,                    ,                     ,                ,                          ,                ,                            ,                           ,                               ,                         ,                       ,                           ,                        ,                          ,       
