Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Truncorotalia truncatulinoides (sin.),Truncorotalia truncatulinoides (dex.),Truncorotalia crassaformis,Sphaeroidinella dehiscens,Pulleniatina obliquiloculata,Menardella menardii (sinistral),Menardella menardii (dextral),Globorotalia tumida flexuosa,Globorotalia tumida,Globoconella inflata,Globigerinoides obliquus,Globigerinoides fistulosus,Globigerinoides extremus,Neogloboquadrina pachyderma,Globoturborotalita rubescens,Globigerinella calida,Globigerina cariacoensis,Globigerina bulloides,Globigerina bermudezi,Truncorotalia crassaformis hessi,Menardella limbata,Hirsutella hirsuta,Globigerina falconensis,Hastigerina pelagica,Menardella exilis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1055,B,  1,H,CC,  19.00,      4.4500,Chaisson ,Planktonic Foraminifers                      ,C              ,VG                ,+                                    ,+                                    ,+                         ,-                        ,-                           ,-                              ,-                            ,-                           ,-                  ,+                   ,-                       ,-                         ,-                       ,                           ,                            ,                     ,                        ,+                    ,-                    ,                                ,-                 ,                  ,                       ,                    ,                 ,LGM? ruber pink present
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1055,B,  2,H, 7,  65.00,     14.0100,Chaisson ,Planktonic Foraminifers                      ,C              ,G                 ,+                                    ,                                     ,                          ,                         ,+                           ,                               ,                             ,-                           ,-                  ,                    ,                        ,                          ,                        ,                           ,                            ,                     ,                        ,                     ,                     ,                                ,                  ,                  ,                       ,                    ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1055,B,  2,H,CC,  15.00,     14.1900,Chaisson ,Planktonic Foraminifers                      ,C              ,G                 ,+                                    ,-                                    ,-                         ,                         ,-                           ,-                              ,-                            ,-                           ,                   ,+                   ,-                       ,-                         ,-                       ,-                          ,+                           ,                     ,                        ,+                    ,+                    ,                                ,                  ,+                 ,                       ,                    ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1055,B,  3,H, 1,  70.00,     14.7000,Chaisson ,Planktonic Foraminifers                      ,C              ,G                 ,                                     ,+                                    ,                          ,                         ,+                           ,+                              ,                             ,+                           ,+                  ,                    ,                        ,                          ,                        ,                           ,                            ,                     ,                        ,                     ,                     ,                                ,                  ,                  ,                       ,                    ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
