Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Tetrapyle octacantha	Stylodictya validispina	Spongocore puella	Spongobrachium ellipticus	Spongaster tetras tetras	Sethophormis sp. aff. S. pentalactis	Saturnalis circularis	Pterocanium trilobum	Plectopyramis dodecomma	Peripyramis circumtexta	Lithopera bacca	Liriospyris reticulata	Hexacontium enthacanthum	Euchitonia furcata	Euchitonia elegans	Didymocyrtis tetrathalamus tetrathalamus	Dictyophimus crisiae	Dictyocoryne truncatum	Dictyocodon sp.	Cycladophora spp.	Cornutella profunda	Circodiscus microporus	Carpocanistrum spp.	Botryostrobus auritus/australis	Axoprunum stauraxonium	Amphirhopalum ypsilon	Podocyrtis sp. aff. P. papalis	Theopilium tricostatum	Theocorythium trachelium trachelium	Stylatractus sp.	Stylacontarium acquilonium	Stichopera pectinata group	Spongotrochus (?) venustum	Siphonosphaera polysiphonia	Sethophormis pentalactis	Phormospyris stabilis stabilis	Ommatodiscus murrayi	Lamprocyclas maritalis maritalis	Hymeniastrum euclidis	Giraffospyris angulata	Eucyrtidium hexagonatum	Dictyocoryne profunda	Axoprunum angelinum	Anthocyrtidium ophirense	Acrosphaera spinosa	Thyrsocyrtis triacantha	Theocotylissa ficus	Theocotylissa alpha	Podocyrtis acalles	Giraffospyris lata	Stylotrochus quadribrachiatus quadribrachiatus	Rhopalocanium sp.	Podocyrtis sp. aff. P.  acalles	Podocyrtis sinuosa	Podocyrtis papalis	Phormocyrtis striata striata	Phormocyrtis striata exquisita	Lychnocanoma sp.	Cryptocarpium sp.	Calocyclas hispida	Buryella tetradica	Pterocanium praetextum praetextum	Phormostichoartus corbula	Lamprocyclas hannai	Heliodiscus asteriscus	Acrosphaera lappacea	Stylatractus giganteus	Siphonosphaera cyathina	Lithocampe sp.	Cycladophora sp. aff. C. cabrilloensis	Acrosphaera flammabunda	Tessarastrum straussi	Pterocorys hertwigii	Otosphaera polymorpha	Lamprocyclas maritalis polypora	Eucyrtidium anomalum	Collosphaera macropora	Archipilium sp. aff. A. macropus	Spongobrachium  sp. aff. S. ellipticum	Lophophaena cylindrica	Collosphaera orthoconus	Botryostrobus sp. cf. B. aquilonarius	Anthocyrtidium sp. aff. zanguebaricum	Comment



  SR	                 	                 	                  	              	136	 842	A	  1	H	 1	  28.00	      0.2800	Hull     	Radiolarians                                 	A              	M-G               	F                   	A                      	A                	                         	A                       	                                    	C                    	A                   	                       	C                      	A              	C                     	A                       	C                 	A                 	A                                       	C                   	C                     	               	A                	A                  	F                     	C                  	F                              	                      	A                    	                              	                      	C                                  	                	C                         	R                         	                          	A                          	                        	                              	                    	C                               	F                    	C                     	F                      	A                    	                   	A                       	A                  	                       	                   	                   	                  	                  	                                              	                 	                               	                  	                  	                            	                              	                	                 	                  	                  	C                                	R                        	C                  	C                     	F                   	R                     	F                      	F             	R                                     	R                      	C                    	R                   	                     	F                              	                    	F                     	R                               	R                                     	R                     	F                      	R                                    	R                                    	from ODP Leg 136 SR Ch 1 Table 1 pp 6-9

  SR	                 	                 	                  	              	136	 842	A	  1	H	 1	 129.00	      1.2900	Hull     	Radiolarians                                 	A              	M-G               	C                   	C                      	A                	                         	F                       	R                                   	F                    	C                   	                       	                       	C              	F                     	C                       	C                 	A                 	C                                       	F                   	A                     	               	A                	C                  	R                     	A                  	F                              	                      	A                    	                              	R                     	A                                  	R               	                          	                          	R                         	F                          	                        	                              	R                   	F                               	F                    	                      	C                      	A                    	R                  	C                       	R                  	                       	                   	                   	                  	                  	                                              	                 	                               	                  	                  	                            	                              	                	                 	                  	                  	F                                	                         	F                  	F                     	R                   	R                     	                       	F             	                                      	                       	                     	F                   	                     	                               	                    	                      	R                               	                                      	                      	                       	                                     	                                     	from ODP Leg 136 SR Ch 1 Table 1 pp 6-9

  SR	                 	                 	                  	              	136	 842	A	  1	H	 2	 130.00	      2.8000	Hull     	Radiolarians                                 	A              	M-G               	F                   	C                      	C                	                         	F                       	                                    	R                    	C                   	                       	C                      	               	F                     	C                       	C                 	C                 	C                                       	R                   	A                     	               	C                	C                  	C                     	R                  	F                              	F                     	C                    	                              	                      	C                                  	                	C                         	                          	                          	F                          	                        	                              	C                   	C                               	R                    	                      	C                      	C                    	                   	C                       	C                  	                       	                   	                   	                  	                  	                                              	                 	                               	                  	                  	                            	                              	                	                 	                  	                  	F                                	F                        	                   	C                     	R                   	                      	R                      	              	                                      	                       	                     	                    	                     	                               	                    	R                     	                                	                                      	                      	                       	                                     	                                     	from ODP Leg 136 SR Ch 1 Table 1 pp 6-9

  SR	                 	                 	                  	              	136	 842	A	  1	H	 3	   7.00	      3.0700	Hull     	Radiolarians                                 	A              	M-G               	F                   	C                      	C                	                         	C                       	                                    	                     	                    	R                      	                       	C              	F                     	C                       	C                 	C                 	C                                       	F                   	A                     	               	F                	C                  	C                     	C                  	                               	F                     	C                    	                              	                      	C                                  	R               	F                         	                          	                          	F                          	                        	                              	                    	C                               	                     	R                     	C                      	A                    	                   	C                       	F                  	                       	                   	                   	                  	                  	                                              	                 	                               	                  	                  	                            	                              	                	                 	                  	                  	R                                	                         	                   	C                     	F                   	F                     	F                      	F             	                                      	R                      	R                    	R                   	R                    	C                              	R                   	R                     	R                               	                                      	                      	                       	                                     	                                     	from ODP Leg 136 SR Ch 1 Table 1 pp 6-9
