Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Reticulofenestra daviesii,Reticulofenestra umbilica,Cyclicargolithus floridanus,Coccolithus pelagicus,Chiasmolithus oamaruensis,Chiasmolithus altus,Reticulofenestra samodurovii,Zygrhablithus bijugatus,Reticulofenestra hillae,Isthmolithus recurvus,Reticulofenestra reticulata,Reticulofenestra producta,Reticulofenestra perplexa,Reticulofenestra hesslandii,Reticulofenestra bisecta,Chiasmolithus solitus,Cribrosphaerella ehrenbergii,Coccolithus formosus,Chiasmolithus sp.,Arkhangelskiella cymbiformis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,Pliocene         ,                  ,              ,119, 739,C,  8,R,CC,   2.00,     57.6200,Wei      ,Nannofossils                                 ,R              ,M                 ,r                        ,r                        ,                           ,R                    ,                         ,r                  ,r                           ,                       ,                       ,r                    ,                           ,R                        ,                         ,r                          ,r                       ,r                    ,r                           ,r                   ,r                ,r                           ,from 119 SR Chapter 26 Table 8 page 478-480.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,Pliocene         ,                  ,              ,119, 739,C, 13,R, 2,  21.00,    107.6100,Wei      ,Nannofossils                                 ,R              ,M                 ,r                        ,                         ,r                          ,R                    ,                         ,                   ,r                           ,                       ,                       ,                     ,                           ,R                        ,R                        ,r                          ,r                       ,r                    ,                            ,                    ,                 ,                            ,from 119 SR Chapter 26 Table 8 page 478-480.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,119, 739,C, 22,R, 2,  12.00,    160.9200,Wei      ,Nannofossils                                 ,R              ,G                 ,                         ,                         ,                           ,                     ,                         ,                   ,                            ,                       ,                       ,                     ,r                          ,                         ,                         ,                           ,                        ,                     ,                            ,                    ,                 ,                            ,Uncertain age assignment. from 119 SR Chapter 26 Table 8 page 478-480.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,119, 739,C, 23,R, 2, 130.00,    166.8000,Wei      ,Nannofossils                                 ,R              ,G                 ,R                        ,                         ,                           ,                     ,                         ,                   ,                            ,                       ,                       ,                     ,                           ,                         ,                         ,                           ,                        ,                     ,                            ,                    ,                 ,                            ,Uncertain age assignment. from 119 SR Chapter 26 Table 8 page 478-480.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,119, 739,C, 23,R,CC,  26.00,    167.0900,Wei      ,Nannofossils                                 ,R              ,G                 ,R                        ,                         ,                           ,                     ,                         ,                   ,                            ,                       ,                       ,                     ,                           ,                         ,                         ,                           ,                        ,                     ,                            ,                    ,                 ,                            ,Uncertain age assignment. from 119 SR Chapter 26 Table 8 page 478-480.
