Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stephanopyxis grunowii,Sceptroneis sp.,Pyxilla (all generic taxa),Hemiaulus sp. 3,Hemiaulus crenulatus,Hemiaulus caracteristicus,Stictodiscus sp.,Stephanopyxis cf. superba,Stephanopyxis tunis var. cylindrus,Pseudotriceratium chenevieri,Stephanopyxis cf. marginata,Pseudostictodiscus picus,Navicula udintsevii,Kisseleviella carina,Asteromphalus oligocenicus,Sceptroneis pesplanus,Pterotheca danica,Coscinodiscus spiralis,Rutilaria sp.,Melosira architecturalis,Nitzschia kerguelenis,Thalassiosira hydra,Coscinodiscus denarius,Sceptroneis tenue,Denticulopsis hustedtii,Thalassiosira torokina,Thalassiosira burckliana,Nitzschia porteri,Nitzschia marina/reinholdii,Nitzschia denticuloides,Nitzschia cylindrus,Actinocyclus ingens,Rouxia californica,Nitzschia cf. praeinterfrigidaria,Cosmiodiscus intersectus,Actinocyclus fryxellae,Thalassiosira praeconvexa,Thalassiosira inura,Eucampia antarctica,Actinocyclus ingens var. ovalis,Denticulopsis punctata var. hustedtii,Denticulopsis dimorpha,Nitzschia praeinterfrigidaria,Thalassiosira lentiginosa,Thalassiosira gravida,Nitzschia ritscherii,Nitzschia curta,Nitzschia barronii,Actinocyclus actinochilus,Porosira glacialis,Diatoms (unspecified pennate taxa),Diatoms (unspecified centric taxa),Chaetoceros spp. (resting spores),Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,119, 739,C,  1,R, 1,   5.00,      0.0500,Stockwell,Diatoms                                      ,               ,                  ,                      ,               ,                          ,               ,                    ,                         ,                ,                         ,                                  ,                            ,                           ,                        ,                   ,                    ,                          ,                     ,                 ,                      ,             ,                        ,                     ,                   ,                      ,                 ,                       ,                      ,                        ,                 ,                           ,                       ,                   ,                   ,                  ,                                 ,                        ,                      ,                         ,                   ,                   ,                               ,                                     ,                      ,                             ,                         ,                     ,                    ,               ,                  ,                         ,                  ,3163                              ,508                               ,598                              ,counts as specimens per gram x 10 000. from 119 SR Chapter 30 Appendix pages 605 - 606.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,119, 739,C,  1,R, 1,  84.00,      0.8400,Baldauf  ,Diatoms                                      ,C              ,G                 ,                      ,               ,                          ,               ,                    ,                         ,                ,                         ,                                  ,                            ,                           ,                        ,                   ,                    ,                          ,                     ,                 ,                      ,             ,                        ,F                    ,                   ,                      ,                 ,                       ,                      ,                        ,                 ,                           ,                       ,C                  ,                   ,                  ,                                 ,                        ,                      ,                         ,R                  ,F                  ,                               ,                                     ,                      ,                             ,                         ,F                    ,                    ,               ,                  ,                         ,R                 ,                                  ,                                  ,                                 ,from 119 SR Chapter 29 Table 11 pages 586 - 587.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,119, 739,C,  1,R,CC,   6.00,      1.1500,Stockwell,Diatoms                                      ,               ,                  ,                      ,               ,                          ,               ,                    ,                         ,                ,                         ,                                  ,                            ,                           ,                        ,                   ,                    ,                          ,                     ,                 ,                      ,             ,                        ,F                    ,                   ,                      ,                 ,                       ,                      ,                        ,                 ,                           ,                       ,F                  ,                   ,                  ,                                 ,                        ,                      ,                         ,R                  ,F                  ,                               ,                                     ,                      ,                             ,R                        ,F                    ,F                   ,F              ,R                 ,R                        ,R                 ,318                               ,90                                ,237                              ,counts as specimens per gram x 10 000. from 119 SR Chapter 30 Appendix pages 605 - 606.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,119, 739,C,  2,R,CC,   0.00,      9.5000,Baldauf  ,Diatoms                                      ,R              ,P                 ,                      ,               ,                          ,               ,                    ,                         ,                ,                         ,                                  ,                            ,                           ,                        ,                   ,                    ,                          ,                     ,                 ,                      ,             ,                        ,R                    ,                   ,                      ,                 ,                       ,                      ,                        ,                 ,                           ,                       ,                   ,                   ,                  ,                                 ,                        ,                      ,                         ,                   ,                   ,                               ,                                     ,                      ,                             ,                         ,R                    ,                    ,               ,                  ,                         ,                  ,                                  ,                                  ,                                 ,from 119 SR Chapter 29 Table 11 pages 586 - 587.
