Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Svenia cf. hamiltonensis	Serovaina infracretacea	Saracenaria spinosa	Pyramidulina obscura	Pseudonodosaria humilis	Praebulimina cf. nannina	Lingulonodosaria sp. B	Lenticulina spp.	Gavelinella sp. B	Gavelinella cf. andersoni	Gaudryina aff. richteri	Coryphostoma sp.	Astacolus spp.	?Eurycheilostoma cf. hergottensis	Vaginulina sp.	Lingulonodosaria nodosaria	Lingulina buddencanyonensis	Laevidentalina oligostegia	Laevidentalina nana	Hergottella sp.	Citharina cf. petila	Ramulina spp.	Lingulonodosaria loryi	Gavelinella sp. A	Vaginulinopsis sp.	Tritaxia gaultina	Serovaina gracillima	Remesella sp.	Pseudogaudryinella sp. A	Pleurostomella aff. reussi	Osangularia schloenbachi	Laevidentalina gracilis	Laevidentalina cylindroides	Globulina prisca	Dorothia sp.	Citharina sp. B	Berthelina  intermedia	Astacolus cf. scitula	Lingulonodosaria sp. A	Ellipsoidella cf. cuneata	Tricarinella excavata	Repmania corona	Quadrimorphina allomorphinoides	Pyramidulina sceptrum	Hemirobulina hamulus	Grigelis sp.	Charltonia cf. australis	Ammosphaeroidina sp.	Gavelinella  cf. indica	Pseudogaudryinella sp. B	Planularia bradyana	Glomospirella sp.	Astacolus sp. A	Pseudogaudryinella sp. C	Scheibnerova protindica	Heterantyx cf. cretosa	Saracenaria triangularis	Lingulina sp.	Psilocitharella recta	Citharina sp. A	Spiroplectinella cf. gandolfii	Ellipsoglandulina sp.	Tappanina sp.	Marssonella oxycona	Globorotalites aptiensis	Cuneus cf. ludbrookae	Pyramidulina sp.	?Frondicularia sp.	Comment



  SR	Albian           	                 	                  	              	123	 766	A	 16	R	 3	  46.00	    146.3600	Haig     	Benthic Foraminifers                         	               	                  	C                       	A                      	                   	                    	                       	                        	                      	C               	                 	A                        	                       	C               	              	R                                	R             	R                         	                           	R                         	                   	               	                    	R            	                      	                 	                  	C                	C                   	A            	                        	A                         	A                       	                       	                           	R               	            	R              	R                     	                     	                      	                         	                     	               	R                              	                     	                    	            	                        	R                   	                       	C                       	C                  	                 	               	A                       	A                      	                      	R                       	             	                     	               	C                             	                     	C            	                   	                        	R                    	R               	R                 	from ODP Leg 123 SR Chapter 14 Tables 1-4 and Fig 2 pp 273-277

  SR	Albian           	                 	                  	              	123	 766	A	 16	R	 5	  60.00	    149.5000	Haig     	Benthic Foraminifers                         	               	                  	C                       	C                      	                   	                    	R                      	                        	                      	C               	                 	C                        	                       	R               	              	R                                	R             	R                         	R                          	R                         	R                  	               	                    	             	                      	                 	                  	C                	R                   	C            	                        	C                         	C                       	                       	                           	                	R           	               	C                     	                     	                      	                         	                     	               	                               	                     	                    	            	R                       	R                   	                       	C                       	R                  	                 	               	C                       	C                      	R                     	                        	             	                     	R              	C                             	R                    	R            	R                  	C                       	R                    	                	                  	Hedbergella cf. punctata identified as ?; from ODP Leg 123 SR Chapter 14 Tables 1-4 and Fig 2 pp 273-277

  SR	Albian           	                 	                  	              	123	 766	A	 16	R	CC	   9.00	    152.1800	Haig     	Benthic Foraminifers                         	               	                  	C                       	C                      	                   	                    	R                      	                        	                      	R               	                 	R                        	                       	C               	              	                                 	C             	                          	                           	                          	R                  	               	R                   	R            	                      	                 	                  	C                	C                   	C            	                        	C                         	C                       	                       	R                          	                	R           	R              	R                     	                     	                      	R                        	                     	R              	R                              	                     	                    	            	C                       	C                   	                       	C                       	C                  	R                	               	C                       	C                      	R                     	                        	             	                     	               	C                             	R                    	             	                   	                        	                     	                	                  	from ODP Leg 123 SR Chapter 14 Tables 1-4 and Fig 2 pp 273-277

  SR	Albian           	                 	                  	              	123	 766	A	 17	R	 2	 125.00	    155.2500	Haig     	Benthic Foraminifers                         	               	                  	R                       	C                      	                   	                    	                       	                        	                      	R               	                 	                         	                       	R               	              	                                 	R             	                          	                           	R                         	R                  	               	R                   	             	                      	                 	                  	R                	C                   	C            	                        	R                         	R                       	                       	                           	                	            	               	C                     	                     	                      	                         	                     	               	R                              	                     	                    	            	                        	                    	                       	                        	C                  	                 	               	C                       	C                      	R                     	                        	R            	                     	R              	R                             	                     	             	                   	                        	                     	                	                  	Tritaxia gautina identified as ?; from ODP Leg 123 SR Chapter 14 Tables 1-4 and Fig 2 pp 273-277
