Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Watznaueria barnesae	Vekshinella stradnerii	Rhagodiscus asper	Nannoconus steinmannii	Lithraphidites carniolensis carniolensis	Haqius circumradiatus	Eprolithus floralis	Rucinolithus irregularis	Micrantholithus obtusus	Braarudosphaera regularis	Braarudosphaera batilliformis	Tranolithus gabalus	Prediscosphaera columnata	Gephyrorhabdus coronadventis	Tetrapodorhabdus decorus	Stradneria crenulata	Micula decussata	Lithraphidites quadratus	Cribrosphaerella ehrenbergii	Ceratolithoides aculeus	Micula murus	Ceratolithoides kamptneri	Eiffellithus parallelus	Prinsius dimorphosus	Markalius inversus	Cruciplacolithus primus (large)	Chiasmolithus danicus	Braarudosphaera bigelowii	Nannotetrina cristata	Chiasmolithus gigas	Zygrhablithus bijugatus	Reticulofenestra umbilica	Ericsonia formosa	Coccolithus eopelagicus	Chiasmolithus solitus	Chiasmolithus grandis	Sphenolithus furcatolithoides labradorensis	Rhabdosphaera tenuis	Pedinocyclus larvalis	Ellipsolithus bollii	Discoaster tanii ornatus	Sphenolithus radians	Coronocyclus prionion	Coccolithus pelagicus	Pemma papillatum	Discoaster barbadiensis	Comment



  IR	                 	                 	CN13              	CN14a         	171	1049	C	  1	H	CC	   9.00	      2.0900	Mita     	Nannofossils                                 	C              	M                 	                    	                      	                 	                      	                                        	                     	                   	                        	                       	                         	                             	                   	                         	                            	                        	                    	                	                        	                            	                       	            	                         	                       	                    	                  	                               	                     	F                        	                     	R                  	                       	F                        	                 	F                      	R                    	F                    	F                                          	                    	                     	                    	                        	                    	                     	                     	R               	R                      	       

  IR	                 	                 	                  	              	171	1049	C	  2	H	CC	  20.00	     21.1000	Mita     	Nannofossils                                 	               	                  	                    	                      	                 	                      	                                        	                     	                   	                        	                       	                         	                             	                   	                         	                            	                        	                    	                	                        	                            	                       	            	                         	                       	                    	                  	                               	                     	F                        	                     	                   	                       	R                        	R                	R                      	R                    	R                    	                                           	R                   	                     	                    	                        	R                   	R                    	R                    	                	                       	       

  IR	                 	                 	                  	              	171	1049	C	  3	H	CC	  22.00	     30.9100	Mita     	Nannofossils                                 	               	                  	                    	                      	                 	                      	                                        	                     	                   	                        	                       	                         	                             	                   	                         	                            	                        	                    	                	                        	                            	                       	            	                         	                       	                    	                  	                               	                     	R                        	                     	R                  	                       	R                        	R                	F                      	R                    	F                    	F                                          	R                   	R                    	R                   	R                       	                    	                     	                     	                	                       	       

  IR	                 	                 	                  	              	171	1049	C	  4	H	CC	   5.00	     39.9800	Mita     	Nannofossils                                 	               	                  	                    	                      	                 	                      	                                        	                     	                   	                        	                       	                         	                             	                   	                         	                            	                        	                    	                	                        	                            	                       	            	                         	                       	                    	                  	                               	                     	R                        	                     	R                  	R                      	R                        	R                	R                      	R                    	R                    	                                           	                    	                     	                    	                        	                    	                     	                     	                	                       	       

