Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Subbotina linaperta,Turborotalia centralis,Pseudohastigerina micra,Paragloborotalia opima nana,Globorotaloides testarugosa,Globigerinatheka index,Chiloguembelina cubensis,Globorotaloides suteri,Subbotina eocaena,Subbotina angiporoides,Tenuitella gemma,Tenuitella munda,Subbotina praeturritilina,Globoquadrina tripartita,Globigerina euapertura,Globigerina ciperoensis,Paragloborotalia opima opima,Catapsydrax unicavus,Tenuitellinata angustiumbilicata,Globoconella nana,Catapsydrax dissimilis,Zeaglobigerina woodi,Zeaglobigerina connecta,Neogloboquadrina continuosa,Globoquadrina venezuelana,Globoquadrina dehiscens,Zeaglobigerina druryi,Jenkinsella semivera,Tenuitellinata juvenilis,Paragloborotalia semivera,Paragloborotalia pseudocontinuosa,Globoquadrina globularis,Globigerinita glutinata,Globoconella praescitula,Globoconella incognita,Orbulina universa,Orbulina suturalis,Globoconella miozea,Globoconella conoidea,Globigerinoides trilobus,Globigerina falconensis,Fohsella peripheroronda,Dentoglobigerina altispira,Tenuitella minutissima,Jenkinsella mayeri,Globigerinoides sacculifer,Globigerinella obesa,Zeaglobigerina apertura,Globigerinoides quadrilobatus,Globigerinella siphonifera,Globigerina quinqueloba,Globigerina bulloides,Catapsydrax parvulus,Globigerinoides bollii,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis kochi,Globoconella sp. cf. sphericomiozea,Zeaglobigerina nepenthes,Zeaglobigerina decoraperta,Globorotalia scitula,Globorotalia plesiotumida,Globorotalia menardii,Globorotalia cibaoensis,Globoconella conomiozea,Globigerinoides ruber,Globigerinoides extremus,Neogloboquadrina pachyderma (dextral),Globorotalia sp. cf. juanai,Globorotalia mons,Globorotalia margaritae,Globigerinoides conglobatus,Globorotalia crassaformis,Globoconella sphericomiozea,Globorotalia puncticulata,Globorotalia crassula,Neogloboquadrina dutertrei,Globorotalia pliozea,Globorotalia inflata,Globorotalia tumida,Beella digitata,Sphaeroidinella dehiscens,Pulleniatina obliquiloculata,Globorotalia truncatulinoides,Globorotalia tosaensis,Globorotalia sp. cf. tosaensis,Globorotalia hirsuta,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Quaternary       ,                  ,Pt1b          ,182,1134,A,  1,H,CC,  13.00,      4.4700,Li       ,Planktonic Foraminifers                      ,A              ,M                 ,                   ,                      ,                       ,                           ,                           ,                      ,                        ,                      ,                 ,                      ,                ,                ,                         ,                        ,                      ,                       ,                            ,                    ,                                ,                 ,                      ,                    ,                       ,                           ,                         ,                       ,                     ,                    ,                        ,                         ,                                 ,                        ,F                      ,                        ,                      ,P                ,                  ,                   ,                     ,                        ,F                      ,                       ,                          ,                      ,                  ,                          ,                    ,                       ,                             ,P                         ,F                      ,F                    ,                    ,                      ,                              ,                         ,                                   ,                        ,                          ,P                   ,                         ,                     ,                       ,                       ,A                    ,                        ,F                                    ,                           ,                 ,                       ,                           ,P                        ,                           ,                         ,                     ,                          ,                    ,F                   ,                   ,               ,                         ,                            ,P                            ,                      ,                              ,P                   ,frosted forams
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Quaternary       ,                  ,Pt1b          ,182,1134,A,  2,H,CC,   8.00,     14.2100,Li       ,Planktonic Foraminifers                      ,A              ,M                 ,                   ,                      ,                       ,                           ,                           ,                      ,                        ,                      ,                 ,                      ,                ,                ,                         ,                        ,                      ,                       ,                            ,                    ,                                ,                 ,                      ,                    ,                       ,                           ,                         ,                       ,                     ,                    ,                        ,                         ,                                 ,                        ,                       ,                        ,                      ,P                ,                  ,                   ,                     ,                        ,F                      ,                       ,                          ,                      ,                  ,                          ,                    ,                       ,                             ,                          ,                       ,F                    ,                    ,                      ,                              ,                         ,                                   ,                        ,                          ,                    ,                         ,                     ,                       ,                       ,A                    ,                        ,F                                    ,                           ,                 ,                       ,                           ,                         ,                           ,                         ,                     ,                          ,                    ,A                   ,                   ,               ,                         ,                            ,F                            ,                      ,P                             ,                    ,"frosted forams, some shell debris, black forams"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Quaternary       ,                  ,Pt1a          ,182,1134,A,  3,H,CC,  15.00,     23.4100,Li       ,Planktonic Foraminifers                      ,A              ,M                 ,                   ,                      ,                       ,                           ,                           ,                      ,                        ,                      ,                 ,                      ,                ,                ,                         ,                        ,                      ,                       ,                            ,                    ,                                ,                 ,                      ,                    ,                       ,                           ,                         ,                       ,                     ,                    ,                        ,                         ,                                 ,                        ,                       ,                        ,                      ,P                ,                  ,                   ,                     ,R                       ,F                      ,                       ,                          ,                      ,                  ,                          ,                    ,                       ,                             ,P                         ,                       ,                     ,                    ,                      ,                              ,                         ,                                   ,                        ,                          ,                    ,                         ,                     ,                       ,                       ,F                    ,                        ,                                     ,                           ,                 ,                       ,                           ,P                        ,                           ,                         ,                     ,                          ,                    ,A                   ,                   ,               ,P                        ,P                           ,P                            ,R                     ,                              ,                    ,frosted forams
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Pleistocene      ,                  ,              ,182,1134,A,  4,H,CC,  21.00,     33.1200,Li       ,Planktonic Foraminifers                      ,A              ,P                 ,                   ,                      ,                       ,                           ,                           ,                      ,                        ,                      ,                 ,                      ,                ,                ,                         ,                        ,                      ,                       ,                            ,                    ,                                ,                 ,                      ,                    ,                       ,                           ,                         ,                       ,                     ,                    ,                        ,                         ,                                 ,                        ,                       ,                        ,                      ,P                ,                  ,                   ,                     ,                        ,F                      ,                       ,                          ,                      ,                  ,P                         ,                    ,                       ,                             ,                          ,                       ,                     ,                    ,                      ,                              ,                         ,                                   ,                        ,                          ,                    ,                         ,                     ,                       ,                       ,F                    ,                        ,F                                    ,                           ,                 ,                       ,                           ,P                        ,                           ,F                        ,P                    ,                          ,                    ,P                   ,P                  ,P              ,                         ,                            ,                             ,                      ,                              ,                    ,"frosted, some black"
