Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Valvulineria spp.,Pullenia salisburyi,Nonionella miocenica,Gyroidina lamarckiana,Globocassidulina spp.,Chilostomella oolina,Calcareous spp. (indeterminate),Agglutinated spp. (indeterminate),Robertina sp. A,Gyroidina sp. A,Globobulimina elongata,Cyclammina spp.,Stainforthia complanata,Nonion spp.,Haplophragmoides sp. D,Haplophragmoides sp. C,Haplophragmoides compressum,Globobulimina auriculata,Bolivina seminuda,Haplophragmoides spp.,Ammodiscus sp. D,Ammodiscus sp. B,Martinottiella communis,Cyclammina cf. C. tani,Martinottiella sp.,Martinottiella nodulosa,Ammodiscus spp.,Ammodiscus sp. A,Ammodiscus incertus,Quinqueloculina seminulum,Quinqueloculina akneriana,Parafissurina curta,Gyroidina orbicularis,Globocassidulina subglobosa,Islandiella norcrossi,Nummoloculina sp. C,Miliammina echigoensis,Uvigerina yabei,Sphaeroidina spp.,Melonis pompilioides,Melonis nicobarense,Elphidium cf. E. hughesi foraminosum,Eggerella sp. A,Cibicides aknerianus,Haplophragmoides sp. A,Cassidulinoides tenuis,Cassidulinoides sp.,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 796,B,  3,R, 4,   8.00,     34.7800,Brunner  ,Benthic Foraminifers                         ,               ,                  ,                 ,                   ,                    ,                     ,                     ,                    ,1                              ,                                 ,               ,               ,                      ,               ,                       ,           ,                      ,                      ,                           ,                        ,                 ,                     ,                ,                ,                       ,                      ,                  ,                       ,               ,                ,                   ,                         ,                         ,                   ,                     ,                           ,                     ,                   ,2                     ,               ,                 ,                    ,                   ,                                    ,               ,                    ,                      ,6                     ,1                  ,from ODP Leg 127&128 SR Chapter 12 Table 4 p 198-200
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 796,B,  4,R,CC,  15.00,     47.7500,Brunner  ,Benthic Foraminifers                         ,               ,                  ,                 ,                   ,                    ,                     ,                     ,                    ,                               ,                                 ,               ,               ,                      ,               ,                       ,           ,                      ,                      ,                           ,                        ,                 ,                     ,                ,                ,                       ,                      ,                  ,                       ,               ,                ,                   ,                         ,                         ,                   ,                     ,                           ,                     ,                   ,14                    ,               ,                 ,                    ,                   ,                                    ,               ,                    ,8                     ,                      ,                   ,from ODP Leg 127&128 SR Chapter 12 Table 4 p 198-200
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 796,B,  7,R,CC,   7.00,     70.4000,Brunner  ,Benthic Foraminifers                         ,               ,                  ,                 ,                   ,                    ,                     ,                     ,                    ,1                              ,                                 ,               ,               ,                      ,               ,                       ,           ,                      ,                      ,                           ,1                       ,                 ,                     ,                ,                ,                       ,                      ,                  ,                       ,               ,                ,                   ,                         ,                         ,                   ,                     ,                           ,                     ,                   ,2                     ,4              ,1                ,1                   ,1                  ,3                                   ,1              ,1                   ,                      ,                      ,                   ,from ODP Leg 127&128 SR Chapter 12 Table 4 p 198-200
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 796,B,  9,R,CC,   9.00,     88.7900,Brunner  ,Benthic Foraminifers                         ,               ,                  ,                 ,                   ,                    ,                     ,                     ,                    ,1                              ,                                 ,               ,               ,                      ,               ,                       ,           ,                      ,                      ,                           ,                        ,                 ,                     ,                ,                ,                       ,                      ,                  ,                       ,               ,                ,                   ,                         ,                         ,                   ,                     ,                           ,                     ,2                  ,27                    ,               ,                 ,                    ,                   ,                                    ,               ,                    ,                      ,                      ,                   ,from ODP Leg 127&128 SR Chapter 12 Table 4 p 198-200
