Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Mesocena elliptica,Dictyocha subarctios,Dictyocha spp.,Distephanus crux var. stauracanthus,Dictyocha messanensis,Distephanus slavnicii,Mesocena quadrangula,Distephanus speculum,Dictyocha fibula,Distephanus octangulatus,Dictyocha mandrai,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  1,H,CC,  33.00,      9.2100,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,R              ,M                 ,                  ,                    ,              ,                                   ,R                    ,                     ,                    ,                    ,                ,                        ,                 ,from ODP Legs 127&128 SR Chapter 14 Table 1 p 241
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  3,H,CC,  21.00,     27.0800,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,R              ,M                 ,                  ,                    ,              ,                                   ,                     ,                     ,                    ,                    ,                ,                        ,R                ,from ODP Legs 127&128 SR Chapter 14 Table 1 p 241
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  4,H,CC,  21.00,     34.6500,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,R              ,M                 ,                  ,                    ,R             ,                                   ,R                    ,                     ,                    ,                    ,                ,                        ,R                ,from ODP Legs 127&128 SR Chapter 14 Table 1 p 241
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  5,H,CC,  28.00,     46.9100,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,R              ,M                 ,                  ,                    ,              ,                                   ,                     ,                     ,                    ,                    ,                ,R                       ,                 ,from ODP Legs 127&128 SR Chapter 14 Table 1 p 241
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  8,H, 2,  30.00,     65.9000,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,R              ,M                 ,                  ,                    ,R             ,                                   ,                     ,                     ,                    ,R                   ,                ,R                       ,                 ,from ODP Legs 127&128 SR Chapter 14 Table 1 p 241
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  8,H, 4,  30.00,     68.9000,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,C              ,M                 ,                  ,                    ,F             ,                                   ,                     ,                     ,                    ,                    ,C               ,R                       ,                 ,from ODP Legs 127&128 SR Chapter 14 Table 1 p 241
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  8,H, 6,  30.00,     71.9000,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,C              ,M                 ,                  ,                    ,C             ,                                   ,                     ,                     ,                    ,                    ,F               ,R                       ,                 ,from ODP Legs 127&128 SR Chapter 14 Table 1 p 241
