Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Distephanus quinquangellus	Distephanus pseudofibula	Dictyocha spp.	Bachmannocena  diodon	Bachmannocena  borderlandensis	Comment



  SR	                 	                 	                  	              	114	 704	A	  1	H	 2	  76.00	      2.2600	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	-                         	-                       	-             	-                    	-                             	from ODP Leg 114 SR Chapter 41 Table 3 p.760-763

  SR	                 	                 	                  	              	114	 704	A	  1	H	 3	  76.00	      3.7600	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	-                         	-                       	S             	-                    	-                             	from ODP Leg 114 SR Chapter 41 Table 3 p.760-763

  SR	                 	                 	                  	              	114	 704	A	  1	H	 5	  76.00	      6.7600	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	-                         	-                       	S             	-                    	-                             	from ODP Leg 114 SR Chapter 41 Table 3 p.760-763

  SR	                 	                 	                  	              	114	 704	A	  2	H	 1	  40.00	      7.6000	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	-                         	-                       	R             	-                    	-                             	from ODP Leg 114 SR Chapter 41 Table 3 p.760-763

  SR	                 	                 	                  	              	114	 704	A	  2	H	 2	 130.00	     10.0000	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	-                         	-                       	-             	-                    	-                             	from ODP Leg 114 SR Chapter 41 Table 3 p.760-763

  SR	                 	                 	                  	              	114	 704	A	  2	H	 3	 130.00	     11.5000	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	-                         	-                       	-             	-                    	-                             	from ODP Leg 114 SR Chapter 41 Table 3 p.760-763

  SR	                 	                 	                  	              	114	 704	A	  2	H	 4	 130.00	     13.0000	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	-                         	-                       	-             	-                    	-                             	from ODP Leg 114 SR Chapter 41 Table 3 p.760-763

  SR	                 	                 	                  	              	114	 704	A	  2	H	 5	 130.00	     14.5000	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	-                         	-                       	-             	-                    	-                             	from ODP Leg 114 SR Chapter 41 Table 3 p.760-763

  SR	                 	                 	                  	              	114	 704	A	  2	H	 7	  40.00	     16.6000	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	-                         	-                       	VR            	-                    	-                             	from ODP Leg 114 SR Chapter 41 Table 3 p.760-763

  SR	                 	                 	                  	              	114	 704	A	  3	H	 1	  80.00	     17.5000	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	-                         	-                       	-             	-                    	-                             	from ODP Leg 114 SR Chapter 41 Table 3 p.760-763

  SR	                 	                 	                  	              	114	 704	A	  3	H	 2	  80.00	     19.0000	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	-                         	-                       	-             	-                    	-                             	from ODP Leg 114 SR Chapter 41 Table 3 p.760-763

