Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Ramulina spp.,Praebulimina spp.,Praebulimina sp. 3,Praebulimina sp. 2,Praebulimina sp. 1,Laevidentalina spp. ,Gavelinella spp.,Gavelinella sp. 1,Conorotalites sp.,Citharinella sp.,Bolivina spp.,Bolivina anambra,Neoflabellina sp.,Lenticulina rotulata,Lenticulina spp.,Rhabdammina spp.,Recurvoides sp.,Dorothia filiformis,?Silicosigmoilina sp. ,Reophax sp.,Nothia sp. ex gr. excelsa,Bulbobaculites sp.,Gyroidinoides sp. ex gr. nitidus,Praebulimina robusta,Praebulimina prolixa longa,Planularia complanata,Gyroidinoides spp.,Praebulimina fang,Conorotalites michelinianus,Cibicidoides dayi,Stilostomella spp.,Stilostomella alexanderi,Siphogenerinoides pygmaea,Saracenaria triangularis,Ramulina globotubulosa,Ramulina aculeata,Pyrulina cylindroides,Pyramidulina sp.,Psilocitharella recta,Pleurostomella spp.,Nodosaria aspera,Neobulimina subregularis,Lingulina taylorana,Lenticulina muensteri,Laevidentalina soluta,Hemirobulina bullata,Gyroidinoides subangulatus,Buliminella sp. cf. gabonica altispira,Bandyella greatvalleyensis,Astacolus spp.,Pyramidulina tetragona,Oolina spp.,Laevidentalina catenula,Ellipsoidella  sp.,Astacolus parallelus,Rhizammina spp.,Nodosarella sp.,Marginulinopsis sp. ,Marginulinopsis lituola,Lituotuba sp.,Lenticulina macrodisca,Ellipsoidina abbreviata,Citharina sp.,Vaginulinopsis sp.,Gaudryina pyramidata,?Ammosphaeroidina sp.,Tristix sp.,Bathysiphon sp. ,Verneuilinoides sp.,Rzehakina ex gr. epigona,Reophax spp.,Pseudobolivina spp.,Haplophragmoides  ex gr. excavatus,Bulbobaculites ex gr. problematicus,Ammobaculites sp.,Rhizammina (large),Lituotuba lituiformis,Evolutinella (?) sp.,Dorothia ex gr. filiformis,Budashevaella multicamerata,Trochammina spp.,Rzehakina inclusa,Karreriella conversa,Hyperammina sp. (incl. fragments),Silicosigmoilina cf. californica,Saccammina grzybowskii,Haplophragmoides sp.,Ammodiscus peruvianus,Ammodiscus ex gr. pennyi,Psammosphaera fusca,Glomospira irregularis,Lagenammina sp.,Haplophragmoides cf. walteri,Dorothia sp.,Recurvoides deflexiformis,Subreophax splendidus,Glomospira charoides,Ammosphaeroidina sp.,Karreriella spp.,Uvigerinammina jankoi,Trochamminoides spp.,Subreophax scalaris,Subreophax cf. guttifer,Rhabdammina sp.,Haplophragmoides sp. (?kirki),Rzehakina epigona lata,Rzehakina epigona,Saccammina placenta,Reophax duplex,Aschemocella spp. (incl. fragments),Hormosina velascoensis,Gaudryina sp.,Ammodiscus tenuissima,Paratrochamminoides olszewskii,Spiroplectammina sp.,Kalamopsis grzybowskii,Ammodiscus cretaceus,Spiroplectammina navarroana,Glomospira serpens,Subreophax sp.,Clavulinoides sp.,Bathysiphon spp.,Thurammina papillata,Spiroplectammina sp. (elongate),Glomospira gordialis,Saccorhiza ramosa,Reophax pilulifer,Ammoscalaria sp.,Hyperammina dilatata,Spiroplectammina spectabilis,Saccammina sphaerica,Hippocrepina sp.,Dorothia bulletta,Caudammina ovuloides,Haplophragmoides suborbicularis,Paratrochamminoides spp.,Pseudobolivina lagenaria,Trochamminoides grzybowskii,Rzehakina minima,Caudammina ovula,Silicosigmoilina sp.,Reticulophragmium spp.,Trochammina gyroidinaeformis,Tolypammina sp.,Spiroplectammina dentata,Remesella varians,Hormosina sp.,Cribrostomoides sp.,Conotrochammina whangai,Caudammina gigantea,Rzehakina fissistomata,Glomospirella  grzybowskii,Subreophax pseudoscalaris,Trochamminoides proteus,Hormosina excelsa,Tritaxia sp.,Ammolagena clavata,Reophax sp. 2,Recurvoidella lamella,Paratrochamminoides irregularis,Hormosina trinitatensis,Haplophragmoides porrectus,Haplophragmoides horridus,Ammodiscus glabratus,Sphaerammina gerochi,Reophax subfusiformis,Trochamminoides subcoronatus,Haplophragmoides  stomatus,Buzasina sp.,Sculptobaculites barri,Rzehakina sp. (narrow),Paratrochamminoides mitratus,Popovia beckmanni,Haplophragmoides walteri,Glomospira glomerata,Reophax nodulosa,Reticulophragmoides jarvisi,Glomospira diffundens,Insculptarenula sp.,Trochammina ruthvenmurrayi,Spiroplectammina excolata,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Selandian        ,                 ,                  ,              ,159, 959,D, 43,R, 1,  28.00,    812.5800,Kuhnt    ,Benthic Foraminifers                         ,               ,                  ,             ,                 ,                  ,                  ,                  ,                    ,                ,                 ,                 ,                ,             ,                ,                 ,                    ,                ,                ,11             ,                   ,                      ,           ,                         ,                  ,                                ,                    ,                          ,                     ,                  ,                 ,                           ,                 ,                  ,                        ,                         ,                        ,                      ,                 ,                     ,                ,                     ,                   ,                ,                        ,                   ,                     ,                     ,                    ,                          ,                                      ,                          ,              ,                      ,           ,                       ,                  ,                    ,174            ,               ,                    ,                       ,             ,                      ,                       ,             ,                  ,                    ,                     ,           ,                ,                   ,                        ,            ,                   ,                                  ,                                   ,                 ,14                ,2                    ,                    ,                          ,                           ,4               ,                 ,6                   ,1                                ,                                ,15                    ,                    ,3                    ,                        ,                   ,3                     ,               ,                            ,            ,                         ,2                    ,6                   ,23                  ,                ,                     ,                    ,25                 ,                       ,               ,2                            ,                      ,                 ,3                  ,              ,2                                  ,                      ,             ,4                    ,10                            ,                    ,                      ,                    ,5                          ,2                 ,              ,                 ,21              ,                    ,                               ,                    ,                 ,                 ,                ,1                   ,22                          ,                    ,                ,                 ,                    ,                               ,                        ,                        ,                           ,1               ,                ,                    ,                      ,                            ,               ,                        ,                 ,             ,1                  ,                       ,                   ,3                     ,                          ,1                        ,                       ,                 ,            ,                  ,             ,                     ,4                              ,1                      ,                          ,                         ,                    ,                    ,                     ,                            ,                          ,            ,                      ,                      ,                            ,                 ,                        ,                    ,                ,5                          ,5                    ,                   ,                          ,1                        ,from Leg 159 Ch 31 Table 1.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Selandian        ,                 ,                  ,              ,159, 959,D, 43,R, 3,  34.00,    815.6400,Kuhnt    ,Benthic Foraminifers                         ,               ,                  ,             ,                 ,                  ,                  ,                  ,                    ,                ,                 ,                 ,                ,             ,                ,                 ,                    ,                ,                ,28             ,                   ,                      ,           ,                         ,                  ,                                ,                    ,                          ,                     ,                  ,                 ,                           ,                 ,                  ,                        ,                         ,                        ,                      ,                 ,                     ,                ,                     ,                   ,                ,                        ,                   ,                     ,                     ,                    ,                          ,                                      ,                          ,              ,                      ,           ,                       ,                  ,                    ,196            ,               ,                    ,                       ,             ,                      ,                       ,             ,                  ,                    ,                     ,           ,                ,                   ,                        ,            ,                   ,                                  ,                                   ,                 ,18                ,                     ,                    ,                          ,                           ,3               ,                 ,10                  ,                                 ,                                ,15                    ,                    ,4                    ,                        ,                   ,5                     ,               ,                            ,            ,                         ,7                    ,6                   ,11                  ,                ,                     ,                    ,16                 ,                       ,20             ,6                            ,                      ,                 ,1                  ,              ,1                                  ,                      ,             ,5                    ,                              ,                    ,                      ,                    ,                           ,                  ,              ,4                ,9               ,                    ,                               ,                    ,                 ,                 ,                ,1                   ,8                           ,                    ,1               ,                 ,                    ,                               ,9                       ,                        ,                           ,                ,                ,                    ,                      ,                            ,               ,                        ,                 ,             ,                   ,1                      ,                   ,4                     ,                          ,                         ,                       ,                 ,            ,                  ,             ,                     ,                               ,2                      ,                          ,                         ,                    ,                    ,                     ,2                           ,8                         ,1           ,                      ,1                     ,                            ,                 ,1                       ,                    ,                ,                           ,2                    ,                   ,                          ,                         ,from Leg 159 Ch 31 Table 1.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Selandian        ,                 ,                  ,              ,159, 959,D, 43,R, 5,  32.00,    818.6200,Kuhnt    ,Benthic Foraminifers                         ,               ,                  ,             ,                 ,                  ,                  ,                  ,                    ,                ,                 ,                 ,                ,             ,                ,                 ,                    ,                ,                ,               ,                   ,                      ,           ,                         ,                  ,                                ,                    ,                          ,                     ,                  ,                 ,                           ,                 ,                  ,                        ,                         ,                        ,                      ,                 ,                     ,                ,                     ,                   ,                ,                        ,                   ,                     ,                     ,                    ,                          ,                                      ,                          ,              ,                      ,           ,                       ,                  ,                    ,71             ,               ,                    ,                       ,             ,                      ,                       ,             ,                  ,                    ,                     ,           ,                ,                   ,                        ,            ,                   ,                                  ,                                   ,                 ,2                 ,                     ,                    ,                          ,                           ,1               ,                 ,                    ,                                 ,                                ,                      ,                    ,1                    ,                        ,                   ,                      ,               ,                            ,1           ,                         ,1                    ,                    ,                    ,                ,                     ,                    ,4                  ,                       ,               ,                             ,                      ,                 ,                   ,              ,                                   ,                      ,             ,4                    ,                              ,                    ,                      ,                    ,                           ,                  ,              ,                 ,3               ,                    ,                               ,                    ,                 ,                 ,                ,3                   ,41                          ,                    ,                ,                 ,                    ,                               ,                        ,                        ,                           ,                ,                ,                    ,                      ,                            ,               ,                        ,                 ,             ,                   ,                       ,                   ,3                     ,                          ,                         ,                       ,                 ,            ,                  ,             ,                     ,                               ,                       ,                          ,                         ,                    ,                    ,                     ,                            ,1                         ,            ,                      ,                      ,                            ,                 ,                        ,                    ,                ,                           ,                     ,                   ,                          ,                         ,from Leg 159 Ch 31 Table 1.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Paleocene   ,                 ,CP8a              ,              ,159, 959,D, 43,R,CC,  13.00,    821.9200,Kuhnt    ,Benthic Foraminifers                         ,               ,                  ,             ,                 ,                  ,                  ,                  ,                    ,                ,                 ,                 ,                ,             ,                ,                 ,                    ,                ,                ,14             ,                   ,                      ,           ,                         ,                  ,                                ,                    ,                          ,                     ,                  ,                 ,                           ,                 ,                  ,                        ,                         ,                        ,                      ,                 ,                     ,                ,                     ,                   ,                ,                        ,                   ,                     ,                     ,                    ,                          ,                                      ,                          ,              ,                      ,           ,                       ,                  ,                    ,78             ,               ,                    ,                       ,             ,                      ,                       ,             ,                  ,                    ,                     ,           ,                ,                   ,                        ,            ,                   ,                                  ,                                   ,                 ,3                 ,                     ,                    ,                          ,                           ,                ,                 ,6                   ,                                 ,                                ,                      ,                    ,2                    ,                        ,                   ,1                     ,               ,                            ,1           ,                         ,1                    ,2                   ,4                   ,                ,                     ,                    ,17                 ,                       ,1              ,                             ,                      ,1                ,                   ,              ,                                   ,1                     ,             ,1                    ,2                             ,                    ,                      ,                    ,                           ,2                 ,              ,                 ,3               ,                    ,                               ,                    ,                 ,                 ,                ,3                   ,6                           ,                    ,                ,                 ,                    ,1                              ,                        ,                        ,                           ,                ,                ,                    ,                      ,                            ,               ,                        ,                 ,             ,                   ,                       ,                   ,4                     ,                          ,2                        ,                       ,                 ,            ,                  ,             ,                     ,                               ,                       ,                          ,                         ,                    ,                    ,                     ,2                           ,                          ,1           ,                      ,                      ,                            ,                 ,                        ,                    ,                ,1                          ,                     ,                   ,1                         ,                         ,from Leg 159 Ch 32 Table 2
