Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Neogloboquadrina asanoi,Orbulina universa,Neogloboquadrina humerosa,Globorotalia inflata,Globigerinoides ruber,Globigerina bulloides,Beella digitata,"Neogloboquadrina sp. ""rounded""",Neogloboquadrina pachyderma (dextral),Globorotalia scitula,Globorotalia puncticulata,Globigerina umbilicata,Globigerina quadrilatera,Neogloboquadrina pachyderma (sinistral),Globigerina apertura,Globigerina quinqueloba,Globigerinoides conglobatus,Globorotaloides hexagona,Neogloboquadrina dutertrei,Hastigerina aequilateralis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N22               ,N23           ,167,1016,A,  1,H,CC,  13.00,      7.4900,Kennett  ,Planktonic Foraminifers                      ,A              ,G                 ,                       ,C                ,                         ,A                   ,R                    ,A                    ,               ,                              ,A                                    ,C                   ,                         ,                      ,                        ,                                       ,                    ,                       ,                           ,R                       ,A                         ,R                         ,from IR. Ch 10. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N22               ,N23           ,167,1016,A,  2,H,CC,  29.00,     17.4900,Kennett  ,Planktonic Foraminifers                      ,C              ,G                 ,                       ,                 ,                         ,                    ,                     ,A                    ,               ,                              ,F                                    ,                    ,                         ,                      ,                        ,A                                      ,                    ,                       ,                           ,                        ,R                         ,                          ,from IR. Ch 10. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N22               ,N23           ,167,1016,A,  3,H,CC,  22.00,     26.9900,Kennett  ,Planktonic Foraminifers                      ,A              ,G                 ,                       ,                 ,                         ,R                   ,                     ,A                    ,               ,                              ,C                                    ,R                   ,                         ,A                     ,                        ,A                                      ,                    ,                       ,                           ,R                       ,                          ,                          ,from IR. Ch 10. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N22               ,N23           ,167,1016,A,  4,H,CC,  42.00,     36.6400,Kennett  ,Planktonic Foraminifers                      ,C              ,M                 ,                       ,                 ,                         ,                    ,                     ,A                    ,               ,                              ,                                     ,                    ,                         ,                      ,                        ,A                                      ,                    ,                       ,                           ,                        ,                          ,                          ,from IR. Ch 10. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N22               ,N23           ,167,1016,A,  5,H,CC,  29.00,     45.7500,Kennett  ,Planktonic Foraminifers                      ,A              ,G                 ,                       ,F                ,A                        ,A                   ,                     ,A                    ,R              ,                              ,A                                    ,R                   ,                         ,                      ,                        ,                                       ,                    ,                       ,                           ,                        ,                          ,                          ,from IR. Ch 10. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
