Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thalassiosira convexa,Thalassiosira antiqua,Nitzschia reinholdii,Thalassiosira plicata,Thalassionema nitzschioides,Stephanopyxis turris,Coscinodiscus marginatus,Coscinodiscus asteromphalus,Thalassiosira oestrupii,Thalassionema nitzschioides  var. parva,Synedra sp.,Actinocyclus ingens,Thalassiothrix longissima,Thalassiosira nativa,Rhizosolenia barboi,Denticulopsis hyalina,Coscinodiscus sp.,Coscinodiscus cf. C. marginatus,Nitzschia rolandii,Nitzschia marina,Neodenticula kamtschatica,Hemidiscus cuneiformis,Actinocyclus ehrenbergii,Thalassiosira eccentrica,Coscinodiscus radiatus,Azpeitia nodulifer,Thalassiosira spp. (native type),Thalassiosira hyalinopsis,Rhizosolenia sp.,Neodenticula cf. N. seminae,Actinoptychus senarius,Thalassiothrix spp.,Neodenticula sp. (N. rolandii),Neodenticula sp.,Neodenticula koizumii,Neodenticula cf. N. koizumii,Neodenticula cf. N. kamtschatica,Thalassiosira sp.,Thalassionema schraderi,Sponge spicules,Paralia sulcata,Denticulopsis hustedtii,Denticulopsis lauta s.l.,Denticulopsis lauta,Denticulopsis dimorpha,Denticulopsis sp.,Nitzschia cf. N. jouseana,Neodenticula seminae (sensu Akiba),Actinocyclus ellipticus f. lanceolata,Neodenticula seminae,Crucidenticula nicobarica,Actinocyclus ingens  var. nodus,Simonseniella curvirostris,Rhizosolenia matuyamai,Navicula sp.,Thalassiosira leptopus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NPD 12            ,              ,167,1016,A,  1,H,CC,  13.00,      7.4900,Maruyama ,Diatoms                                      ,               ,P                 ,                     ,                     ,                    ,                     ,+                          ,                    ,                        ,                           ,                       ,                                       ,           ,                   ,                         ,                    ,                   ,                     ,                 ,                               ,                  ,                ,                         ,                      ,                        ,                        ,                      ,                  ,                                ,                         ,                ,                           ,                      ,                   ,                              ,                ,                     ,                            ,                                ,                 ,                       ,               ,               ,                       ,                        ,                   ,                      ,                 ,                         ,                                  ,                                     ,+                   ,                         ,                               ,                          ,                      ,            ,+                     ,from IR. Ch 10.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NPD 12            ,              ,167,1016,A,  2,H,CC,  29.00,     17.4900,Maruyama ,Diatoms                                      ,R              ,P                 ,                     ,                     ,                    ,                     ,                           ,                    ,                        ,                           ,                       ,                                       ,           ,                   ,                         ,                    ,                   ,                     ,                 ,                               ,                  ,                ,                         ,                      ,                        ,                        ,                      ,                  ,                                ,                         ,                ,                           ,                      ,                   ,                              ,                ,                     ,                            ,                                ,                 ,                       ,               ,+              ,                       ,T                       ,                   ,                      ,                 ,                         ,                                  ,                                     ,+                   ,                         ,                               ,                          ,                      ,            ,                      ,from IR. Ch 10.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NPD 12            ,              ,167,1016,A,  3,H,CC,  22.00,     26.9900,Maruyama ,Diatoms                                      ,F              ,P                 ,                     ,                     ,                    ,                     ,                           ,                    ,                        ,                           ,                       ,                                       ,           ,                   ,                         ,                    ,+                  ,                     ,                 ,                               ,                  ,                ,                         ,                      ,                        ,                        ,                      ,                  ,                                ,                         ,                ,                           ,                      ,                   ,                              ,                ,                     ,                            ,                                ,                 ,                       ,               ,               ,                       ,R                       ,                   ,                      ,                 ,                         ,                                  ,                                     ,F                   ,                         ,                               ,                          ,                      ,            ,                      ,from IR. Ch 10.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NPD 11            ,              ,167,1016,A,  4,H,CC,  42.00,     36.6400,Maruyama ,Diatoms                                      ,F              ,P                 ,                     ,                     ,                    ,                     ,                           ,                    ,+                       ,                           ,                       ,                                       ,           ,                   ,+                        ,                    ,+                  ,                     ,                 ,                               ,                  ,                ,                         ,                      ,                        ,                        ,                      ,                  ,                                ,                         ,                ,                           ,                      ,                   ,                              ,                ,                     ,                            ,                                ,                 ,                       ,               ,               ,                       ,+                       ,                   ,                      ,                 ,                         ,                                  ,                                     ,F                   ,                         ,                               ,+                         ,                      ,+           ,                      ,from IR. Ch 10.Table 6.
