Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Paragloborotalia mayeri	Neogloboquadrina continuosa	Globoquadrina venezuelana	Globoquadrina baroemoenensis	Globigerinoides subquadratus	Globigerinoides sacculifer (without sack)	Globigerinoides obliquus	Globigerinoides altiapertura	Globigerinita glutinata	Globigerinatella insueta	Fohsella peripheroronda	Dentoglobigerina altispira	Catapsydrax dissimilis	Globoquadrina dehiscens	Globigerinella aequilateralis	Cassigerinella chipolensis	Sphaeroidinellopsis disjuncta	Globigerinoides sacculifer	Fohsella birnageae	Praeorbulina sicana	Paragloborotalia semivera	Globoconella praescitula	Globorotaloides hexagonus	Globoconella zealandica	Hirsutella scitula	Menardella archeomenardii	Globoconella miozea	Sphaeroidinellopsis seminulina	Fohsella peripheroacuta	Sphaeroidinellopsis kochi	Orbulina universa	Menardella praemenardii	Fohsella praefohsi	Globorotalia lenguaensis	Fohsella fohsi fohsi	Globoturborotalita woodi	Globigerina bulloides	Globoconella panda	Menardella menardii (sinistral)	Globoturborotalita nepenthes	Globoturborotalita druryi	Menardella menardii (dextral)	Menardella limbata (sinistral)	Globigerina falconensis	Neogloboquadrina acostaensis	Hirsutella cibaoensis	Globorotalia paralenguaensis	Globorotalia merotumida	Neogloboquadrina pachyderma (sinistral)	Globigerinoides ruber	Neogloboquadrina pachyderma (dextral)	Globoturborotalita decoraperta	Globigerinoides extremus	Sphaeroidinellopsis paenedehiscens	Hirsutella challengeri	Globoturborotalita apertura	Candeina nitida	Neogloboquadrina dutertrei	Globigerinoides seigliei	Hirsutella juanai	Globorotalia plesiotumida	Menardella limbata (dextral)	Neogloboquadrina humerosa	Globigerinoides conglobatus	Pulleniatina primalis (sin.)	Globorotalia tumida	Sphaeroidinella dehiscens	Menardella multicamerata	Hirsutella margaritae	Truncorotalia crassaformis	Menardella exilis	Hirsutella hirsuta	Pulleniatina primalis (dex.)	Menardella pertenuis	Menardella miocenica	Globoturborotalita rubescens	Globigerinoides fistulosus	Globorotalia ungulata	Pulleniatina obliquiloculata	Truncorotalia truncatulinoides (dex.)	Truncorotalia truncatulinoides (sin.)	Globoconella inflata	Beella praedigitata	Beella digitata	Globoturborotalita tenella	Berggrenia riedeli	Comment



  SR	Pleistocene      	                 	N22               	              	165	 999	A	  1	H	 2	  42.00	      1.9200	Chaisson 	Planktonic Foraminifers                      	               	G                 	                       	                           	                         	                            	                            	F                                        	                        	                            	F                      	                        	                       	                          	                      	                       	R                            	                          	                             	F                         	                  	                   	                         	                        	                         	                       	R                 	                         	                   	                              	                       	                         	R                	                       	                  	                        	                    	                        	R                    	                  	S                              	                            	                         	                             	                              	                       	                            	                     	                            	                       	                                       	C                    	                                     	                              	                        	                                  	                      	                           	S              	C                         	                        	                 	                         	                            	                         	R                          	                            	                   	                         	                        	                     	R                         	                 	                  	                            	                    	                    	R                           	                          	                     	R                           	R                                    	R                                    	R                   	                   	               	                          	R                 	from 165SR. Ch. 2. Appendix A

  SR	Pleistocene      	                 	N22               	              	165	 999	A	  1	H	 5	  42.00	      6.4200	Chaisson 	Planktonic Foraminifers                      	               	G                 	                       	                           	                         	                            	                            	F                                        	                        	                            	F                      	                        	                       	                          	                      	                       	R                            	                          	                             	F                         	                  	                   	                         	                        	R                        	                       	R                 	                         	                   	                              	                       	                         	R                	                       	                  	                        	                    	                        	F                    	                  	F                              	                            	                         	                             	                              	                       	                            	                     	                            	                       	                                       	C                    	                                     	                              	                        	                                  	                      	                           	               	F                         	                        	                 	                         	                            	                         	R                          	                            	R                  	R                        	                        	                     	R                         	                 	                  	                            	                    	                    	R                           	                          	                     	R                           	R                                    	R                                    	                    	R                  	               	                          	R                 	from 165SR. Ch. 2. Appendix A

  SR	Pleistocene      	                 	N22               	              	165	 999	A	  1	H	CC	  11.00	      7.6600	Chaisson 	Planktonic Foraminifers                      	               	G                 	                       	                           	                         	                            	                            	                                         	                        	                            	F                      	                        	                       	                          	                      	                       	R                            	                          	                             	F                         	                  	                   	                         	                        	R                        	                       	R                 	                         	                   	                              	                       	                         	R                	                       	                  	                        	                    	                        	                     	                  	F                              	                            	                         	                             	                              	                       	                            	                     	                            	                       	                                       	A                    	                                     	                              	                        	                                  	                      	                           	S              	F                         	                        	                 	                         	                            	                         	R                          	                            	R                  	R                        	                        	                     	R                         	                 	                  	                            	                    	                    	R                           	                          	                     	R                           	R                                    	                                     	                    	R                  	               	R                         	                  	from 165SR. Ch. 2. Appendix A

  SR	Pleistocene      	                 	N22               	              	165	 999	A	  2	H	 2	  42.00	      9.5200	Chaisson 	Planktonic Foraminifers                      	               	G                 	                       	                           	                         	                            	                            	F                                        	                        	                            	F                      	                        	                       	                          	                      	                       	R                            	                          	                             	R                         	                  	                   	                         	                        	                         	                       	R                 	                         	                   	                              	                       	                         	R                	                       	                  	                        	                    	                        	R                    	                  	R                              	                            	                         	                             	                              	                       	                            	                     	                            	                       	                                       	C                    	R                                    	                              	                        	                                  	                      	                           	               	R                         	                        	                 	                         	                            	                         	R                          	                            	                   	                         	                        	                     	R                         	                 	                  	                            	                    	                    	F                           	                          	                     	R                           	R                                    	                                     	F                   	R                  	               	                          	R                 	from 165SR. Ch. 2. Appendix A
