Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Typhlocythere sp. 43	Typhlocythere sp. 23	Tongacythere sp. E	Krithe sp. 22	Krithe sp. 21	Hemiparacytheridea sp. 43	Eucythere sp. 1	Cytheropteron sp. 52	Cytheropteron sp. 50	Cytherella sp. 2	Bradleya sp. 5	Bairdoppilata sp. 4	Aversovalva sp. 49	Aversovalva sp. 48	Aversovalva sp. 47	Argilloecia sp. 3	Eucythere sp. 2	Cytheropteron sp. 53	Cytheropteron sp. 51	Cytheropteron sp. 10	Bythocypris sp. 4	Eucythere sp. 5	Eucythere sp. 4	Eucythere sp. 3	Cytheropteron sp. 54	Argilloecia sp. 4	Hemiparacytheridea sp. 44	Aversovalva sp. 55	Saida sp.	Eucythere sp. 6	Cytheropteron sp. 56	Eucytherura sp. cf. E. calabra	Xestoleberis sp. 4	Semicytherura unigua	Tongacythere sp. 2	Henryhowella sp. 30	Cluthia? sp. AL	Bythocypris sp. 8	Bradleya sp. 20	Bathycythere sp. 1	Limnocythere? sp. AL	Krithe sp. 23	Cytheropteron sp. 45	Comment



  SR	Pleistocene      	                 	N22               	              	144	 871	A	  1	H	CC	  27.00	      7.4500	Whatley  	Ostracodes                                   	               	                  	                    	                    	                  	             	             	                         	               	                    	                    	                	              	4                  	                  	                  	                  	                 	               	                    	1                   	                    	                 	               	               	               	                    	                 	                         	1                 	         	               	1                   	                              	                  	                    	                  	2                  	1              	1                	3              	                  	1                   	7            	1                   	from ODP Leg 144 SR; Ch 4; Table 1; p 90

  SR	Pleistocene      	                 	N22               	              	144	 871	A	  2	H	CC	  14.00	     16.6400	Whatley  	Ostracodes                                   	               	                  	                    	                    	                  	4            	             	                         	               	                    	                    	                	              	3                  	                  	                  	                  	                 	               	                    	-                   	                    	                 	               	               	               	                    	                 	                         	-                 	         	               	-                   	                              	                  	                    	                  	3                  	1              	1                	2              	2                 	                    	             	                    	from ODP Leg 144 SR; Ch 4; Table 1; p 90

  SR	Miocene          	Pliocene         	N12               	N17           	144	 871	A	  3	H	CC	  21.00	     25.8100	Whatley  	Ostracodes                                   	               	                  	                    	                    	                  	-            	             	                         	               	                    	                    	                	4             	-                  	                  	                  	                  	                 	               	                    	-                   	                    	                 	               	               	               	                    	                 	                         	-                 	         	               	-                   	                              	                  	                    	1                 	                   	               	                 	               	                  	                    	             	                    	from ODP Leg 144 SR; Ch 4; Table 1; p 90

  SR	Middle Miocene   	                 	N12               	              	144	 871	A	  4	H	CC	   0.00	     34.6600	Whatley  	Ostracodes                                   	               	                  	1                   	                    	                  	3            	             	                         	               	                    	1                   	                	2             	1                  	                  	                  	                  	                 	               	                    	-                   	                    	1                	               	               	               	                    	                 	                         	-                 	         	               	1                   	                              	1                 	1                   	                  	                   	               	                 	               	                  	                    	             	                    	from ODP Leg 144 SR; Ch 4; Table 1; p 90

