Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Truncorotalia crassaformis	Sphaeroidinella dehiscens	Pulleniatina obliquiloculata	Neogloboquadrina pachyderma	Menardella menardii (sinistral)	Menardella menardii (dextral)	Menardella limbata	Menardella exilis	Globoturborotalita rubescens	Globoconella inflata	Globigerinoides obliquus	Globigerinoides fistulosus	Globigerinoides extremus	Globigerinella calida	Globigerina bulloides	Truncorotalia truncatulinoides (sin.)	Truncorotalia truncatulinoides (dex.)	Menardella pertenuis	Menardella miocenica	Globorotalia tumida flexuosa	Globoturborotalita woodi	Globoturborotalita decoraperta	Globorotalia tumida	Globoconella puncticulata	Globigerina falconensis	Hirsutella hirsuta	Truncorotalia tosaensis	Globigerina bermudezi	Globigerina cariacoensis	Truncorotalia crassaformis hessi	Globigerinoides ruber (pink)	Hastigerina pelagica	Comment



  IR	                 	Pleistocene      	                  	N22           	172	1054	A	  1	H	 1	  70.00	      0.7000	Chaisson 	Planktonic Foraminifers                      	C              	VG                	-                         	R                        	R                           	-                          	F                              	-                            	                  	                 	R                           	R                   	                        	                          	                        	R                    	R                    	R                                    	R                                    	                    	                    	                            	                        	                              	R                  	                         	                       	R                 	                       	R                    	                        	                                	                            	-                   	       

  IR	                 	Pleistocene      	                  	N22           	172	1054	A	  1	H	 2	  70.00	      2.2000	Chaisson 	Planktonic Foraminifers                      	C              	VG                	R                         	R                        	R                           	-                          	F                              	-                            	                  	                 	-                           	-                   	                        	                          	                        	-                    	                     	R                                    	R                                    	                    	                    	                            	                        	                              	R                  	                         	                       	R                 	                       	R                    	                        	                                	                            	                    	       

  IR	                 	Pleistocene      	                  	N22           	172	1054	A	  1	H	 3	  70.00	      3.7000	Chaisson 	Planktonic Foraminifers                      	C              	VG                	-                         	-                        	F                           	-                          	R                              	-                            	                  	                 	-                           	-                   	                        	                          	                        	R                    	                     	-                                    	R                                    	                    	                    	                            	                        	                              	R                  	                         	                       	R                 	                       	R                    	                        	                                	                            	                    	much aragonitic debris: scaphopods, pterapods and ostracods more nitida than usual

  IR	                 	Pleistocene      	                  	N22           	172	1054	A	  1	H	 4	  70.00	      5.2000	Chaisson 	Planktonic Foraminifers                      	C              	VG                	R                         	R                        	R                           	                           	-                              	-                            	                  	                 	-                           	-                   	                        	                          	                        	R                    	R                    	R                                    	F                                    	                    	                    	                            	                        	                              	F                  	                         	                       	-                 	                       	R                    	                        	                                	                            	                    	miniature clams present

  IR	                 	Pleistocene      	                  	N22           	172	1054	A	  1	H	 5	  32.00	      6.3200	Chaisson 	Planktonic Foraminifers                      	C              	VG                	R                         	-                        	R                           	-                          	R                              	-                            	                  	                 	-                           	F                   	                        	                          	                        	-                    	-                    	R                                    	F                                    	                    	                    	R                           	                        	                              	R                  	                         	                       	-                 	                       	-                    	                        	                                	                            	                    	biotic debris glauconite

